"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","BIOCARTA_CARDIACEGF_PATHWAY","DOWN",-0.333,-8.34,3.68e-05,0.00184
"(KEGG) Cardiac muscle contraction","KEGG_CARDIAC_MUSCLE_CONTRACTION","DOWN",-0.311,-8.33,3.71e-05,0.00184
"(BioCarta) CDK Regulation of DNA Replication","BIOCARTA_MCM_PATHWAY","UP",1.02,8.28,3.85e-05,0.00184
"(BioCarta) Acute Myocardial Infarction","BIOCARTA_AMI_PATHWAY","DOWN",-0.578,-8.22,4.07e-05,0.00184
"(Reactome) Iron uptake and transport","REACTOME_IRON_UPTAKE_AND_TRANSPORT","DOWN",-0.419,-8.13,4.39e-05,0.00184
"(KEGG) Ether lipid metabolism","KEGG_ETHER_LIPID_METABOLISM","DOWN",-0.312,-8.11,4.49e-05,0.00184
"(Reactome) G beta:gamma signalling through PI3Kgamma","REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA","UP",0.266,8.07,4.65e-05,0.00184
"(KEGG) Tyrosine metabolism","KEGG_TYROSINE_METABOLISM","DOWN",-0.274,-8.05,4.7e-05,0.00184
"(Reactome) Unwinding of DNA","REACTOME_UNWINDING_OF_DNA","UP",1.69,8.05,4.71e-05,0.00184
"(BioCarta) Presenilin action in Notch and Wnt signaling","BIOCARTA_PS1_PATHWAY","UP",0.271,8.04,4.75e-05,0.00184
"(Reactome) Regulation of ornithine decarboxylase (ODC)","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","DOWN",-0.299,-7.94,5.21e-05,0.00195
"(KEGG) Drug metabolism - cytochrome P450","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","DOWN",-0.331,-7.86,5.6e-05,0.002
"(Reactome) Acyl chain remodelling of PC","REACTOME_ACYL_CHAIN_REMODELLING_OF_PC","DOWN",-0.326,-7.81,5.82e-05,0.002
"(KEGG) Peroxisome","KEGG_PEROXISOME","DOWN",-0.313,-7.81,5.87e-05,0.002
"(KEGG) Arachidonic acid metabolism","KEGG_ARACHIDONIC_ACID_METABOLISM","DOWN",-0.328,-7.76,6.11e-05,0.00202
"(Reactome) Purine ribonucleoside monophosphate biosynthesis","REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS","UP",0.458,7.67,6.61e-05,0.00212
"(PID) Regulation of cytoplasmic and nuclear SMAD2/3 signaling","PID_SMAD2_3PATHWAY","UP",0.271,7.61,6.98e-05,0.00214
"(Reactome) A tetrasaccharide linker sequence is required for GAG synthesis","REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS","UP",0.339,7.61,7.03e-05,0.00214
"(Reactome) Biological oxidations","REACTOME_BIOLOGICAL_OXIDATIONS","DOWN",-0.245,-7.57,7.28e-05,0.00215
"(SigmaAldrich) Programmed cell death, or apoptosis, eliminates damaged or unneeded cells.","SA_PROGRAMMED_CELL_DEATH","DOWN",-0.335,-7.41,8.43e-05,0.00239
"(Reactome) Trafficking of AMPA receptors","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS","DOWN",-0.24,-7.37,8.79e-05,0.00239
"(Reactome) Metabolism of porphyrins","REACTOME_METABOLISM_OF_PORPHYRINS","DOWN",-0.464,-7.36,8.88e-05,0.00239
"(Reactome) Prostacyclin signalling through prostacyclin receptor","REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR","UP",0.287,7.34,9.06e-05,0.00239
"(Reactome) Metabolism of steroid hormones and vitamins A and D","REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D","DOWN",-0.309,-7.32,9.19e-05,0.00239
"(Reactome) Formation of tubulin folding intermediates by CCT/TriC","REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC","UP",0.424,7.3,9.36e-05,0.00239
"(KEGG) Epithelial cell signaling in Helicobacter pylori infection","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","DOWN",-0.243,-7.19,0.000104,0.00251
"(KEGG) Basal transcription factors","KEGG_BASAL_TRANSCRIPTION_FACTORS","DOWN",-0.247,-7.16,0.000107,0.00251
"(Reactome) ADP signalling through P2Y purinoceptor 1","REACTOME_ADP_SIGNALLING_THROUGH_P2RY1","UP",0.261,7.16,0.000107,0.00251
"(Reactome) Activation of the pre-replicative complex","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX","UP",1.02,7.15,0.000108,0.00251
"(Reactome) Inhibition of replication initiation of damaged DNA by RB1/E2F1","REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1","UP",0.559,7.14,0.000109,0.00251
"(BioCarta) METS affect on Macrophage Differentiation","BIOCARTA_ETS_PATHWAY","UP",0.237,7.11,0.000113,0.00254
"(Reactome) Class A/1 (Rhodopsin-like receptors)","REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS","DOWN",-0.318,-7.07,0.000116,0.00257
"(KEGG) Lysosome","KEGG_LYSOSOME","DOWN",-0.315,-7.01,0.000124,0.00268
"(Reactome) Synthesis of bile acids and bile salts","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS","DOWN",-0.396,-6.97,0.000128,0.00272
"(PID) Validated transcriptional targets of TAp63 isoforms","PID_TAP63_PATHWAY","DOWN",-0.287,-6.93,0.000134,0.00277
"(KEGG) Lysine degradation","KEGG_LYSINE_DEGRADATION","UP",0.213,6.92,0.000135,0.00277
"(Reactome) Respiratory electron transport","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","DOWN",-0.341,-6.8,0.000153,0.00307
"(Reactome) Post-chaperonin tubulin folding pathway","REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY","UP",0.385,6.76,0.000159,0.00314
"(KEGG) Ribosome","KEGG_RIBOSOME","DOWN",-0.299,-6.73,0.000164,0.00314
"(Reactome) RNA Polymerase I Promoter Opening","REACTOME_RNA_POL_I_PROMOTER_OPENING","DOWN",-0.227,-6.72,0.000164,0.00314
"(Reactome) Steroid hormones","REACTOME_STEROID_HORMONES","DOWN",-0.283,-6.69,0.000171,0.00318
"(BioCarta) GATA3 participate in activating the Th2 cytokine genes expression","BIOCARTA_GATA3_PATHWAY","DOWN",-0.306,-6.66,0.000175,0.00318
"(Reactome) Striated Muscle Contraction","REACTOME_STRIATED_MUSCLE_CONTRACTION","DOWN",-0.353,-6.66,0.000176,0.00318
"(Reactome) Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis","REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS","DOWN",-0.316,-6.62,0.000183,0.00318
"(Reactome) Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_","DOWN",-0.337,-6.61,0.000184,0.00318
"(Reactome) Phase II conjugation","REACTOME_PHASE_II_CONJUGATION","DOWN",-0.249,-6.6,0.000186,0.00318
"(PID) Ceramide signaling pathway","PID_CERAMIDE_PATHWAY","DOWN",-0.195,-6.59,0.000189,0.00318
"(KEGG) Retinol metabolism","KEGG_RETINOL_METABOLISM","DOWN",-0.371,-6.57,0.000193,0.00318
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","DOWN",-0.362,-6.54,0.000199,0.00318
"(Reactome) Peptide chain elongation","REACTOME_PEPTIDE_CHAIN_ELONGATION","DOWN",-0.271,-6.53,2e-04,0.00318
"(Reactome) Adherens junctions interactions","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS","UP",0.319,6.53,0.000201,0.00318
"(PID) Regulation of nuclear beta catenin signaling and target gene transcription","PID_BETA_CATENIN_NUC_PATHWAY","UP",0.2,6.52,0.000203,0.00318
"(Reactome) Cross-presentation of soluble exogenous antigens (endosomes)","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","DOWN",-0.256,-6.51,0.000205,0.00318
"(KEGG) Biosynthesis of unsaturated fatty acids","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS","UP",0.276,6.5,0.000206,0.00318
"(PID) Circadian rhythm pathway","PID_CIRCADIAN_PATHWAY","UP",0.303,6.47,0.000213,0.00324
"(Reactome) DNA strand elongation","REACTOME_DNA_STRAND_ELONGATION","UP",1.14,6.43,0.000222,0.00332
"(BioCarta) Induction of apoptosis through DR3 and DR4/5 Death Receptors","BIOCARTA_DEATH_PATHWAY","DOWN",-0.201,-6.4,0.00023,0.00332
"(Reactome) ADP signalling through P2Y purinoceptor 12","REACTOME_ADP_SIGNALLING_THROUGH_P2RY12","UP",0.236,6.39,0.000233,0.00332
"(Reactome) Basigin interactions","REACTOME_BASIGIN_INTERACTIONS","DOWN",-0.19,-6.38,0.000234,0.00332
"(Reactome) CRMPs in Sema3A signaling","REACTOME_CRMPS_IN_SEMA3A_SIGNALING","UP",0.248,6.38,0.000235,0.00332
"(BioCarta) Hypoxia and p53 in the Cardiovascular system","BIOCARTA_P53HYPOXIA_PATHWAY","DOWN",-0.253,-6.37,0.000236,0.00332
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","UP",0.803,6.36,0.000239,0.00332
"(BioCarta) Protein Kinase A at the Centrosome","BIOCARTA_AKAPCENTROSOME_PATHWAY","UP",0.285,6.3,0.000255,0.0035
"(Reactome) Transport of Mature mRNA Derived from an Intronless Transcript","REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT","UP",0.304,6.27,0.000264,0.00357
"(PID) Validated transcriptional targets of AP1 family members Fra1 and Fra2","PID_FRA_PATHWAY","DOWN",-0.231,-6.25,0.000268,0.00357
"(BioCarta) Downregulated of MTA-3 in ER-negative Breast Tumors","BIOCARTA_MTA3_PATHWAY","DOWN",-0.245,-6.23,0.000274,0.00357
"(BioCarta) Proteasome Complex","BIOCARTA_PROTEASOME_PATHWAY","DOWN",-0.245,-6.22,0.000278,0.00357
"(Reactome) Transport of Ribonucleoproteins into the Host Nucleus","REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS","UP",0.312,6.22,0.000279,0.00357
"(Reactome) Vif-mediated degradation of APOBEC3G","REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G","DOWN",-0.273,-6.2,0.000285,0.00357
"(Reactome) Triglyceride Biosynthesis","REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","UP",0.199,6.2,0.000285,0.00357
"(Reactome) Heparan sulfate/heparin (HS-GAG) metabolism","REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","UP",0.222,6.19,0.000287,0.00357
"(Reactome) NEP/NS2 Interacts with the Cellular Export Machinery","REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY","UP",0.319,6.18,0.000291,0.00357
"(Reactome) Lysosome Vesicle Biogenesis","REACTOME_LYSOSOME_VESICLE_BIOGENESIS","DOWN",-0.256,-6.17,0.000292,0.00357
"(Reactome) Interleukin-1 signaling","REACTOME_IL1_SIGNALING","DOWN",-0.311,-6.15,0.000298,0.00361
"(KEGG) Proteasome","KEGG_PROTEASOME","DOWN",-0.255,-6.13,0.000306,0.00366
"(Reactome) Meiosis","REACTOME_MEIOSIS","UP",0.233,6.12,0.00031,0.00367
"(KEGG) Proximal tubule bicarbonate reclamation","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION","DOWN",-0.24,-6.08,0.000321,0.00371
"(Reactome) Antigen processing-Cross presentation","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION","DOWN",-0.216,-6.08,0.000324,0.00371
"(Reactome) Autodegradation of the E3 ubiquitin ligase COP1","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1","DOWN",-0.238,-6.07,0.000327,0.00371
"(Reactome) Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS","DOWN",-0.204,-6.06,0.00033,0.00371
"(Reactome) Glucagon-type ligand receptors","REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS","UP",0.208,6.06,0.000332,0.00371
"(Reactome) Influenza Viral RNA Transcription and Replication","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","DOWN",-0.253,-6.05,0.000333,0.00371
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","UP",0.891,6.03,0.000339,0.00374
"(Reactome) Thromboxane signalling through TP receptor","REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR","UP",0.209,5.99,0.000356,0.00389
"(Reactome) Destabilization of mRNA by AUF1 (hnRNP D0)","REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0","DOWN",-0.234,-5.97,0.000366,0.00396
"(PID) E2F transcription factor network","PID_E2F_PATHWAY","UP",0.484,5.95,0.000371,0.00397
"(KEGG) Steroid hormone biosynthesis","KEGG_STEROID_HORMONE_BIOSYNTHESIS","DOWN",-0.262,-5.94,0.000376,0.00398
"(Reactome) The citric acid (TCA) cycle and respiratory electron transport","REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","DOWN",-0.231,-5.93,0.000379,0.00398
"(KEGG) Other glycan degradation","KEGG_OTHER_GLYCAN_DEGRADATION","DOWN",-0.437,-5.93,0.000382,0.00398
"(Reactome) cGMP effects","REACTOME_CGMP_EFFECTS","DOWN",-0.347,-5.92,0.000386,0.00399
"(Reactome) Inflammasomes","REACTOME_INFLAMMASOMES","DOWN",-0.24,-5.88,0.000401,0.00407
"(KEGG) DNA replication","KEGG_DNA_REPLICATION","UP",0.93,5.88,0.000401,0.00407
"(Reactome) Ionotropic activity of Kainate Receptors","REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","DOWN",-0.239,-5.87,0.000406,0.00408
"(Reactome) Tight junction interactions","REACTOME_TIGHT_JUNCTION_INTERACTIONS","DOWN",-0.219,-5.86,0.000413,0.0041
"(KEGG) Mismatch repair","KEGG_MISMATCH_REPAIR","UP",0.648,5.85,0.000415,0.0041
"(Reactome) G0 and Early G1","REACTOME_G0_AND_EARLY_G1","UP",0.784,5.83,0.000424,0.00413
"(Reactome) Activation of NF-kappaB in B Cells","REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS","DOWN",-0.221,-5.83,0.000427,0.00413
"(PID) Validated transcriptional targets of deltaNp63 isoforms","PID_DELTA_NP63_PATHWAY","UP",0.191,5.82,0.00043,0.00413
"(KEGG) ABC transporters","KEGG_ABC_TRANSPORTERS","DOWN",-0.282,-5.79,0.000444,0.00424
"(KEGG) Hypertrophic cardiomyopathy (HCM)","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","DOWN",-0.233,-5.77,0.000454,0.00429
"(Reactome) Regulation of Glucokinase by Glucokinase Regulatory Protein","REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","UP",0.285,5.77,0.000457,0.00429
"(Reactome) ER-Phagosome pathway","REACTOME_ER_PHAGOSOME_PATHWAY","DOWN",-0.238,-5.72,0.000481,0.00444
"(Reactome) G-protein activation","REACTOME_G_PROTEIN_ACTIVATION","UP",0.211,5.72,0.000482,0.00444
"(Reactome) Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS","DOWN",-0.275,-5.7,0.00049,0.00448
"(Reactome) G1/S-Specific Transcription","REACTOME_G1_S_SPECIFIC_TRANSCRIPTION","UP",1.33,5.68,0.000502,0.00456
"(Reactome) E2F mediated regulation of DNA replication","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","UP",0.807,5.66,0.000513,0.00461
"(KEGG) Huntington's disease","KEGG_HUNTINGTONS_DISEASE","DOWN",-0.215,-5.63,0.000531,0.0047
"(BioCarta) Role of Mitochondria in Apoptotic Signaling","BIOCARTA_MITOCHONDRIA_PATHWAY","DOWN",-0.198,-5.63,0.000533,0.0047
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","DOWN",-0.278,-5.63,0.000535,0.0047
"(PID) Fanconi anemia pathway","PID_FANCONI_PATHWAY","UP",0.486,5.62,0.000541,0.00471
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","UP",0.873,5.6,0.000553,0.00478
"(Reactome) Processive synthesis on the lagging strand","REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","UP",0.821,5.59,0.000558,0.00478
"(Reactome) Recycling pathway of L1","REACTOME_RECYCLING_PATHWAY_OF_L1","DOWN",-0.203,-5.58,0.000561,0.00478
"(PID) ErbB receptor signaling network","PID_ERBB_NETWORK_PATHWAY","DOWN",-0.303,-5.55,0.000582,0.00492
"(KEGG) Alzheimer's disease","KEGG_ALZHEIMERS_DISEASE","DOWN",-0.179,-5.54,0.000588,0.00493
"(Reactome) Muscle contraction","REACTOME_MUSCLE_CONTRACTION","DOWN",-0.204,-5.53,0.000597,0.00497
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","UP",0.902,5.49,0.000623,0.00515
"(Reactome) alpha-linolenic acid (ALA) metabolism","REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM","UP",0.258,5.48,0.000636,0.0052
"(BioCarta) RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage","BIOCARTA_RB_PATHWAY","UP",0.687,5.47,0.000638,0.0052
"(Reactome) Bile acid and bile salt metabolism","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","DOWN",-0.355,-5.46,0.00065,0.00522
"(Reactome) Peroxisomal lipid metabolism","REACTOME_PEROXISOMAL_LIPID_METABOLISM","DOWN",-0.281,-5.44,0.000661,0.00522
"(BioCarta) Role of Ran in mitotic spindle regulation","BIOCARTA_RANMS_PATHWAY","UP",1.05,5.44,0.000662,0.00522
"(Reactome) Homologous recombination repair of replication-independent double-strand breaks","REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS","UP",0.511,5.43,0.000667,0.00522
"(PID) ATR signaling pathway","PID_ATR_PATHWAY","UP",0.564,5.43,0.000671,0.00522
"(Reactome) GPCR ligand binding","REACTOME_GPCR_LIGAND_BINDING","DOWN",-0.191,-5.43,0.000672,0.00522
"(Reactome) Mitotic Prometaphase","REACTOME_MITOTIC_PROMETAPHASE","UP",0.449,5.43,0.000673,0.00522
"(Reactome) ABC-family proteins mediated transport","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT","DOWN",-0.237,-5.42,0.000681,0.00524
"(PID) Alpha-synuclein signaling","PID_ALPHA_SYNUCLEIN_PATHWAY","DOWN",-0.222,-5.41,0.000684,0.00524
"(PID) TNF receptor signaling pathway","PID_TNF_PATHWAY","DOWN",-0.217,-5.4,0.000695,0.00526
"(PID) FOXM1 transcription factor network","PID_FOXM1_PATHWAY","UP",0.692,5.4,0.000697,0.00526
"(Reactome) Removal of the Flap Intermediate from the C-strand","REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND","UP",0.808,5.39,0.000705,0.00529
"(KEGG) Parkinson's disease","KEGG_PARKINSONS_DISEASE","DOWN",-0.25,-5.38,0.000713,0.00529
"(Reactome) SHC-related events","REACTOME_SHC_RELATED_EVENTS","UP",0.23,5.38,0.000715,0.00529
"(Naba) Genes encoding enzymes and their regulators involved in the remodeling of the extracellular matrix","NABA_ECM_REGULATORS","DOWN",-0.252,-5.36,0.000728,0.00535
"(BioCarta) Pertussis toxin-insensitive CCR5 Signaling in Macrophage","BIOCARTA_CCR5_PATHWAY","DOWN",-0.184,-5.35,0.000735,0.00536
"(Reactome) Metabolism of amino acids and derivatives","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","DOWN",-0.172,-5.34,0.00075,0.00536
"(Reactome) Chromosome Maintenance","REACTOME_CHROMOSOME_MAINTENANCE","UP",0.448,5.33,0.000752,0.00536
"(STKE) G alpha i Pathway","ST_G_ALPHA_I_PATHWAY","UP",0.199,5.33,0.000755,0.00536
"(KEGG) Cytosolic DNA-sensing pathway","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY","DOWN",-0.201,-5.33,0.000756,0.00536
"(Reactome) SRP-dependent cotranslational protein targeting to membrane","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","DOWN",-0.216,-5.32,0.000762,0.00536
"(Reactome) Nonsense Mediated Decay Enhanced by the Exon Junction Complex","REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX","DOWN",-0.212,-5.32,0.000767,0.00536
"(KEGG) Hematopoietic cell lineage","KEGG_HEMATOPOIETIC_CELL_LINEAGE","DOWN",-0.249,-5.31,0.00077,0.00536
"(KEGG) Vibrio cholerae infection","KEGG_VIBRIO_CHOLERAE_INFECTION","DOWN",-0.177,-5.31,0.000772,0.00536
"(Reactome) Regulation of Apoptosis","REACTOME_REGULATION_OF_APOPTOSIS","DOWN",-0.183,-5.3,0.000782,0.00538
"(KEGG) Cell cycle","KEGG_CELL_CYCLE","UP",0.443,5.29,0.000791,0.00538
"(Reactome) Signal amplification","REACTOME_SIGNAL_AMPLIFICATION","UP",0.175,5.29,0.000792,0.00538
"(PID) TRAIL signaling pathway","PID_TRAIL_PATHWAY","DOWN",-0.197,-5.29,0.000794,0.00538
"(Reactome) Packaging Of Telomere Ends","REACTOME_PACKAGING_OF_TELOMERE_ENDS","DOWN",-0.2,-5.28,0.000802,0.00539
"(Reactome) Interferon alpha/beta signaling","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","DOWN",-0.232,-5.28,0.000805,0.00539
"(KEGG) Progesterone-mediated oocyte maturation","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","UP",0.208,5.26,0.00082,0.00546
"(PID) BARD1 signaling events","PID_BARD1_PATHWAY","UP",0.444,5.25,0.000828,0.00548
"(PID) ATM pathway","PID_ATM_PATHWAY","UP",0.243,5.24,0.00084,0.00552
"(Reactome) Trafficking of GluR2-containing AMPA receptors","REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS","DOWN",-0.173,-5.22,0.000865,0.00566
"(Reactome) Kinesins","REACTOME_KINESINS","UP",0.572,5.2,0.00088,0.00572
"(Reactome) 3' -UTR-mediated translational regulation","REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION","DOWN",-0.221,-5.18,0.000903,0.00581
"(Reactome) Lagging Strand Synthesis","REACTOME_LAGGING_STRAND_SYNTHESIS","UP",0.826,5.18,0.000904,0.00581
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","UP",0.754,5.16,0.00092,0.00585
"(Reactome) Formation of ATP by chemiosmotic coupling","REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING","DOWN",-0.316,-5.16,0.000925,0.00585
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","DOWN",-0.183,-5.16,0.000925,0.00585
"(Reactome) Signaling by Wnt","REACTOME_SIGNALING_BY_WNT","DOWN",-0.168,-5.15,0.000941,0.00592
