"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN","DOWN",-0.148,-5.1,4.45e-07,2.78e-05
"(BioCarta) TGF beta signaling pathway","BIOCARTA_TGFB_PATHWAY","UP",0.185,5.08,4.86e-07,2.78e-05
"(Reactome) TGF-beta receptor signaling activates SMADs","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS","UP",0.139,5.08,4.96e-07,2.78e-05
"(KEGG) Regulation of actin cytoskeleton","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","UP",0.0627,5.07,5.1e-07,2.78e-05
"(Reactome) RNA Polymerase III Transcription Initiation From Type 2 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER","DOWN",-0.182,-5.07,5.22e-07,2.78e-05
"(Reactome) Caspase-mediated cleavage of cytoskeletal proteins","REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","UP",0.18,5.06,5.32e-07,2.78e-05
"(Reactome) YAP1- and WWTR1 (TAZ)-stimulated gene expression","REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION","UP",0.24,5.06,5.42e-07,2.78e-05
"(KEGG) Huntington's disease","KEGG_HUNTINGTONS_DISEASE","DOWN",-0.117,-5.06,5.46e-07,2.78e-05
"(Reactome) RNA Polymerase III Transcription Initiation From Type 3 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER","DOWN",-0.181,-5.04,5.88e-07,2.78e-05
"(Reactome) Signaling by TGF-beta Receptor Complex","REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","UP",0.11,5.04,5.93e-07,2.78e-05
"(KEGG) Oxidative phosphorylation","KEGG_OXIDATIVE_PHOSPHORYLATION","DOWN",-0.161,-5,7.38e-07,3.26e-05
"(KEGG) RNA polymerase","KEGG_RNA_POLYMERASE","DOWN",-0.161,-4.99,7.78e-07,3.26e-05
"(Reactome) Respiratory electron transport","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","DOWN",-0.159,-4.98,7.81e-07,3.26e-05
"(Reactome) Phosphorylation of the APC/C","REACTOME_PHOSPHORYLATION_OF_THE_APC_C","DOWN",-0.158,-4.95,9.15e-07,3.69e-05
"(KEGG) TGF-beta signaling pathway","KEGG_TGF_BETA_SIGNALING_PATHWAY","UP",0.144,4.94,9.93e-07,3.87e-05
"(Reactome) Regulation of mitotic cell cycle","REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE","DOWN",-0.12,-4.93,1.03e-06,3.9e-05
"(BioCarta) mCalpain and friends in Cell motility","BIOCARTA_MCALPAIN_PATHWAY","UP",0.132,4.88,1.32e-06,4.84e-05
"(KEGG) Alzheimer's disease","KEGG_ALZHEIMERS_DISEASE","DOWN",-0.112,-4.86,1.43e-06,5.08e-05
"(Reactome) Insulin Synthesis and Processing","REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING","DOWN",-0.192,-4.85,1.54e-06,5.29e-05
"(BioCarta) Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia","BIOCARTA_ECM_PATHWAY","UP",0.149,4.82,1.73e-06,5.79e-05
"(Reactome) RNA Polymerase III Transcription Termination","REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION","DOWN",-0.177,-4.82,1.8e-06,5.84e-05
"(KEGG) Glycerolipid metabolism","KEGG_GLYCEROLIPID_METABOLISM","DOWN",-0.105,-4.8,1.96e-06,6.2e-05
"(KEGG) Cardiac muscle contraction","KEGG_CARDIAC_MUSCLE_CONTRACTION","DOWN",-0.169,-4.78,2.12e-06,6.52e-05
"(KEGG) Parkinson's disease","KEGG_PARKINSONS_DISEASE","DOWN",-0.133,-4.76,2.39e-06,7.16e-05
"(Reactome) RNA Polymerase III Transcription","REACTOME_RNA_POL_III_TRANSCRIPTION","DOWN",-0.153,-4.75,2.51e-06,7.21e-05
"(Reactome) mRNA Decay by 5' to 3' Exoribonuclease","REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE","DOWN",-0.115,-4.74,2.59e-06,7.21e-05
"(Reactome) Formation of ATP by chemiosmotic coupling","REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING","DOWN",-0.235,-4.73,2.65e-06,7.21e-05
"(Reactome) Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","DOWN",-0.148,-4.73,2.65e-06,7.21e-05
"(BioCarta) Control of Gene Expression by Vitamin D Receptor","BIOCARTA_VDR_PATHWAY","UP",0.205,4.73,2.77e-06,7.24e-05
"(Reactome) APC/C:Cdc20 mediated degradation of Cyclin B","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","DOWN",-0.133,-4.72,2.79e-06,7.24e-05
"(BioCarta) Integrin Signaling Pathway","BIOCARTA_INTEGRIN_PATHWAY","UP",0.113,4.72,2.91e-06,7.39e-05
"(Reactome) Protein folding","REACTOME_PROTEIN_FOLDING","DOWN",-0.075,-4.68,3.47e-06,8.64e-05
"(Reactome) Signaling by SCF-KIT","REACTOME_SIGNALING_BY_SCF_KIT","UP",0.0613,4.67,3.62e-06,8.82e-05
"(Reactome) tRNA Aminoacylation","REACTOME_TRNA_AMINOACYLATION","DOWN",-0.122,-4.62,4.56e-06,0.000108
"(Reactome) Resolution of AP sites via the single-nucleotide replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","DOWN",-0.175,-4.62,4.63e-06,0.000108
"(PID) Validated targets of C-MYC transcriptional repression","PID_MYC_REPRESS_PATHWAY","UP",0.196,4.61,4.74e-06,0.000109
"(Reactome) Cell Cycle Checkpoints","REACTOME_CELL_CYCLE_CHECKPOINTS","DOWN",-0.109,-4.6,4.91e-06,0.000111
"(Reactome) Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER","UP",0.113,4.6,5.11e-06,0.000113
"(BioCarta) ALK in cardiac myocytes","BIOCARTA_ALK_PATHWAY","UP",0.131,4.58,5.49e-06,0.000116
"(Reactome) APC-Cdc20 mediated degradation of Nek2A","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","DOWN",-0.124,-4.58,5.53e-06,0.000116
"(Reactome) Class I MHC mediated antigen processing & presentation","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","DOWN",-0.0569,-4.58,5.58e-06,0.000116
"(Reactome) RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING","DOWN",-0.124,-4.57,5.89e-06,0.000119
"(BioCarta) Role of Tob in T-cell activation","BIOCARTA_TOB1_PATHWAY","UP",0.422,4.56,5.93e-06,0.000119
"(KEGG) Basal transcription factors","KEGG_BASAL_TRANSCRIPTION_FACTORS","DOWN",-0.114,-4.56,5.99e-06,0.000119
"(Signaling Gateway) Genes related to the insulin receptor pathway","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","UP",0.0799,4.55,6.29e-06,0.000119
"(Reactome) S Phase","REACTOME_S_PHASE","DOWN",-0.0894,-4.55,6.32e-06,0.000119
"(Reactome) SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION","UP",0.134,4.55,6.33e-06,0.000119
"(Reactome) Base-free sugar-phosphate removal via the single-nucleotide replacement pathway","REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","DOWN",-0.178,-4.53,6.78e-06,0.000122
"(Reactome) APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","DOWN",-0.116,-4.53,6.8e-06,0.000122
"(PID) Signaling events mediated by focal adhesion kinase","PID_FAK_PATHWAY","UP",0.0825,4.53,6.87e-06,0.000122
"(Reactome) Base Excision Repair","REACTOME_BASE_EXCISION_REPAIR","DOWN",-0.139,-4.53,6.87e-06,0.000122
"(PID) PDGFR-beta signaling pathway","PID_PDGFRB_PATHWAY","UP",0.0736,4.53,7.05e-06,0.000123
"(Reactome) APC/C:Cdc20 mediated degradation of mitotic proteins","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS","DOWN",-0.122,-4.52,7.16e-06,0.000123
"(PID) BMP receptor signaling","PID_BMP_PATHWAY","UP",0.111,4.51,7.48e-06,0.000125
"(PID) Integrin family cell surface interactions","PID_INTEGRIN_CS_PATHWAY","UP",0.192,4.51,7.5e-06,0.000125
"(BioCarta) Regulation of p27 Phosphorylation during Cell Cycle Progression","BIOCARTA_P27_PATHWAY","DOWN",-0.108,-4.51,7.72e-06,0.000126
"(BioCarta) Electron Transport Reaction in Mitochondria","BIOCARTA_ETC_PATHWAY","DOWN",-0.149,-4.51,7.75e-06,0.000126
"(Reactome) Regulation of Insulin Secretion by Acetylcholine","REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE","DOWN",-0.156,-4.5,8.09e-06,0.000129
"(PID) S1P1 pathway","PID_S1P_S1P1_PATHWAY","UP",0.123,4.49,8.16e-06,0.000129
"(PID) S1P3 pathway","PID_S1P_S1P3_PATHWAY","UP",0.142,4.48,8.52e-06,0.000133
"(Reactome) Regulation of KIT signaling","REACTOME_REGULATION_OF_KIT_SIGNALING","UP",0.128,4.48,8.65e-06,0.000133
"(PID) Alpha6 beta4 integrin-ligand interactions","PID_INTEGRIN4_PATHWAY","UP",0.279,4.48,8.83e-06,0.000134
"(Reactome) Resolution of AP sites via the multiple-nucleotide patch replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","DOWN",-0.137,-4.45,9.77e-06,0.000143
"(Reactome) Synthesis of DNA","REACTOME_SYNTHESIS_OF_DNA","DOWN",-0.1,-4.45,9.78e-06,0.000143
"(BioCarta) Rac 1 cell motility signaling pathway","BIOCARTA_RAC1_PATHWAY","DOWN",-0.0926,-4.45,9.8e-06,0.000143
"(Reactome) Autodegradation of Cdh1 by Cdh1:APC/C","REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C","DOWN",-0.123,-4.45,1e-05,0.000144
"(Reactome) Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","DOWN",-0.129,-4.44,1.02e-05,0.000146
"(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development","BIOCARTA_IL12_PATHWAY","DOWN",-0.184,-4.44,1.04e-05,0.000146
"(Reactome) Ligand-gated ion channel transport","REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT","DOWN",-0.482,-4.43,1.08e-05,0.00015
"(PID) LPA receptor mediated events","PID_LYSOPHOSPHOLIPID_PATHWAY","UP",0.0712,4.42,1.15e-05,0.000158
"(KEGG) Pyrimidine metabolism","KEGG_PYRIMIDINE_METABOLISM","DOWN",-0.104,-4.41,1.22e-05,0.000166
"(Reactome) Cyclin E associated events during G1/S transition ","REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_","DOWN",-0.0966,-4.4,1.23e-05,0.000166
"(PID) Regulation of Telomerase","PID_TELOMERASE_PATHWAY","UP",0.0637,4.39,1.32e-05,0.000175
"(KEGG) Nitrogen metabolism","KEGG_NITROGEN_METABOLISM","DOWN",-0.146,-4.38,1.39e-05,0.000183
"(Reactome) TRAF6 mediated IRF7 activation","REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION","UP",0.149,4.37,1.43e-05,0.000185
"(Reactome) Signaling by FGFR1 fusion mutants","REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS","UP",0.107,4.37,1.44e-05,0.000185
"(KEGG) Notch signaling pathway","KEGG_NOTCH_SIGNALING_PATHWAY","UP",0.123,4.36,1.48e-05,0.000188
"(Reactome) Apoptotic cleavage of cellular proteins","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","UP",0.117,4.36,1.51e-05,0.000189
"(Reactome) Voltage gated Potassium channels","REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","DOWN",-0.419,-4.36,1.52e-05,0.000189
"(Reactome) Glutamate Neurotransmitter Release Cycle","REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE","DOWN",-0.175,-4.35,1.57e-05,0.000191
"(PID) Nectin adhesion pathway","PID_NECTIN_PATHWAY","UP",0.106,4.35,1.58e-05,0.000191
"(PID) Signaling events mediated by PTP1B","PID_PTP1B_PATHWAY","UP",0.171,4.35,1.58e-05,0.000191
"(Reactome) G1/S Transition","REACTOME_G1_S_TRANSITION","DOWN",-0.0884,-4.33,1.67e-05,0.000199
"(Reactome) Lipoprotein metabolism","REACTOME_LIPOPROTEIN_METABOLISM","UP",0.16,4.32,1.75e-05,0.000207
"(PID) S1P4 pathway","PID_S1P_S1P4_PATHWAY","UP",0.188,4.31,1.86e-05,0.000217
"(PID) SHP2 signaling","PID_SHP2_PATHWAY","UP",0.079,4.3,1.95e-05,0.000226
"(PID) Alpha4 beta1 integrin signaling events","PID_INTEGRIN_A4B1_PATHWAY","UP",0.16,4.27,2.18e-05,0.00025
"(Reactome) Metabolism of vitamins and cofactors","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS","DOWN",-0.104,-4.27,2.21e-05,0.000251
"(PID) Fc-epsilon receptor I signaling in mast cells","PID_FCER1_PATHWAY","UP",0.12,4.27,2.25e-05,0.000253
"(PID) ALK1 signaling events","PID_ALK1_PATHWAY","UP",0.19,4.26,2.29e-05,0.000255
"(Reactome) HIV Infection","REACTOME_HIV_INFECTION","DOWN",-0.0737,-4.26,2.31e-05,0.000255
"(PID) TNF receptor signaling pathway","PID_TNF_PATHWAY","UP",0.0855,4.26,2.34e-05,0.000255
"(PID) Beta5 beta6 beta7 and beta8 integrin cell surface interactions","PID_INTEGRIN5_PATHWAY","UP",0.319,4.25,2.43e-05,0.000263
"(PID) Noncanonical Wnt signaling pathway","PID_WNT_NONCANONICAL_PATHWAY","UP",0.061,4.25,2.45e-05,0.000263
"(KEGG) Citrate cycle (TCA cycle)","KEGG_CITRATE_CYCLE_TCA_CYCLE","DOWN",-0.144,-4.24,2.48e-05,0.000263
"(PID) Posttranslational regulation of adherens junction stability and dissassembly","PID_AJDISS_2PATHWAY","UP",0.111,4.24,2.49e-05,0.000263
"(Reactome) DCC mediated attractive signaling","REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING","UP",0.0952,4.22,2.73e-05,0.00028
"(Reactome) Cytosolic tRNA aminoacylation","REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION","DOWN",-0.13,-4.22,2.74e-05,0.00028
"(Reactome) Chondroitin sulfate biosynthesis","REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS","UP",0.214,4.22,2.74e-05,0.00028
"(KEGG) Aminoacyl-tRNA biosynthesis","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","DOWN",-0.116,-4.22,2.75e-05,0.00028
"(Reactome) Endosomal Sorting Complex Required For Transport (ESCRT)","REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT","DOWN",-0.097,-4.22,2.8e-05,0.00028
"(KEGG) Valine, leucine and isoleucine biosynthesis","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS","DOWN",-0.152,-4.22,2.81e-05,0.00028
"(KEGG) Ubiquitin mediated proteolysis","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","DOWN",-0.0625,-4.21,2.87e-05,0.00028
"(Reactome) Ion channel transport","REACTOME_ION_CHANNEL_TRANSPORT","DOWN",-0.205,-4.21,2.87e-05,0.00028
"(Reactome) Serotonin receptors","REACTOME_SEROTONIN_RECEPTORS","DOWN",-0.349,-4.21,2.9e-05,0.00028
"(PID) Signaling events mediated by HDAC Class III","PID_HDAC_CLASSIII_PATHWAY","UP",0.121,4.21,2.9e-05,0.00028
"(BioCarta) Proteasome Complex","BIOCARTA_PROTEASOME_PATHWAY","DOWN",-0.123,-4.21,2.92e-05,0.00028
"(Reactome) Downregulation of TGF-beta receptor signaling","REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING","UP",0.122,4.2,3e-05,0.000285
"(BioCarta) Role of ERBB2 in Signal Transduction and Oncology","BIOCARTA_HER2_PATHWAY","UP",0.0894,4.2,3.04e-05,0.000285
"(Reactome) Lipid digestion, mobilization, and transport","REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT","UP",0.143,4.2,3.04e-05,0.000285
"(Reactome) SCF(Skp2)-mediated degradation of p27/p21","REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21","DOWN",-0.104,-4.18,3.27e-05,0.000302
"(Reactome) Pyruvate metabolism and Citric Acid (TCA) cycle","REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE","DOWN",-0.127,-4.18,3.28e-05,0.000302
"(KEGG) Riboflavin metabolism","KEGG_RIBOFLAVIN_METABOLISM","DOWN",-0.201,-4.17,3.38e-05,0.000309
"(Reactome) GRB2:SOS provides linkage to MAPK signaling for Intergrins ","REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_","UP",0.194,4.17,3.44e-05,0.00031
"(PID) Regulation of nuclear SMAD2/3 signaling","PID_SMAD2_3NUCLEAR_PATHWAY","UP",0.103,4.17,3.47e-05,0.00031
"(Reactome) Downregulation of SMAD2/3:SMAD4 transcriptional activity","REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY","UP",0.0965,4.17,3.47e-05,0.00031
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","DOWN",-0.114,-4.16,3.61e-05,0.000316
"(PID) Internalization of ErbB1","PID_ERBB1_INTERNALIZATION_PATHWAY","DOWN",-0.0805,-4.16,3.61e-05,0.000316
"(Reactome) M/G1 Transition","REACTOME_M_G1_TRANSITION","DOWN",-0.107,-4.16,3.65e-05,0.000316
"(PID) E-cadherin signaling in the nascent adherens junction","PID_ECADHERIN_NASCENT_AJ_PATHWAY","UP",0.0755,4.15,3.67e-05,0.000316
"(Reactome) DSCAM interactions","REACTOME_DSCAM_INTERACTIONS","DOWN",-0.198,-4.15,3.67e-05,0.000316
"(Reactome) TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","UP",0.127,4.15,3.73e-05,0.000319
"(KEGG) Adherens junction","KEGG_ADHERENS_JUNCTION","UP",0.082,4.14,3.82e-05,0.000324
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","DOWN",-0.071,-4.14,3.84e-05,0.000324
"(PID) a6b1 and a6b4 Integrin signaling","PID_A6B1_A6B4_INTEGRIN_PATHWAY","UP",0.127,4.13,4.03e-05,0.000336
"(Reactome) Citric acid cycle (TCA cycle)","REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE","DOWN",-0.152,-4.13,4.14e-05,0.000343
"(Reactome) CDT1 association with the CDC6:ORC:origin complex","REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX","DOWN",-0.111,-4.12,4.23e-05,0.000349
"(Reactome) Regulation of Insulin Secretion","REACTOME_REGULATION_OF_INSULIN_SECRETION","DOWN",-0.101,-4.11,4.36e-05,0.000357
"(Reactome) Signaling by ERBB4","REACTOME_SIGNALING_BY_ERBB4","UP",0.0588,4.11,4.48e-05,0.000364
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","DOWN",-0.14,-4.09,4.75e-05,0.000381
"(BioCarta) Multi-step Regulation of Transcription by Pitx2","BIOCARTA_PITX2_PATHWAY","UP",0.124,4.09,4.77e-05,0.000381
"(KEGG) Retinol metabolism","KEGG_RETINOL_METABOLISM","DOWN",-0.102,-4.09,4.78e-05,0.000381
"(Reactome) Host Interactions of HIV factors","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","DOWN",-0.0709,-4.08,4.92e-05,0.000388
"(BioCarta) HIV-I Nef: negative effector of Fas and TNF","BIOCARTA_HIVNEF_PATHWAY","UP",0.108,4.08,4.94e-05,0.000388
"(BioCarta) uCalpain and friends in Cell spread","BIOCARTA_UCALPAIN_PATHWAY","UP",0.0821,4.08,5e-05,0.00039
"(KEGG) Selenoamino acid metabolism","KEGG_SELENOAMINO_ACID_METABOLISM","DOWN",-0.085,-4.08,5.12e-05,0.000397
"(BioCarta) CXCR4 Signaling Pathway","BIOCARTA_CXCR4_PATHWAY","UP",0.0918,4.07,5.29e-05,0.000406
"(Reactome) Incretin Synthesis, Secretion, and Inactivation","REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION","DOWN",-0.161,-4.07,5.34e-05,0.000406
"(Reactome) Synthesis, Secretion, and Inactivation of Glucagon-like Peptide-1 (GLP-1)","REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1","DOWN",-0.161,-4.07,5.34e-05,0.000406
"(KEGG) ECM-receptor interaction","KEGG_ECM_RECEPTOR_INTERACTION","UP",0.168,4.05,5.68e-05,0.000429
"(Reactome) Transcription-coupled NER (TC-NER)","REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER","DOWN",-0.106,-4.05,5.72e-05,0.000429
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","DOWN",-0.128,-4.05,5.77e-05,0.00043
"(Reactome) Cell surface interactions at the vascular wall","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","UP",0.111,4.02,6.45e-05,0.000478
"(Reactome) Signaling by Wnt","REACTOME_SIGNALING_BY_WNT","DOWN",-0.0848,-4.02,6.5e-05,0.000478
"(PID) amb2 Integrin signaling","PID_AMB2_NEUTROPHILS_PATHWAY","UP",0.147,4.01,6.6e-05,0.000482
"(PID) Regulation of cytoplasmic and nuclear SMAD2/3 signaling","PID_SMAD2_3PATHWAY","UP",0.0891,4,6.9e-05,0.000501
"(Reactome) Integration of energy metabolism","REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","DOWN",-0.0864,-4,7.02e-05,0.000507
"(Reactome) Assembly of the pre-replicative complex","REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.109,-3.99,7.29e-05,0.000524
"(BioCarta) Stress Induction of HSP Regulation","BIOCARTA_HSP27_PATHWAY","UP",0.229,3.98,7.58e-05,0.00054
"(BioCarta) Regulation And Function Of ChREBP in Liver","BIOCARTA_CHREBP2_PATHWAY","DOWN",-0.0775,-3.98,7.66e-05,0.00054
"(KEGG) Purine metabolism","KEGG_PURINE_METABOLISM","DOWN",-0.0912,-3.98,7.67e-05,0.00054
"(Naba) Genes encoding proteoglycans","NABA_PROTEOGLYCANS","UP",0.224,3.97,7.88e-05,0.000552
"(PID) Osteopontin-mediated events","PID_AVB3_OPN_PATHWAY","UP",0.138,3.97,7.93e-05,0.000552
"(PID) Validated targets of C-MYC transcriptional activation","PID_MYC_ACTIV_PATHWAY","DOWN",-0.0519,-3.96,8.14e-05,0.000562
"(Reactome) Pyrimidine catabolism","REACTOME_PYRIMIDINE_CATABOLISM","DOWN",-0.13,-3.96,8.2e-05,0.000562
