"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING","DOWN",-0.0584,-3.11,0.00197,0.0368
"(BioCarta) Transcription Regulation by Methyltransferase of CARM1","BIOCARTA_CARM1_PATHWAY","UP",0.0558,3.11,0.00198,0.0368
"(Reactome) Interactions of Vpr with host cellular proteins","REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","DOWN",-0.0508,-3.11,0.00198,0.0368
"(Reactome) Recycling pathway of L1","REACTOME_RECYCLING_PATHWAY_OF_L1","UP",0.0296,3.1,0.00201,0.0368
"(Reactome) Regulation of Glucokinase by Glucokinase Regulatory Protein","REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","DOWN",-0.0564,-3.1,0.00202,0.0368
"(Reactome) TRIF mediated TLR3 signaling","REACTOME_TRIF_MEDIATED_TLR3_SIGNALING","UP",0.0376,3.1,0.00203,0.0368
"(PID) Insulin Pathway","PID_INSULIN_PATHWAY","UP",0.0373,3.1,0.00203,0.0368
"(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","ST_GRANULE_CELL_SURVIVAL_PATHWAY","UP",0.0386,3.08,0.00214,0.0381
"(Reactome) Transport of Ribonucleoproteins into the Host Nucleus","REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS","DOWN",-0.055,-3.07,0.00225,0.0392
"(Reactome) Sulfur amino acid metabolism","REACTOME_SULFUR_AMINO_ACID_METABOLISM","DOWN",-0.0683,-3.07,0.00227,0.0392
"(Reactome) Sphingolipid de novo biosynthesis","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS","UP",0.0487,3.04,0.00248,0.0417
"(Reactome) Processing of Intronless Pre-mRNAs","REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS","DOWN",-0.0448,-3.04,0.00248,0.0417
"(Reactome) mRNA Processing","REACTOME_MRNA_PROCESSING","DOWN",-0.0337,-3.03,0.00253,0.0417
"(Reactome) Transport of Mature mRNA Derived from an Intronless Transcript","REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT","DOWN",-0.0523,-3.03,0.00255,0.0417
"(Reactome) ADP signalling through P2Y purinoceptor 1","REACTOME_ADP_SIGNALLING_THROUGH_P2RY1","DOWN",-0.0439,-3.02,0.00262,0.0421
"(PID) Insulin-mediated glucose transport","PID_INSULIN_GLUCOSE_PATHWAY","UP",0.0371,3.01,0.00272,0.0425
"(Reactome) Signaling by TGF-beta Receptor Complex","REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","UP",0.0417,3.01,0.00272,0.0425
"(Reactome) PI3K Cascade","REACTOME_PI3K_CASCADE","UP",0.0338,3,0.0028,0.0425
"(Signaling Gateway) Genes related to the insulin receptor pathway","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","UP",0.0353,3,0.00281,0.0425
"(Reactome) Formation of transcription-coupled NER (TC-NER) repair complex","REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX","DOWN",-0.0568,-3,0.00283,0.0425
"(PID) N-cadherin signaling events","PID_NCADHERIN_PATHWAY","UP",0.0384,2.99,0.00287,0.0425
"(BioCarta) TGF beta signaling pathway","BIOCARTA_TGFB_PATHWAY","UP",0.0675,2.99,0.00289,0.0425
"(Reactome) Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","DOWN",-0.0521,-2.96,0.00316,0.0447
"(Reactome) Double-Strand Break Repair","REACTOME_DOUBLE_STRAND_BREAK_REPAIR","DOWN",-0.0486,-2.96,0.00318,0.0447
"(KEGG) Mismatch repair","KEGG_MISMATCH_REPAIR","DOWN",-0.0632,-2.96,0.0032,0.0447
"(PID) Signaling events mediated by HDAC Class III","PID_HDAC_CLASSIII_PATHWAY","UP",0.0579,2.96,0.00324,0.0447
"(Reactome) Late Phase of HIV Life Cycle","REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE","DOWN",-0.04,-2.95,0.00328,0.0447
"(Reactome) RORA Activates Circadian Expression","REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION","UP",0.0637,2.95,0.0033,0.0447
"(Reactome) N-glycan trimming in the ER and Calnexin/Calreticulin cycle","REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE","DOWN",-0.0463,-2.95,0.00332,0.0447
"(Reactome) Transcription-coupled NER (TC-NER)","REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER","DOWN",-0.0528,-2.94,0.00337,0.0449
"(KEGG) Insulin signaling pathway","KEGG_INSULIN_SIGNALING_PATHWAY","UP",0.0221,2.94,0.00343,0.0451
"(PID) Regulation of nuclear SMAD2/3 signaling","PID_SMAD2_3NUCLEAR_PATHWAY","UP",0.0546,2.93,0.00356,0.0455
"(Reactome) Insulin receptor signalling cascade","REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE","UP",0.027,2.93,0.00356,0.0455
"(Reactome) Pyruvate metabolism and Citric Acid (TCA) cycle","REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE","DOWN",-0.0662,-2.92,0.00357,0.0455
"(Reactome) Regulation of ornithine decarboxylase (ODC)","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","DOWN",-0.0477,-2.92,0.00364,0.0459
"(Reactome) APC/C:Cdc20 mediated degradation of Cyclin B","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","DOWN",-0.048,-2.91,0.00372,0.0463
"(Reactome) RNA Polymerase II Transcription","REACTOME_RNA_POL_II_TRANSCRIPTION","DOWN",-0.036,-2.9,0.00382,0.0466
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","UP",0.0526,2.9,0.00384,0.0466
"(Reactome) NRIF signals cell death from the nucleus","REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS","DOWN",-0.0508,-2.9,0.00386,0.0466
"(Reactome) PPARA Activates Gene Expression","REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION","UP",0.0263,2.9,0.00391,0.0467
"(BioCarta) IL-7 Signal Transduction","BIOCARTA_IL7_PATHWAY","UP",0.0441,2.88,0.00409,0.0484
"(Reactome) Glucagon-type ligand receptors","REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS","DOWN",-0.0615,-2.88,0.00414,0.0484
"(Reactome) Nucleotide Excision Repair","REACTOME_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-0.0489,-2.86,0.00431,0.049
"(Reactome) MyD88:Mal cascade initiated on plasma membrane","REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE","UP",0.0307,2.86,0.00433,0.049
"(Reactome) Metabolism of amino acids and derivatives","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","DOWN",-0.0458,-2.86,0.00438,0.049
"(KEGG) Valine, leucine and isoleucine degradation","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION","DOWN",-0.0972,-2.86,0.00438,0.049
"(Reactome) NFkB and MAP kinases activation mediated by TLR4 signaling repertoire","REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE","UP",0.039,2.86,0.0044,0.049
"(Reactome) Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN","DOWN",-0.0536,-2.85,0.00457,0.0504
"(Reactome) Metabolism of proteins","REACTOME_METABOLISM_OF_PROTEINS","DOWN",-0.0234,-2.84,0.00463,0.0506
"(Reactome) Tight junction interactions","REACTOME_TIGHT_JUNCTION_INTERACTIONS","UP",0.0658,2.84,0.00471,0.0509
"(Reactome) Viral Messenger RNA Synthesis","REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS","DOWN",-0.0555,-2.83,0.00474,0.0509
"(Reactome) MAP kinase activation in TLR cascade","REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE","UP",0.036,2.82,0.00491,0.0523
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","UP",0.0395,2.81,0.00513,0.0526
"(Reactome) PI3K/AKT activation","REACTOME_PI3K_AKT_ACTIVATION","UP",0.0356,2.8,0.0053,0.0526
"(Reactome) MicroRNA (miRNA) Biogenesis","REACTOME_MICRORNA_MIRNA_BIOGENESIS","DOWN",-0.0447,-2.8,0.0053,0.0526
"(Reactome) Synthesis of substrates in N-glycan biosythesis","REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS","DOWN",-0.0608,-2.79,0.00539,0.0526
"(BioCarta) fMLP induced chemokine gene expression in HMC-1 cells","BIOCARTA_FMLP_PATHWAY","UP",0.0319,2.79,0.00541,0.0526
"(BioCarta) CXCR4 Signaling Pathway","BIOCARTA_CXCR4_PATHWAY","UP",0.0419,2.79,0.00545,0.0526
"(KEGG) Tryptophan metabolism","KEGG_TRYPTOPHAN_METABOLISM","DOWN",-0.078,-2.79,0.00546,0.0526
"(Reactome) Processing of Capped Intron-Containing Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","DOWN",-0.0313,-2.79,0.00547,0.0526
"(Reactome) Phosphorylation of the APC/C","REACTOME_PHOSPHORYLATION_OF_THE_APC_C","DOWN",-0.0514,-2.79,0.00549,0.0526
"(Reactome) Metabolism of polyamines","REACTOME_METABOLISM_OF_POLYAMINES","DOWN",-0.0472,-2.79,0.00549,0.0526
"(BioCarta) ALK in cardiac myocytes","BIOCARTA_ALK_PATHWAY","UP",0.0497,2.79,0.00551,0.0526
"(Reactome) Branched-chain amino acid catabolism","REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","DOWN",-0.0887,-2.78,0.00553,0.0526
"(Reactome) Circadian Repression of Expression by REV-ERBA","REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA","UP",0.0622,2.78,0.00554,0.0526
"(Reactome) Citric acid cycle (TCA cycle)","REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE","DOWN",-0.0841,-2.78,0.00564,0.053
"(BioCarta) PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase","BIOCARTA_MYOSIN_PATHWAY","UP",0.0403,2.78,0.00567,0.053
"(BioCarta) T Cell Receptor Signaling Pathway","BIOCARTA_TCR_PATHWAY","UP",0.0398,2.77,0.00573,0.0531
"(Reactome) Influenza Life Cycle","REACTOME_INFLUENZA_LIFE_CYCLE","DOWN",-0.0258,-2.77,0.00582,0.0533
"(Reactome) GAB1 signalosome","REACTOME_GAB1_SIGNALOSOME","UP",0.0386,2.77,0.00585,0.0533
"(BioCarta) Signal transduction through IL1R","BIOCARTA_IL1R_PATHWAY","UP",0.0559,2.76,0.00588,0.0533
"(PID) EPHA forward signaling","PID_EPHA_FWDPATHWAY","UP",0.036,2.74,0.00635,0.0566
"(Reactome) APC-Cdc20 mediated degradation of Nek2A","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","DOWN",-0.044,-2.74,0.00635,0.0566
"(Reactome) Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters","REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS","DOWN",-0.0359,-2.73,0.00645,0.057
"(PID) S1P4 pathway","PID_S1P_S1P4_PATHWAY","UP",0.0632,2.73,0.0066,0.0575
"(KEGG) Peroxisome","KEGG_PEROXISOME","DOWN",-0.0446,-2.72,0.00664,0.0575
"(Reactome) RNA Polymerase II Pre-transcription Events","REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS","DOWN",-0.0392,-2.72,0.00665,0.0575
"(Reactome) Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","DOWN",-0.0494,-2.72,0.00673,0.0576
"(Reactome) PI-3K cascade","REACTOME_PI_3K_CASCADE","UP",0.0423,2.72,0.00678,0.0576
"(BioCarta) Downregulated of MTA-3 in ER-negative Breast Tumors","BIOCARTA_MTA3_PATHWAY","UP",0.0385,2.71,0.00681,0.0576
"(KEGG) Lysosome","KEGG_LYSOSOME","DOWN",-0.0372,-2.71,0.00698,0.0586
"(Reactome) Transport of Mature Transcript to Cytoplasm","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","DOWN",-0.0352,-2.7,0.00713,0.0591
"(KEGG) N-Glycan biosynthesis","KEGG_N_GLYCAN_BIOSYNTHESIS","DOWN",-0.0346,-2.7,0.00716,0.0591
"(Reactome) Activated TLR4 signalling","REACTOME_ACTIVATED_TLR4_SIGNALLING","UP",0.0331,2.7,0.0072,0.0591
"(Reactome) The citric acid (TCA) cycle and respiratory electron transport","REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","DOWN",-0.0427,-2.69,0.00729,0.0595
"(Reactome) Caspase-mediated cleavage of cytoskeletal proteins","REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","UP",0.0547,2.69,0.00742,0.0602
"(Reactome) Formation of incision complex in GG-NER","REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER","DOWN",-0.0615,-2.68,0.00753,0.0606
"(Reactome) SOS-mediated signalling","REACTOME_SOS_MEDIATED_SIGNALLING","UP",0.0311,2.67,0.00779,0.0622
"(KEGG) NOD-like receptor signaling pathway","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","UP",0.0294,2.67,0.00785,0.0622
"(Reactome) Post-translational modification: synthesis of GPI-anchored proteins","REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS","DOWN",-0.0479,-2.66,0.00804,0.0622
"(Reactome) Formation of the HIV-1 Early Elongation Complex","REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX","DOWN",-0.0433,-2.66,0.00808,0.0622
"(KEGG) Citrate cycle (TCA cycle)","KEGG_CITRATE_CYCLE_TCA_CYCLE","DOWN",-0.0709,-2.66,0.00808,0.0622
"(Reactome) DNA Repair","REACTOME_DNA_REPAIR","DOWN",-0.0472,-2.66,0.00811,0.0622
"(PID) Regulation of p38-alpha and p38-beta","PID_P38_ALPHA_BETA_PATHWAY","UP",0.0267,2.66,0.00812,0.0622
"(PID) Signaling mediated by p38-gamma and p38-delta","PID_P38_GAMMA_DELTA_PATHWAY","UP",0.036,2.65,0.00816,0.0622
"(KEGG) Fatty acid metabolism","KEGG_FATTY_ACID_METABOLISM","DOWN",-0.0779,-2.63,0.00868,0.0655
"(Reactome) YAP1- and WWTR1 (TAZ)-stimulated gene expression","REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION","UP",0.076,2.63,0.0087,0.0655
"(Reactome) Activation of Kainate Receptors upon glutamate binding","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","DOWN",-0.0583,-2.61,0.00914,0.0684
"(KEGG) Apoptosis","KEGG_APOPTOSIS","UP",0.031,2.61,0.00923,0.0686
"(KEGG) B cell receptor signaling pathway","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","UP",0.0276,2.6,0.00962,0.071
"(PID) Regulation of cytoplasmic and nuclear SMAD2/3 signaling","PID_SMAD2_3PATHWAY","UP",0.0418,2.59,0.00981,0.072
"(KEGG) Retinol metabolism","KEGG_RETINOL_METABOLISM","DOWN",-0.0548,-2.59,0.00994,0.0722
"(Reactome) SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs","REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS","DOWN",-0.0475,-2.59,0.00997,0.0722
"(Reactome) Cleavage of Growing Transcript in the Termination Region ","REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_","DOWN",-0.0298,-2.58,0.0102,0.0737
"(Reactome) Signaling by PDGF","REACTOME_SIGNALING_BY_PDGF","UP",0.0175,2.56,0.0106,0.0757
"(KEGG) Acute myeloid leukemia","KEGG_ACUTE_MYELOID_LEUKEMIA","UP",0.0258,2.56,0.0107,0.0761
"(Reactome) Zinc transporters","REACTOME_ZINC_TRANSPORTERS","DOWN",-0.0606,-2.56,0.0109,0.0766
"(Reactome) Formation of RNA Pol II elongation complex ","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_","DOWN",-0.0369,-2.55,0.0109,0.0766
"(PID) Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)","PID_MET_PATHWAY","UP",0.0198,2.54,0.0112,0.0781
"(BioCarta) Control of Gene Expression by Vitamin D Receptor","BIOCARTA_VDR_PATHWAY","UP",0.069,2.54,0.0112,0.0781
"(Reactome) Fanconi Anemia pathway","REACTOME_FANCONI_ANEMIA_PATHWAY","DOWN",-0.0468,-2.53,0.0117,0.0804
"(KEGG) Nicotinate and nicotinamide metabolism","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","DOWN",-0.0506,-2.52,0.012,0.0824
"(KEGG) Limonene and pinene degradation","KEGG_LIMONENE_AND_PINENE_DEGRADATION","DOWN",-0.0707,-2.52,0.0121,0.0824
"(KEGG) Riboflavin metabolism","KEGG_RIBOFLAVIN_METABOLISM","DOWN",-0.0889,-2.51,0.0122,0.0829
"(Reactome) Metabolism of non-coding RNA","REACTOME_METABOLISM_OF_NON_CODING_RNA","DOWN",-0.0411,-2.51,0.0123,0.083
"(PID) Class I PI3K signaling events","PID_PI3KCI_PATHWAY","UP",0.0328,2.51,0.0124,0.083
"(Reactome) CD28 co-stimulation","REACTOME_CD28_CO_STIMULATION","UP",0.0221,2.5,0.0126,0.0838
"(KEGG) Pathways in cancer","KEGG_PATHWAYS_IN_CANCER","UP",0.0153,2.5,0.0128,0.0838
"(Reactome) Global Genomic NER (GG-NER)","REACTOME_GLOBAL_GENOMIC_NER_GG_NER","DOWN",-0.0472,-2.5,0.0128,0.0838
"(STKE) Integrin Signaling Pathway","ST_INTEGRIN_SIGNALING_PATHWAY","UP",0.0194,2.5,0.0129,0.0838
"(Reactome) TAK1 activates NFkB by phosphorylation and activation of IKKs complex","REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX","UP",0.0522,2.49,0.0129,0.0838
