"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(KEGG) ABC transporters","KEGG_ABC_TRANSPORTERS","DOWN",-0.279,-11.8,1.34e-05,0.000373
"(Reactome) Nitric oxide stimulates guanylate cyclase","REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE","UP",0.656,11.8,1.35e-05,0.000373
"(PID) Validated transcriptional targets of deltaNp63 isoforms","PID_DELTA_NP63_PATHWAY","DOWN",-0.197,-11.7,1.36e-05,0.000373
"(KEGG) PPAR signaling pathway","KEGG_PPAR_SIGNALING_PATHWAY","UP",0.205,11.5,1.52e-05,4e-04
"(Reactome) G1/S-Specific Transcription","REACTOME_G1_S_SPECIFIC_TRANSCRIPTION","DOWN",-0.345,-11.5,1.53e-05,4e-04
"(Reactome) Class B/2 (Secretin family receptors)","REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS","DOWN",-0.221,-11.4,1.63e-05,0.000416
"(BioCarta) Role of Erk5 in Neuronal Survival","BIOCARTA_ERK5_PATHWAY","UP",0.272,11.3,1.72e-05,0.000431
"(BioCarta) Role of ERBB2 in Signal Transduction and Oncology","BIOCARTA_HER2_PATHWAY","UP",0.212,11.2,1.79e-05,0.000431
"(SigmaAldrich) Cdk2, 4, and 6 bind cyclin D in G1, while cdk2/cyclin E promotes the G1/S transition.","SA_G1_AND_S_PHASES","DOWN",-0.482,-11.2,1.84e-05,0.000431
"(Reactome) RNA Polymerase III Chain Elongation","REACTOME_RNA_POL_III_CHAIN_ELONGATION","DOWN",-0.272,-11.2,1.84e-05,0.000431
"(Reactome) DNA strand elongation","REACTOME_DNA_STRAND_ELONGATION","DOWN",-0.219,-11.1,1.97e-05,0.000453
"(Reactome) Sema4D induced cell migration and growth-cone collapse","REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE","UP",0.247,11,2.06e-05,0.000463
"(Reactome) 3' -UTR-mediated translational regulation","REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION","DOWN",-0.271,-10.9,2.12e-05,0.000468
"(Reactome) Sema4D in semaphorin signaling","REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING","UP",0.226,10.9,2.18e-05,0.000472
"(KEGG) DNA replication","KEGG_DNA_REPLICATION","DOWN",-0.222,-10.7,2.35e-05,0.000499
"(Reactome) PPARA Activates Gene Expression","REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION","UP",0.218,10.7,2.44e-05,0.000508
"(Reactome) Unwinding of DNA","REACTOME_UNWINDING_OF_DNA","DOWN",-0.345,-10.6,2.56e-05,0.000524
"(SigmaAldrich) Apoptosis is mediated by caspases, cysteine proteases arranged in a proteolytic cascade.","SA_CASPASE_CASCADE","UP",0.236,10.5,2.68e-05,0.000539
"(Reactome) Inwardly rectifying K+ channels","REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","DOWN",-0.274,-10.5,2.73e-05,0.000539
"(KEGG) Cell cycle","KEGG_CELL_CYCLE","DOWN",-0.186,-10.4,2.89e-05,0.000549
"(Reactome) Formation of the ternary complex, and subsequently, the 43S complex","REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX","DOWN",-0.316,-10.4,2.92e-05,0.000549
"(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development","BIOCARTA_IL12_PATHWAY","DOWN",-0.432,-10.4,2.93e-05,0.000549
"(BioCarta) Role of Ran in mitotic spindle regulation","BIOCARTA_RANMS_PATHWAY","DOWN",-0.385,-10.3,2.97e-05,0.000549
"(Reactome) Peptide chain elongation","REACTOME_PEPTIDE_CHAIN_ELONGATION","DOWN",-0.281,-10.2,3.16e-05,0.000574
"(Reactome) Platelet homeostasis","REACTOME_PLATELET_HOMEOSTASIS","UP",0.277,10.2,3.23e-05,0.000574
"(Reactome) RNA Polymerase III Transcription Termination","REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION","DOWN",-0.255,-10.2,3.26e-05,0.000574
"(Reactome) Loss of Nlp from mitotic centrosomes","REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES","UP",0.168,10.1,3.4e-05,0.000589
"(PID) Calcium signaling in the CD4+ TCR pathway","PID_TCR_CALCIUM_PATHWAY","DOWN",-0.191,-10,3.56e-05,0.000606
"(BioCarta) p53 Signaling Pathway","BIOCARTA_P53_PATHWAY","DOWN",-0.636,-9.95,3.77e-05,0.000629
"(Reactome) Nonsense Mediated Decay Enhanced by the Exon Junction Complex","REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX","DOWN",-0.211,-9.94,3.8e-05,0.000629
"(PID) Regulation of retinoblastoma protein","PID_RB_1PATHWAY","DOWN",-0.169,-9.89,3.91e-05,0.000638
"(Reactome) Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","DOWN",-0.291,-9.82,4.08e-05,0.000655
"(Reactome) Amino acid and oligopeptide SLC transporters","REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS","DOWN",-0.249,-9.8,4.13e-05,0.000655
"(Reactome) Extension of Telomeres","REACTOME_EXTENSION_OF_TELOMERES","DOWN",-0.252,-9.75,4.27e-05,0.000668
"(PID) Internalization of ErbB1","PID_ERBB1_INTERNALIZATION_PATHWAY","UP",0.191,9.69,4.42e-05,0.000678
"(PID) Integrin family cell surface interactions","PID_INTEGRIN_CS_PATHWAY","UP",0.231,9.68,4.46e-05,0.000678
"(Reactome) Regulation of KIT signaling","REACTOME_REGULATION_OF_KIT_SIGNALING","DOWN",-0.334,-9.65,4.55e-05,0.000683
"(PID) IL12 signaling mediated by STAT4","PID_IL12_STAT4_PATHWAY","DOWN",-0.431,-9.61,4.66e-05,0.000689
"(Reactome) Interferon alpha/beta signaling","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","UP",0.843,9.54,4.87e-05,0.000712
"(PID) EGF receptor (ErbB1) signaling pathway","PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","UP",0.202,9.51,4.97e-05,0.000717
"(Reactome) ABC-family proteins mediated transport","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT","DOWN",-0.191,-9.48,5.06e-05,0.000721
"(Reactome) Cell death signalling via NRAGE, NRIF and NADE","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","UP",0.199,9.41,5.3e-05,0.000746
"(KEGG) Drug metabolism - cytochrome P450","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","UP",0.393,9.38,5.41e-05,0.000751
"(KEGG) Ribosome","KEGG_RIBOSOME","DOWN",-0.303,-9.34,5.55e-05,0.000761
"(KEGG) Small cell lung cancer","KEGG_SMALL_CELL_LUNG_CANCER","DOWN",-0.187,-9.29,5.73e-05,0.000777
"(Reactome) TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","DOWN",-0.24,-9.22,5.99e-05,0.000803
"(KEGG) Glycerophospholipid metabolism","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","DOWN",-0.217,-9.14,6.32e-05,0.000836
"(PID) VEGFR3 signaling in lymphatic endothelium","PID_LYMPH_ANGIOGENESIS_PATHWAY","UP",0.194,9.11,6.43e-05,0.000841
"(PID) C-MYB transcription factor network","PID_CMYB_PATHWAY","DOWN",-0.186,-9.09,6.52e-05,0.000843
"(Reactome) Association of licensing factors with the pre-replicative complex","REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.256,-9.05,6.71e-05,0.000843
"(BioCarta) Cyclins and Cell Cycle Regulation","BIOCARTA_CELLCYCLE_PATHWAY","DOWN",-0.423,-9.04,6.73e-05,0.000843
"(Reactome) G1 Phase","REACTOME_G1_PHASE","DOWN",-0.256,-9.04,6.74e-05,0.000843
"(Reactome) Cytokine Signaling in Immune system","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","UP",0.245,8.96,7.13e-05,0.000881
"(PID) S1P4 pathway","PID_S1P_S1P4_PATHWAY","UP",0.163,8.9,7.42e-05,0.000899
"(KEGG) RNA polymerase","KEGG_RNA_POLYMERASE","DOWN",-0.198,-8.9,7.43e-05,0.000899
"(KEGG) Metabolism of xenobiotics by cytochrome P450","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","UP",0.266,8.86,7.63e-05,0.000913
"(Reactome) Interleukin-1 signaling","REACTOME_IL1_SIGNALING","UP",0.17,8.82,7.84e-05,0.000928
"(Reactome) Apoptotic execution  phase","REACTOME_APOPTOTIC_EXECUTION_PHASE","UP",0.162,8.8,7.95e-05,0.000932
"(KEGG) Inositol phosphate metabolism","KEGG_INOSITOL_PHOSPHATE_METABOLISM","UP",0.169,8.75,8.23e-05,0.000954
"(Reactome) Recruitment of mitotic centrosome proteins and complexes","REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES","UP",0.151,8.71,8.43e-05,0.000967
"(PID) IL23-mediated signaling events","PID_IL23_PATHWAY","UP",0.197,8.69,8.55e-05,0.000971
"(Reactome) TRAF6 mediated NF-kB activation","REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION","UP",0.177,8.68,8.63e-05,0.000971
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","DOWN",-0.203,-8.65,8.82e-05,0.000974
"(Reactome) Activation of the pre-replicative complex","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.231,-8.64,8.83e-05,0.000974
"(Reactome) RNA Polymerase III Transcription Initiation From Type 2 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER","DOWN",-0.22,-8.57,9.29e-05,0.00102
"(Reactome) CREB phosphorylation through the activation of CaMKII","REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII","UP",0.258,8.55,9.41e-05,0.00102
"(Reactome) Trafficking of AMPA receptors","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS","DOWN",-0.208,-8.54,9.47e-05,0.00102
"(Reactome) Nephrin interactions","REACTOME_NEPHRIN_INTERACTIONS","UP",0.218,8.52,9.65e-05,0.00102
"(Reactome) APC-Cdc20 mediated degradation of Nek2A","REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","DOWN",-0.168,-8.48,9.93e-05,0.00104
"(Reactome) Purine ribonucleoside monophosphate biosynthesis","REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS","DOWN",-0.502,-8.45,0.000101,0.00105
"(KEGG) Histidine metabolism","KEGG_HISTIDINE_METABOLISM","UP",0.363,8.34,0.000109,0.00113
"(BioCarta) VEGF, Hypoxia, and Angiogenesis","BIOCARTA_VEGF_PATHWAY","DOWN",-0.197,-8.31,0.000112,0.00114
"(KEGG) O-Glycan biosynthesis","KEGG_O_GLYCAN_BIOSYNTHESIS","DOWN",-0.264,-8.28,0.000114,0.00116
"(Reactome) Influenza Viral RNA Transcription and Replication","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","DOWN",-0.225,-8.27,0.000115,0.00116
"(Reactome) Signaling by Interleukins","REACTOME_SIGNALING_BY_ILS","UP",0.145,8.21,0.00012,0.00119
"(SigmaAldrich) PTEN is a tumor suppressor that dephosphorylates the lipid messenger phosphatidylinositol triphosphate.","SA_PTEN_PATHWAY","UP",0.16,8.2,0.000121,0.0012
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","UP",0.214,8.18,0.000123,0.0012
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","DOWN",-0.196,-8.11,0.00013,0.00124
"(Reactome) Interferon Signaling","REACTOME_INTERFERON_SIGNALING","UP",0.34,8.11,0.00013,0.00124
"(Reactome) RNA Polymerase III Transcription Initiation From Type 3 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER","DOWN",-0.168,-8.1,0.00013,0.00124
"(Reactome) Golgi Associated Vesicle Biogenesis","REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS","UP",0.147,8.09,0.000132,0.00124
"(Reactome) Purine salvage","REACTOME_PURINE_SALVAGE","DOWN",-0.388,-8.08,0.000132,0.00124
"(PID) Regulation of Ras family activation","PID_RAS_PATHWAY","UP",0.19,8.06,0.000134,0.00124
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","DOWN",-0.172,-8.05,0.000135,0.00124
"(PID) Syndecan-2-mediated signaling events","PID_SYNDECAN_2_PATHWAY","DOWN",-0.239,-8.02,0.000138,0.00125
"(Signaling Gateway) Genes related to regulation of the actin cytoskeleton","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","UP",0.152,8.02,0.000138,0.00125
"(PID) TCR signaling in na&#xef;ve CD4+ T cells","PID_TCR_PATHWAY","UP",0.145,8,0.00014,0.00126
"(PID) ATR signaling pathway","PID_ATR_PATHWAY","DOWN",-0.17,-7.96,0.000144,0.00129
"(Reactome) O-linked glycosylation of mucins","REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS","DOWN",-0.242,-7.92,0.000149,0.00132
"(PID) Coregulation of Androgen receptor activity","PID_AR_PATHWAY","DOWN",-0.185,-7.89,0.000152,0.00134
"(Reactome) Translation","REACTOME_TRANSLATION","DOWN",-0.217,-7.87,0.000155,0.00135
"(KEGG) beta-Alanine metabolism","KEGG_BETA_ALANINE_METABOLISM","DOWN",-0.138,-7.83,0.000159,0.00137
"(Reactome) Regulation of IFNG signaling","REACTOME_REGULATION_OF_IFNG_SIGNALING","UP",0.169,7.79,0.000164,0.00141
"(Reactome) Caspase-mediated cleavage of cytoskeletal proteins","REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","UP",0.176,7.75,0.000169,0.00144
"(BioCarta) Role of Parkin in the Ubiquitin-Proteasomal Pathway","BIOCARTA_PARKIN_PATHWAY","UP",0.171,7.73,0.000171,0.00144
"(Reactome) NRAGE signals death through JNK","REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","UP",0.22,7.72,0.000173,0.00144
"(BioCarta) Chaperones modulate interferon Signaling Pathway","BIOCARTA_TID_PATHWAY","UP",0.273,7.71,0.000175,0.00144
"(Reactome) NCAM1 interactions","REACTOME_NCAM1_INTERACTIONS","DOWN",-0.157,-7.71,0.000175,0.00144
"(KEGG) Viral myocarditis","KEGG_VIRAL_MYOCARDITIS","DOWN",-0.151,-7.63,0.000186,0.00152
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","DOWN",-0.175,-7.56,0.000195,0.00158
"(KEGG) Chronic myeloid leukemia","KEGG_CHRONIC_MYELOID_LEUKEMIA","DOWN",-0.194,-7.56,0.000196,0.00158
"(Reactome) Influenza Life Cycle","REACTOME_INFLUENZA_LIFE_CYCLE","DOWN",-0.18,-7.54,0.000199,0.0016
"(Reactome) SRP-dependent cotranslational protein targeting to membrane","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","DOWN",-0.227,-7.53,0.000201,0.0016
"(Reactome) Downregulation of TGF-beta receptor signaling","REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING","DOWN",-0.249,-7.5,0.000205,0.00162
"(Reactome) E2F mediated regulation of DNA replication","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","DOWN",-0.183,-7.46,0.000212,0.00166
"(KEGG) Thyroid cancer","KEGG_THYROID_CANCER","DOWN",-0.273,-7.45,0.000213,0.00166
"(PID) amb2 Integrin signaling","PID_AMB2_NEUTROPHILS_PATHWAY","DOWN",-0.207,-7.45,0.000213,0.00166
"(Reactome) Apoptotic cleavage of cellular proteins","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","UP",0.128,7.43,0.000216,0.00167
"(BioCarta) Links between Pyk2 and Map Kinases","BIOCARTA_PYK2_PATHWAY","DOWN",-0.154,-7.41,0.00022,0.00168
"(KEGG) Glycosaminoglycan degradation","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","UP",0.249,7.38,0.000225,0.00171
"(Reactome) GABA receptor activation","REACTOME_GABA_RECEPTOR_ACTIVATION","DOWN",-0.252,-7.32,0.000237,0.00179
"(Reactome) RNA Polymerase I Promoter Opening","REACTOME_RNA_POL_I_PROMOTER_OPENING","UP",0.231,7.3,0.000241,0.00181
"(KEGG) Pancreatic cancer","KEGG_PANCREATIC_CANCER","DOWN",-0.221,-7.25,0.000251,0.00187
"(PID) Role of Calcineurin-dependent NFAT signaling in lymphocytes","PID_NFAT_3PATHWAY","DOWN",-0.13,-7.21,0.000259,0.00192
"(Reactome) Fanconi Anemia pathway","REACTOME_FANCONI_ANEMIA_PATHWAY","DOWN",-0.141,-7.15,0.000271,0.00199
"(Reactome) YAP1- and WWTR1 (TAZ)-stimulated gene expression","REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION","UP",0.253,7.15,0.000272,0.00199
"(Reactome) RNA Polymerase III Transcription","REACTOME_RNA_POL_III_TRANSCRIPTION","DOWN",-0.154,-7.14,0.000274,0.00199
"(PID) p38 MAPK signaling pathway","PID_P38_MKK3_6PATHWAY","UP",0.133,7.13,0.000275,0.00199
"(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","BIOCARTA_CARDIACEGF_PATHWAY","DOWN",-0.143,-7.09,0.000285,0.00204
"(Reactome) Mitotic G2-G2/M phases","REACTOME_MITOTIC_G2_G2_M_PHASES","UP",0.118,7.05,0.000294,0.0021
"(Reactome) PKB-mediated events","REACTOME_PKB_MEDIATED_EVENTS","DOWN",-0.133,-7.02,0.000302,0.00213
"(Reactome) trans-Golgi Network Vesicle Budding","REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING","UP",0.132,7.01,0.000303,0.00213
"(PID) Signaling events mediated by PRL","PID_PRL_SIGNALING_EVENTS_PATHWAY","DOWN",-0.263,-7,0.000307,0.00214
"(Reactome) mRNA Decay by 3' to 5' Exoribonuclease","REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE","DOWN",-0.168,-6.99,0.000308,0.00214
"(PID) SHP2 signaling","PID_SHP2_PATHWAY","UP",0.133,6.97,0.000315,0.00217
"(BioCarta) Repression of Pain Sensation by the Transcriptional Regulator DREAM","BIOCARTA_DREAM_PATHWAY","UP",0.218,6.96,0.000317,0.00218
"(PID) IL2 signaling events mediated by STAT5","PID_IL2_STAT5_PATHWAY","DOWN",-0.2,-6.95,0.000321,0.00219
"(Reactome) Tie2 Signaling","REACTOME_TIE2_SIGNALING","UP",0.207,6.92,0.000327,0.00221
"(PID) Validated targets of C-MYC transcriptional activation","PID_MYC_ACTIV_PATHWAY","DOWN",-0.169,-6.92,0.000329,0.00221
"(PID) Downstream signaling in na&#xef;ve CD8+ T cells","PID_CD8_TCR_DOWNSTREAM_PATHWAY","DOWN",-0.274,-6.9,0.000334,0.00224
"(PID) Notch signaling pathway","PID_NOTCH_PATHWAY","UP",0.118,6.86,0.000345,0.00229
"(Reactome) Metabolism of RNA","REACTOME_METABOLISM_OF_RNA","DOWN",-0.126,-6.83,0.000354,0.00233
"(Reactome) Signaling by constitutively active EGFR","REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR","UP",0.155,6.81,0.000359,0.00233
"(PID) Cellular roles of Anthrax toxin","PID_ANTHRAX_PATHWAY","DOWN",-0.143,-6.81,0.000359,0.00233
"(Reactome) TGF-beta receptor signaling activates SMADs","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS","DOWN",-0.231,-6.81,0.00036,0.00233
"(BioCarta) mCalpain and friends in Cell motility","BIOCARTA_MCALPAIN_PATHWAY","UP",0.279,6.81,0.000361,0.00233
"(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","BIOCARTA_AKAP13_PATHWAY","UP",0.294,6.71,0.000392,0.00252
"(PID) E2F transcription factor network","PID_E2F_PATHWAY","DOWN",-0.161,-6.7,0.000396,0.00253
"(Reactome) TRAF6 mediated induction of TAK1 complex","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX","UP",0.153,6.68,0.000401,0.00255
"(BioCarta) IL22 Soluble Receptor Signaling Pathway","BIOCARTA_IL22BP_PATHWAY","UP",0.264,6.65,0.000413,0.00261
"(Reactome) Amine compound SLC transporters","REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS","UP",0.177,6.64,0.000416,0.00261
"(BioCarta) Cell to Cell Adhesion Signaling","BIOCARTA_CELL2CELL_PATHWAY","DOWN",-0.547,-6.62,0.000423,0.00264
"(PID) S1P1 pathway","PID_S1P_S1P1_PATHWAY","UP",0.148,6.59,0.000434,0.0027
"(KEGG) Hedgehog signaling pathway","KEGG_HEDGEHOG_SIGNALING_PATHWAY","DOWN",-0.252,-6.58,0.000439,0.00271
