"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) HS-GAG biosynthesis","REACTOME_HS_GAG_BIOSYNTHESIS","UP",0.355,9.87,4.4e-05,0.000811
"(Reactome) Striated Muscle Contraction","REACTOME_STRIATED_MUSCLE_CONTRACTION","DOWN",-0.295,-9.84,4.47e-05,0.000811
"(PID) VEGFR3 signaling in lymphatic endothelium","PID_LYMPH_ANGIOGENESIS_PATHWAY","UP",0.189,9.81,4.55e-05,0.000812
"(Reactome) Nuclear signaling by ERBB4","REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","DOWN",-0.214,-9.69,4.91e-05,0.000848
"(Reactome) Glucagon-type ligand receptors","REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS","UP",0.196,9.68,4.92e-05,0.000848
"(Reactome) mRNA Processing","REACTOME_MRNA_PROCESSING","DOWN",-0.203,-9.67,4.97e-05,0.000848
"(Reactome) Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","DOWN",-0.22,-9.62,5.11e-05,0.000848
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","UP",0.265,9.62,5.13e-05,0.000848
"(Reactome) Processing of Capped Intron-Containing Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","DOWN",-0.221,-9.5,5.53e-05,0.000902
"(Reactome) mRNA Splicing - Minor Pathway","REACTOME_MRNA_SPLICING_MINOR_PATHWAY","DOWN",-0.198,-9.4,5.89e-05,0.000934
"(STKE) G alpha 12 Pathway","ST_GA12_PATHWAY","DOWN",-0.203,-9.38,5.95e-05,0.000934
"(Reactome) Recruitment of mitotic centrosome proteins and complexes","REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES","DOWN",-0.172,-9.33,6.13e-05,0.000934
"(Reactome) Interferon alpha/beta signaling","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","UP",0.822,9.31,6.24e-05,0.000934
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","UP",0.222,9.3,6.25e-05,0.000934
"(Reactome) SHC-mediated signalling","REACTOME_SHC_MEDIATED_SIGNALLING","UP",0.315,9.3,6.27e-05,0.000934
"(Reactome) mRNA Decay by 3' to 5' Exoribonuclease","REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE","DOWN",-0.212,-9.29,6.31e-05,0.000934
"(SigmaAldrich) The TrkA receptor binds nerve growth factor to activate MAP kinase pathways and promote cell growth.","SA_TRKA_RECEPTOR","UP",0.311,9.2,6.67e-05,0.000963
"(Reactome) SHC-related events","REACTOME_SHC_RELATED_EVENTS","UP",0.213,9.19,6.74e-05,0.000963
"(KEGG) Leishmania infection","KEGG_LEISHMANIA_INFECTION","UP",0.185,9.17,6.8e-05,0.000963
"(Reactome) Telomere Maintenance","REACTOME_TELOMERE_MAINTENANCE","DOWN",-0.22,-9.16,6.85e-05,0.000963
"(STKE) Myocyte Adrenergic Pathway is a specific case of the generalized Adrenergic Pathway.","ST_MYOCYTE_AD_PATHWAY","DOWN",-0.368,-9.02,7.54e-05,0.00104
"(Reactome) Destabilization of mRNA by Butyrate Response Factor 1 (BRF1)","REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1","DOWN",-0.221,-9.01,7.58e-05,0.00104
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","DOWN",-0.163,-8.99,7.65e-05,0.00104
"(Reactome) MicroRNA (miRNA) Biogenesis","REACTOME_MICRORNA_MIRNA_BIOGENESIS","DOWN",-0.198,-8.95,7.85e-05,0.00105
"(Reactome) Glycogen breakdown (glycogenolysis)","REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS","UP",0.262,8.89,8.18e-05,0.00107
"(SigmaAldrich) Antigen binding to B cell receptors activates protein tyrosine kinases, such as the Src family, which ultimate activate MAP kinases.","SA_B_CELL_RECEPTOR_COMPLEXES","UP",0.214,8.89,8.21e-05,0.00107
"(Reactome) RNA Polymerase II Transcription","REACTOME_RNA_POL_II_TRANSCRIPTION","DOWN",-0.174,-8.86,8.38e-05,0.00108
"(Reactome) mRNA 3'-end processing","REACTOME_MRNA_3_END_PROCESSING","DOWN",-0.296,-8.81,8.67e-05,0.00109
"(BioCarta) Sprouty regulation of tyrosine kinase signals","BIOCARTA_SPRY_PATHWAY","UP",0.447,8.78,8.81e-05,0.00109
"(PID) S1P3 pathway","PID_S1P_S1P3_PATHWAY","DOWN",-0.195,-8.78,8.83e-05,0.00109
"(Reactome) Synthesis of PIPs at the plasma membrane","REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE","UP",0.185,8.77,8.88e-05,0.00109
"(Reactome) Metal ion SLC transporters","REACTOME_METAL_ION_SLC_TRANSPORTERS","DOWN",-0.235,-8.75,9.01e-05,0.00109
"(Reactome) Nephrin interactions","REACTOME_NEPHRIN_INTERACTIONS","UP",0.21,8.73,9.11e-05,0.00109
"(KEGG) Arrhythmogenic right ventricular cardiomyopathy (ARVC)","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","DOWN",-0.347,-8.73,9.14e-05,0.00109
"(Reactome) APC/C:Cdc20 mediated degradation of Cyclin B","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","DOWN",-0.142,-8.69,9.36e-05,0.00111
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","DOWN",-0.162,-8.64,9.7e-05,0.00114
"(BioCarta) Actions of Nitric Oxide in the Heart","BIOCARTA_NO1_PATHWAY","UP",0.232,8.62,9.87e-05,0.00114
"(PID) EPHA2 forward signaling","PID_EPHA2_FWD_PATHWAY","UP",0.217,8.59,0.000101,0.00116
"(PID) Sumoylation by RanBP2 regulates transcriptional repression","PID_RANBP2_PATHWAY","DOWN",-0.267,-8.51,0.000106,0.00121
"(Reactome) Activated AMPK stimulates fatty-acid oxidation in muscle","REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE","UP",0.232,8.47,0.000109,0.00123
"(KEGG) Glycerophospholipid metabolism","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","DOWN",-0.177,-8.43,0.000112,0.00125
"(Reactome) N-Glycan antennae elongation","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","UP",0.329,8.34,0.000119,0.00131
"(BioCarta) Phosphoinositides and their downstream targets.","BIOCARTA_PTDINS_PATHWAY","UP",0.164,8.34,0.00012,0.00131
"(Reactome) Recycling pathway of L1","REACTOME_RECYCLING_PATHWAY_OF_L1","DOWN",-0.209,-8.29,0.000124,0.00134
"(SigmaAldrich) Cdk2, 4, and 6 bind cyclin D in G1, while cdk2/cyclin E promotes the G1/S transition.","SA_G1_AND_S_PHASES","UP",0.387,8.28,0.000125,0.00134
"(KEGG) O-Glycan biosynthesis","KEGG_O_GLYCAN_BIOSYNTHESIS","DOWN",-0.296,-8.25,0.000128,0.00135
"(Reactome) Mitotic M-M/G1 phases","REACTOME_MITOTIC_M_M_G1_PHASES","DOWN",-0.132,-8.22,0.000131,0.00136
"(PID) TCR signaling in na&#xef;ve CD4+ T cells","PID_TCR_PATHWAY","UP",0.143,8.21,0.000131,0.00136
"(Reactome) Phosphorylation of the APC/C","REACTOME_PHOSPHORYLATION_OF_THE_APC_C","DOWN",-0.144,-8.19,0.000133,0.00136
"(Reactome) Polymerase switching","REACTOME_POL_SWITCHING","DOWN",-0.194,-8.18,0.000134,0.00136
"(Reactome) Transcription","REACTOME_TRANSCRIPTION","DOWN",-0.155,-8.17,0.000135,0.00136
"(KEGG) Natural killer cell mediated cytotoxicity","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","UP",0.196,8.13,0.000139,0.0014
"(BioCarta) CXCR4 Signaling Pathway","BIOCARTA_CXCR4_PATHWAY","DOWN",-0.348,-8.11,0.000141,0.00141
"(STKE) Adrenergic Pathway","ST_ADRENERGIC","DOWN",-0.434,-8.09,0.000143,0.00141
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","DOWN",-0.255,-8.08,0.000144,0.00141
"(Reactome) Cleavage of Growing Transcript in the Termination Region ","REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_","DOWN",-0.248,-8.03,0.000149,0.00145
"(Reactome) Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","DOWN",-0.165,-8.01,0.000151,0.00145
"(PID) a6b1 and a6b4 Integrin signaling","PID_A6B1_A6B4_INTEGRIN_PATHWAY","UP",0.255,8,0.000153,0.00146
"(Reactome) ERK/MAPK targets","REACTOME_ERK_MAPK_TARGETS","UP",0.212,7.97,0.000156,0.00147
"(Reactome) Mitotic G2-G2/M phases","REACTOME_MITOTIC_G2_G2_M_PHASES","DOWN",-0.143,-7.96,0.000157,0.00147
"(Reactome) mRNA Decay by 5' to 3' Exoribonuclease","REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE","DOWN",-0.276,-7.92,0.000161,0.00148
"(BioCarta) Pertussis toxin-insensitive CCR5 Signaling in Macrophage","BIOCARTA_CCR5_PATHWAY","DOWN",-0.313,-7.92,0.000162,0.00148
"(BioCarta) fMLP induced chemokine gene expression in HMC-1 cells","BIOCARTA_FMLP_PATHWAY","UP",0.14,7.92,0.000162,0.00148
"(Reactome) Interleukin receptor SHC signaling","REACTOME_IL_RECEPTOR_SHC_SIGNALING","UP",0.148,7.9,0.000164,0.00148
"(BioCarta) Role of fl-arrestins in the activation and targeting of MAP kinases","BIOCARTA_BARR_MAPK_PATHWAY","UP",0.236,7.89,0.000165,0.00148
"(Reactome) Transcription-coupled NER (TC-NER)","REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER","DOWN",-0.214,-7.89,0.000165,0.00148
"(PID) Signaling events mediated by PRL","PID_PRL_SIGNALING_EVENTS_PATHWAY","UP",0.309,7.82,0.000174,0.00154
"(Reactome) Processing of Intronless Pre-mRNAs","REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS","DOWN",-0.176,-7.76,0.000182,0.0016
"(BioCarta) Role of Erk5 in Neuronal Survival","BIOCARTA_ERK5_PATHWAY","UP",0.166,7.73,0.000187,0.00163
"(Reactome) Loss of Nlp from mitotic centrosomes","REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES","DOWN",-0.138,-7.62,0.000203,0.00176
"(Reactome) Nuclear Events (kinase and transcription factor activation)","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","UP",0.194,7.54,0.000215,0.00184
"(PID) Regulation of Ras family activation","PID_RAS_PATHWAY","UP",0.178,7.49,0.000223,0.0019
"(Reactome) Regulation of IFNA signaling","REACTOME_REGULATION_OF_IFNA_SIGNALING","UP",0.201,7.46,0.000228,0.00193
"(Reactome) Degradation of the extracellular matrix","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","DOWN",-0.205,-7.44,0.000232,0.00195
"(Reactome) N-glycan antennae elongation in the medial/trans-Golgi","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI","UP",0.267,7.42,0.000235,0.00196
"(KEGG) Nucleotide excision repair","KEGG_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-0.211,-7.42,0.000237,0.00196
"(KEGG) Melanoma","KEGG_MELANOMA","UP",0.275,7.38,0.000245,0.00201
"(PID) IL6-mediated signaling events","PID_IL6_7_PATHWAY","UP",0.124,7.35,0.00025,0.00202
"(PID) Calcium signaling in the CD4+ TCR pathway","PID_TCR_CALCIUM_PATHWAY","DOWN",-0.175,-7.35,0.00025,0.00202
"(Reactome) Base Excision Repair","REACTOME_BASE_EXCISION_REPAIR","DOWN",-0.195,-7.3,0.000259,0.00204
"(KEGG) ABC transporters","KEGG_ABC_TRANSPORTERS","DOWN",-0.156,-7.3,0.000259,0.00204
"(Reactome) Resolution of AP sites via the multiple-nucleotide patch replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","DOWN",-0.203,-7.29,0.000261,0.00204
"(Reactome) Regulation of beta-cell development","REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT","DOWN",-0.226,-7.29,0.000261,0.00204
"(Reactome) Lagging Strand Synthesis","REACTOME_LAGGING_STRAND_SYNTHESIS","DOWN",-0.178,-7.29,0.000262,0.00204
"(BioCarta) Control of skeletal myogenesis by HDAC and calcium/calmodulin-dependent kinase (CaMK)","BIOCARTA_HDAC_PATHWAY","DOWN",-0.237,-7.26,0.000268,0.00208
"(PID) Neurotrophic factor-mediated Trk receptor signaling","PID_TRKR_PATHWAY","UP",0.134,7.23,0.000273,0.0021
"(Reactome) Transport of Mature Transcript to Cytoplasm","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","DOWN",-0.249,-7.23,0.000274,0.0021
"(PID) FGF signaling pathway","PID_FGF_PATHWAY","UP",0.164,7.22,0.000276,0.0021
"(Reactome) Extrinsic Pathway for Apoptosis","REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS","UP",0.458,7.21,0.000278,0.0021
"(KEGG) Base excision repair","KEGG_BASE_EXCISION_REPAIR","DOWN",-0.171,-7.2,0.000281,0.00211
"(Reactome) Bile acid and bile salt metabolism","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","DOWN",-0.361,-7.18,0.000286,0.00213
"(PID) Sphingosine 1-phosphate (S1P) pathway","PID_S1P_META_PATHWAY","DOWN",-0.401,-7.17,0.000288,0.00213
"(PID) TRAIL signaling pathway","PID_TRAIL_PATHWAY","UP",0.136,7.16,0.00029,0.00213
"(Reactome) TRAF3-dependent IRF activation pathway","REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY","UP",0.125,7.14,0.000294,0.00215
"(Reactome) Transport of vitamins, nucleosides, and related molecules","REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES","DOWN",-0.154,-7.13,0.000297,0.00216
"(Reactome) Formation of RNA Pol II elongation complex ","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_","DOWN",-0.169,-7.08,0.00031,0.00223
"(Reactome) Fanconi Anemia pathway","REACTOME_FANCONI_ANEMIA_PATHWAY","DOWN",-0.145,-7.07,0.000311,0.00223
"(Reactome) Amino acid transport across the plasma membrane","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","UP",0.237,7.05,0.000316,0.00223
"(PID) ErbB2/ErbB3 signaling events","PID_ERBB2_ERBB3_PATHWAY","UP",0.139,7.05,0.000316,0.00223
"(Reactome) RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription","REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION","DOWN",-0.119,-7.03,0.000321,0.00226
"(BioCarta) Telomeres, Telomerase, Cellular Aging, and Immortality","BIOCARTA_TEL_PATHWAY","DOWN",-0.156,-7.01,0.000327,0.00228
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","UP",0.17,7.01,0.000328,0.00228
"(BioCarta) TPO Signaling Pathway","BIOCARTA_TPO_PATHWAY","UP",0.134,6.99,0.000333,0.0023
"(Reactome) Deadenylation-dependent mRNA decay","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","DOWN",-0.245,-6.98,0.000335,0.0023
"(Reactome) Integration of energy metabolism","REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","UP",0.115,6.95,0.000343,0.00234
"(Reactome) DNA Replication","REACTOME_DNA_REPLICATION","DOWN",-0.113,-6.94,0.000348,0.00236
"(Reactome) DCC mediated attractive signaling","REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING","DOWN",-0.273,-6.91,0.000354,0.00237
"(Naba) Genes encoding structural ECM glycoproteins","NABA_ECM_GLYCOPROTEINS","DOWN",-0.224,-6.91,0.000354,0.00237
"(KEGG) Inositol phosphate metabolism","KEGG_INOSITOL_PHOSPHATE_METABOLISM","UP",0.15,6.87,0.000368,0.00244
"(PID) Alpha9 beta1 integrin signaling events","PID_INTEGRIN_A9B1_PATHWAY","DOWN",-0.364,-6.87,0.000368,0.00244
"(Reactome) Cell-extracellular matrix interactions","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","UP",0.522,6.85,0.000373,0.00245
"(KEGG) Non-homologous end-joining","KEGG_NON_HOMOLOGOUS_END_JOINING","DOWN",-0.207,-6.84,0.000376,0.00246
"(KEGG) Glycosaminoglycan degradation","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","UP",0.175,6.82,0.000381,0.00247
"(Reactome) Hyaluronan metabolism","REACTOME_HYALURONAN_METABOLISM","DOWN",-0.162,-6.82,0.000382,0.00247
"(BioCarta) Hypoxia and p53 in the Cardiovascular system","BIOCARTA_P53HYPOXIA_PATHWAY","UP",0.314,6.79,0.000392,0.00251
"(KEGG) Circadian rhythm - mammal","KEGG_CIRCADIAN_RHYTHM_MAMMAL","DOWN",-0.323,-6.79,0.000393,0.00251
"(PID) Beta1 integrin cell surface interactions","PID_INTEGRIN1_PATHWAY","UP",0.116,6.78,0.000395,0.00251
"(Reactome) SHC1 events in ERBB4 signaling","REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING","UP",0.239,6.76,0.000403,0.00254
"(Naba) Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans","NABA_CORE_MATRISOME","DOWN",-0.159,-6.74,0.000409,0.00254
"(Reactome) Association of licensing factors with the pre-replicative complex","REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.172,-6.74,0.000411,0.00254
"(Reactome) Formation of transcription-coupled NER (TC-NER) repair complex","REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX","DOWN",-0.172,-6.74,0.000411,0.00254
"(PID) C-MYC pathway","PID_MYC_PATHWAY","DOWN",-0.134,-6.73,0.000412,0.00254
