"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) FRS2-mediated cascade","REACTOME_FRS2_MEDIATED_CASCADE","UP",0.237,9.36,7.59e-06,0.000251
"(Reactome) HS-GAG degradation","REACTOME_HS_GAG_DEGRADATION","UP",0.241,9.26,8.3e-06,0.000267
"(KEGG) Phenylalanine metabolism","KEGG_PHENYLALANINE_METABOLISM","UP",0.318,9.22,8.56e-06,0.000267
"(Reactome) Inwardly rectifying K+ channels","REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","DOWN",-0.199,-9.09,9.58e-06,0.000291
"(KEGG) Tyrosine metabolism","KEGG_TYROSINE_METABOLISM","UP",0.222,9.05,9.98e-06,0.000294
"(KEGG) Alanine, aspartate and glutamate metabolism","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","UP",0.264,9.02,1.02e-05,0.000294
"(PID) Visual signal transduction: Cones","PID_CONE_PATHWAY","DOWN",-0.324,-8.9,1.14e-05,0.00032
"(KEGG) Arginine and proline metabolism","KEGG_ARGININE_AND_PROLINE_METABOLISM","UP",0.259,8.85,1.18e-05,0.000325
"(Reactome) Response to elevated platelet cytosolic Ca2+","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_","DOWN",-0.212,-8.68,1.39e-05,0.000372
"(PID) Signaling events mediated by HDAC Class III","PID_HDAC_CLASSIII_PATHWAY","UP",0.276,8.65,1.43e-05,0.000372
"(BioCarta) CD40L Signaling Pathway","BIOCARTA_CD40_PATHWAY","DOWN",-0.339,-8.63,1.45e-05,0.000372
"(Reactome) Negative regulation of FGFR signaling","REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING","UP",0.193,8.43,1.74e-05,0.000421
"(PID) Cellular roles of Anthrax toxin","PID_ANTHRAX_PATHWAY","DOWN",-0.379,-8.43,1.75e-05,0.000421
"(PID) Canonical NF-kappaB pathway","PID_NFKAPPAB_CANONICAL_PATHWAY","DOWN",-0.27,-8.42,1.76e-05,0.000421
"(Reactome) Signalling to RAS","REACTOME_SIGNALLING_TO_RAS","UP",0.185,8.4,1.8e-05,0.000422
"(PID) HIV-1 Nef: Negative effector of Fas and TNF-alpha","PID_HIV_NEF_PATHWAY","DOWN",-0.173,-8.31,1.96e-05,0.00045
"(Reactome) Nonsense Mediated Decay Enhanced by the Exon Junction Complex","REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX","DOWN",-0.185,-8.23,2.1e-05,0.000473
"(BioCarta) TNF/Stress Related Signaling","BIOCARTA_STRESS_PATHWAY","DOWN",-0.242,-8.15,2.27e-05,0.000501
"(BioCarta) Chaperones modulate interferon Signaling Pathway","BIOCARTA_TID_PATHWAY","DOWN",-0.269,-8.12,2.34e-05,0.000503
"(Reactome) Regulation of beta-cell development","REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT","DOWN",-0.22,-8.11,2.37e-05,0.000503
"(BioCarta) Apoptotic Signaling in Response to DNA Damage","BIOCARTA_CHEMICAL_PATHWAY","DOWN",-0.199,-7.98,2.68e-05,0.000558
"(Reactome) 3' -UTR-mediated translational regulation","REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION","DOWN",-0.189,-7.8,3.2e-05,0.000654
"(Reactome) Peptide ligand-binding receptors","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","DOWN",-0.234,-7.75,3.37e-05,0.000657
"(BioCarta) Keratinocyte Differentiation","BIOCARTA_KERATINOCYTE_PATHWAY","DOWN",-0.158,-7.73,3.43e-05,0.000657
"(KEGG) Glutathione metabolism","KEGG_GLUTATHIONE_METABOLISM","DOWN",-0.175,-7.73,3.44e-05,0.000657
"(PID) Thromboxane A2 receptor signaling","PID_TXA2PATHWAY","DOWN",-0.176,-7.69,3.59e-05,0.000657
"(BioCarta) TNFR2 Signaling Pathway","BIOCARTA_TNFR2_PATHWAY","DOWN",-0.25,-7.68,3.6e-05,0.000657
"(BioCarta) Oxidative Stress Induced Gene Expression Via Nrf2","BIOCARTA_ARENRF2_PATHWAY","DOWN",-0.171,-7.68,3.61e-05,0.000657
"(KEGG) Prion diseases","KEGG_PRION_DISEASES","UP",0.209,7.68,3.62e-05,0.000657
"(STKE) Differentiation Pathway in PC12 Cells; this is a specific case of PAC1 Receptor Pathway.","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","UP",0.172,7.66,3.7e-05,0.000661
"(Reactome) Influenza Viral RNA Transcription and Replication","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","DOWN",-0.201,-7.62,3.83e-05,0.000673
"(BioCarta) Stathmin and breast cancer resistance to antimicrotubule agents","BIOCARTA_STATHMIN_PATHWAY","UP",0.188,7.56,4.08e-05,0.000707
"(BioCarta) Presenilin action in Notch and Wnt signaling","BIOCARTA_PS1_PATHWAY","UP",0.232,7.45,4.54e-05,0.000755
"(Reactome) Phase 1 - Functionalization of compounds","REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS","UP",0.205,7.45,4.57e-05,0.000755
"(Naba) Genes encoding structural ECM glycoproteins","NABA_ECM_GLYCOPROTEINS","DOWN",-0.21,-7.43,4.64e-05,0.000755
"(Reactome) Notch-HLH transcription pathway","REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY","DOWN",-0.214,-7.42,4.71e-05,0.000755
"(Reactome) ERKs are inactivated","REACTOME_ERKS_ARE_INACTIVATED","UP",0.211,7.4,4.79e-05,0.000755
"(STKE) p38 MAPK Pathway","ST_P38_MAPK_PATHWAY","UP",0.211,7.4,4.82e-05,0.000755
"(Reactome) Recycling pathway of L1","REACTOME_RECYCLING_PATHWAY_OF_L1","DOWN",-0.218,-7.39,4.83e-05,0.000755
"(Reactome) TAK1 activates NFkB by phosphorylation and activation of IKKs complex","REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX","DOWN",-0.172,-7.35,5.07e-05,0.000775
"(BioCarta) Telomeres, Telomerase, Cellular Aging, and Immortality","BIOCARTA_TEL_PATHWAY","DOWN",-0.202,-7.34,5.1e-05,0.000775
"(KEGG) Pantothenate and CoA biosynthesis","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","DOWN",-0.257,-7.26,5.58e-05,0.000827
"(KEGG) Amino sugar and nucleotide sugar metabolism","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","UP",0.161,7.26,5.58e-05,0.000827
"(Reactome) SRP-dependent cotranslational protein targeting to membrane","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","DOWN",-0.175,-7.21,5.86e-05,0.000849
"(PID) Validated transcriptional targets of TAp63 isoforms","PID_TAP63_PATHWAY","UP",0.209,7.2,5.89e-05,0.000849
"(Reactome) DARPP-32 events","REACTOME_DARPP_32_EVENTS","UP",0.143,7.19,6e-05,0.000855
"(Reactome) Formation of the ternary complex, and subsequently, the 43S complex","REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX","DOWN",-0.183,-7.16,6.17e-05,0.000868
"(Reactome) GABA receptor activation","REACTOME_GABA_RECEPTOR_ACTIVATION","DOWN",-0.179,-7.14,6.28e-05,0.000873
"(Reactome) Insulin receptor signalling cascade","REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE","UP",0.18,7.09,6.62e-05,0.000894
"(Reactome) Insulin Synthesis and Processing","REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING","UP",0.226,7.09,6.67e-05,0.000894
"(PID) Calcineurin-regulated NFAT-dependent transcription in lymphocytes","PID_NFAT_TFPATHWAY","UP",0.177,7.09,6.68e-05,0.000894
"(PID) Arf6 downstream pathway","PID_ARF6_DOWNSTREAM_PATHWAY","UP",0.174,7.05,6.95e-05,0.000917
"(BioCarta) p53 Signaling Pathway","BIOCARTA_P53_PATHWAY","UP",0.254,7.04,7.01e-05,0.000917
"(Reactome) Pyrimidine metabolism","REACTOME_PYRIMIDINE_METABOLISM","UP",0.167,7.02,7.14e-05,0.000923
"(BioCarta) Corticosteroids and cardioprotection","BIOCARTA_GCR_PATHWAY","DOWN",-0.17,-6.87,8.43e-05,0.00106
"(Reactome) CRMPs in Sema3A signaling","REACTOME_CRMPS_IN_SEMA3A_SIGNALING","UP",0.207,6.86,8.56e-05,0.00106
"(BioCarta) Acetylation and Deacetylation of RelA in The Nucleus","BIOCARTA_RELA_PATHWAY","DOWN",-0.288,-6.85,8.58e-05,0.00106
"(Reactome) Neurotransmitter Release Cycle","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","UP",0.262,6.85,8.59e-05,0.00106
"(KEGG) Glycolysis / Gluconeogenesis","KEGG_GLYCOLYSIS_GLUCONEOGENESIS","UP",0.163,6.84,8.69e-05,0.00106
"(KEGG) Circadian rhythm - mammal","KEGG_CIRCADIAN_RHYTHM_MAMMAL","UP",0.247,6.84,8.75e-05,0.00106
"(Reactome) PI3K Cascade","REACTOME_PI3K_CASCADE","UP",0.173,6.81,8.98e-05,0.00108
"(BioCarta) TACI and BCMA stimulation of B cell immune responses.","BIOCARTA_TALL1_PATHWAY","DOWN",-0.218,-6.79,9.2e-05,0.00109
"(Reactome) Signalling to ERKs","REACTOME_SIGNALLING_TO_ERKS","UP",0.162,6.76,9.55e-05,0.00112
"(Reactome) TRAF6 mediated IRF7 activation","REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION","DOWN",-0.203,-6.74,9.72e-05,0.00113
"(BioCarta) CDK Regulation of DNA Replication","BIOCARTA_MCM_PATHWAY","UP",0.242,6.73,9.88e-05,0.00113
"(Reactome) Signaling by Insulin receptor","REACTOME_SIGNALING_BY_INSULIN_RECEPTOR","UP",0.172,6.71,0.000101,0.00113
"(Reactome) Metabolism of vitamins and cofactors","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS","UP",0.174,6.7,0.000102,0.00113
"(BioCarta) Sprouty regulation of tyrosine kinase signals","BIOCARTA_SPRY_PATHWAY","UP",0.22,6.69,0.000103,0.00113
"(BioCarta) Signal transduction through IL1R","BIOCARTA_IL1R_PATHWAY","DOWN",-0.14,-6.69,0.000103,0.00113
"(Reactome) Heparan sulfate/heparin (HS-GAG) metabolism","REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","UP",0.19,6.68,0.000104,0.00113
"(BioCarta) Regulation of PGC-1a","BIOCARTA_PGC1A_PATHWAY","UP",0.177,6.67,0.000105,0.00114
"(Reactome) Triglyceride Biosynthesis","REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","UP",0.161,6.66,0.000106,0.00114
"(Reactome) Activation of the pre-replicative complex","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX","UP",0.209,6.65,0.000108,0.00114
"(PID) p38 signaling mediated by MAPKAP kinases","PID_P38_MK2_PATHWAY","UP",0.164,6.63,0.000109,0.00115
"(Reactome) TRAF6 mediated NF-kB activation","REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION","DOWN",-0.232,-6.55,0.000121,0.00126
"(Reactome) RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways","REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS","DOWN",-0.15,-6.51,0.000126,0.0013
"(Reactome) PI-3K cascade","REACTOME_PI_3K_CASCADE","UP",0.168,6.5,0.000127,0.0013
"(PID) Regulation of CDC42 activity","PID_CDC42_REG_PATHWAY","UP",0.187,6.48,0.00013,0.00131
"(Reactome) p75NTR signals via NF-kB","REACTOME_P75NTR_SIGNALS_VIA_NFKB","DOWN",-0.309,-6.48,0.000131,0.00131
"(PID) Atypical NF-kappaB pathway","PID_NFKAPPAB_ATYPICAL_PATHWAY","DOWN",-0.161,-6.47,0.000132,0.00131
"(Reactome) Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS","DOWN",-0.186,-6.46,0.000133,0.00131
"(PID) C-MYB transcription factor network","PID_CMYB_PATHWAY","DOWN",-0.131,-6.44,0.000136,0.00133
"(PID) Beta3 integrin cell surface interactions","PID_INTEGRIN3_PATHWAY","DOWN",-0.16,-6.44,0.000137,0.00133
"(BioCarta) CBL mediated ligand-induced downregulation of EGF receptors","BIOCARTA_CBL_PATHWAY","DOWN",-0.207,-6.39,0.000144,0.00139
"(KEGG) ABC transporters","KEGG_ABC_TRANSPORTERS","DOWN",-0.217,-6.38,0.000145,0.00139
"(Naba) Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans","NABA_CORE_MATRISOME","DOWN",-0.16,-6.34,0.000153,0.00145
"(Reactome) GABA B receptor activation","REACTOME_GABA_B_RECEPTOR_ACTIVATION","DOWN",-0.166,-6.32,0.000156,0.00147
"(Reactome) Unblocking of NMDA receptor, glutamate binding and activation","REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION","UP",0.279,6.31,0.000159,0.00148
"(SigmaAldrich) Programmed cell death, or apoptosis, eliminates damaged or unneeded cells.","SA_PROGRAMMED_CELL_DEATH","DOWN",-0.212,-6.26,0.000167,0.00154
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","DOWN",-0.196,-6.22,0.000175,0.0016
"(Reactome) Influenza Life Cycle","REACTOME_INFLUENZA_LIFE_CYCLE","DOWN",-0.144,-6.21,0.000179,0.00161
"(Reactome) Cell-cell junction organization","REACTOME_CELL_CELL_JUNCTION_ORGANIZATION","UP",0.151,6.2,0.000179,0.00161
"(Reactome) Adherens junctions interactions","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS","UP",0.214,6.19,0.000182,0.00163
"(Reactome) SHC-mediated signalling","REACTOME_SHC_MEDIATED_SIGNALLING","UP",0.144,6.18,0.000185,0.00164
"(SigmaAldrich) Antigen binding to B cell receptors activates protein tyrosine kinases, such as the Src family, which ultimate activate MAP kinases.","SA_B_CELL_RECEPTOR_COMPLEXES","UP",0.172,6.16,0.000189,0.00165
"(BioCarta) IL 3 signaling pathway","BIOCARTA_IL3_PATHWAY","UP",0.154,6.16,0.000189,0.00165
"(PID) IL8- and CXCR2-mediated signaling events","PID_IL8_CXCR2_PATHWAY","DOWN",-0.155,-6.11,0.000199,0.00172
"(Reactome) Regulation of KIT signaling","REACTOME_REGULATION_OF_KIT_SIGNALING","DOWN",-0.237,-6.11,0.000201,0.00173
"(Reactome) Regulation of IFNG signaling","REACTOME_REGULATION_OF_IFNG_SIGNALING","DOWN",-0.157,-6.08,0.000207,0.00176
"(BioCarta) Attenuation of GPCR Signaling","BIOCARTA_AGPCR_PATHWAY","DOWN",-0.183,-6.06,0.000212,0.00179
"(Naba) Genes encoding proteins affiliated structurally or functionally to extracellular matrix proteins","NABA_ECM_AFFILIATED","DOWN",-0.147,-6.05,0.000216,0.0018
"(PID) Trk receptor signaling mediated by PI3K and PLC-gamma","PID_PI3K_PLC_TRK_PATHWAY","UP",0.175,6.04,0.000217,0.0018
"(Reactome) SHC-related events","REACTOME_SHC_RELATED_EVENTS","UP",0.138,6.03,0.000219,0.0018
"(KEGG) Hematopoietic cell lineage","KEGG_HEMATOPOIETIC_CELL_LINEAGE","DOWN",-0.158,-6.03,0.000219,0.0018
"(BioCarta) AKT Signaling Pathway","BIOCARTA_AKT_PATHWAY","DOWN",-0.144,-6.02,0.000222,0.00181
"(Reactome) Bile acid and bile salt metabolism","REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","DOWN",-0.258,-6.01,0.000226,0.00183
"(Reactome) p38MAPK events","REACTOME_P38MAPK_EVENTS","UP",0.181,6,0.000228,0.00183
"(Reactome) Nuclear signaling by ERBB4","REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","UP",0.151,5.98,0.000232,0.00185
"(PID) LPA4-mediated signaling events","PID_LPA4_PATHWAY","DOWN",-0.32,-5.96,0.000239,0.00189
"(PID) FGF signaling pathway","PID_FGF_PATHWAY","UP",0.136,5.95,0.000243,0.00191
"(Reactome) Amyloids","REACTOME_AMYLOIDS","DOWN",-0.177,-5.94,0.000244,0.00191
"(Reactome) Unwinding of DNA","REACTOME_UNWINDING_OF_DNA","UP",0.324,5.9,0.000257,0.002
"(KEGG) Type II diabetes mellitus","KEGG_TYPE_II_DIABETES_MELLITUS","DOWN",-0.126,-5.89,0.000261,0.00201
"(PID) Reelin signaling pathway","PID_REELIN_PATHWAY","UP",0.165,5.84,0.000276,0.00211
"(Reactome) Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","DOWN",-0.15,-5.83,0.00028,0.00213
"(Reactome) G2/M Checkpoints","REACTOME_G2_M_CHECKPOINTS","UP",0.183,5.82,0.000282,0.00213
"(PID) CD40/CD40L signaling","PID_CD40_PATHWAY","DOWN",-0.152,-5.78,0.000297,0.00223
"(Reactome) Myogenesis","REACTOME_MYOGENESIS","UP",0.153,5.75,0.000308,0.00228
"(Reactome) Signaling by NODAL","REACTOME_SIGNALING_BY_NODAL","DOWN",-0.218,-5.75,0.000308,0.00228
"(Reactome) DNA strand elongation","REACTOME_DNA_STRAND_ELONGATION","UP",0.205,5.71,0.000325,0.00239
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","DOWN",-0.121,-5.66,0.000346,0.00252
"(BioCarta) Role of Parkin in the Ubiquitin-Proteasomal Pathway","BIOCARTA_PARKIN_PATHWAY","DOWN",-0.2,-5.66,0.000347,0.00252
"(KEGG) Fatty acid metabolism","KEGG_FATTY_ACID_METABOLISM","UP",0.134,5.63,0.00036,0.00258
"(Reactome) G-protein beta:gamma signalling","REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING","UP",0.118,5.62,0.000363,0.00258
"(Reactome) Activation of ATR in response to replication stress","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","UP",0.17,5.62,0.000365,0.00258
"(Reactome) Mitochondrial Fatty Acid Beta-Oxidation","REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION","UP",0.152,5.62,0.000365,0.00258
"(BioCarta) Hypoxia and p53 in the Cardiovascular system","BIOCARTA_P53HYPOXIA_PATHWAY","UP",0.161,5.59,0.000378,0.00266
"(Reactome) Synthesis of PIPs at the Golgi membrane","REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE","UP",0.196,5.56,0.000391,0.00273
"(BioCarta) ALK in cardiac myocytes","BIOCARTA_ALK_PATHWAY","DOWN",-0.144,-5.54,0.000403,0.0028
"(PID) Signaling mediated by p38-gamma and p38-delta","PID_P38_GAMMA_DELTA_PATHWAY","UP",0.241,5.5,0.000423,0.00292
"(Reactome) JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1","DOWN",-0.129,-5.46,0.000443,0.00304
"(Reactome) Translation","REACTOME_TRANSLATION","DOWN",-0.134,-5.44,0.000453,0.00309
"(Reactome) Mitochondrial tRNA aminoacylation","REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION","UP",0.12,5.44,0.000457,0.00309
"(PID) Alpha6 beta4 integrin-ligand interactions","PID_INTEGRIN4_PATHWAY","UP",0.155,5.41,0.00047,0.00317
"(BioCarta) Role of Tob in T-cell activation","BIOCARTA_TOB1_PATHWAY","DOWN",-0.222,-5.41,0.000474,0.00317
"(Reactome) Aquaporin-mediated transport","REACTOME_AQUAPORIN_MEDIATED_TRANSPORT","DOWN",-0.178,-5.4,0.00048,0.00318
"(Reactome) Regulation of Water Balance by Renal Aquaporins","REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS","DOWN",-0.178,-5.4,0.00048,0.00318
"(SigmaAldrich) Cdk2, 4, and 6 bind cyclin D in G1, while cdk2/cyclin E promotes the G1/S transition.","SA_G1_AND_S_PHASES","UP",0.194,5.39,0.000484,0.00319
"(BioCarta) Cell Cycle: G2/M Checkpoint","BIOCARTA_G2_PATHWAY","UP",0.134,5.38,0.00049,0.00321
"(Reactome) Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor","REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR","DOWN",-0.184,-5.37,0.000496,0.00322
"(KEGG) Histidine metabolism","KEGG_HISTIDINE_METABOLISM","UP",0.149,5.37,0.000498,0.00322
"(KEGG) ECM-receptor interaction","KEGG_ECM_RECEPTOR_INTERACTION","DOWN",-0.175,-5.33,0.000521,0.00335
"(STKE) ERK1/ERK2 MAPK Pathway","ST_ERK1_ERK2_MAPK_PATHWAY","UP",0.123,5.32,0.000531,0.00339
"(BioCarta) Insulin Signaling Pathway","BIOCARTA_INSULIN_PATHWAY","UP",0.14,5.3,0.000542,0.00345
"(KEGG) One carbon pool by folate","KEGG_ONE_CARBON_POOL_BY_FOLATE","UP",0.182,5.3,0.000547,0.00346
"(SigmaAldrich) The TrkA receptor binds nerve growth factor to activate MAP kinase pathways and promote cell growth.","SA_TRKA_RECEPTOR","UP",0.137,5.29,0.000553,0.00348
"(STKE) G alpha i Pathway","ST_G_ALPHA_I_PATHWAY","UP",0.13,5.26,0.000574,0.00357
"(PID) LPA receptor mediated events","PID_LYSOPHOSPHOLIPID_PATHWAY","DOWN",-0.122,-5.26,0.000575,0.00357
"(Reactome) Meiotic Synapsis","REACTOME_MEIOTIC_SYNAPSIS","DOWN",-0.126,-5.19,0.000625,0.00387
"(Reactome) Repair synthesis for gap-filling by DNA polymerase in TC-NER","REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER","UP",0.161,5.19,0.00063,0.00387
"(PID) Regulation of RhoA activity","PID_RHOA_REG_PATHWAY","UP",0.165,5.18,0.000635,0.00388
"(PID) TCR signaling in na&#xef;ve CD8+ T cells","PID_CD8_TCR_PATHWAY","DOWN",-0.127,-5.17,0.000643,0.00391
