"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Insulin receptor recycling","REACTOME_INSULIN_RECEPTOR_RECYCLING","DOWN",-0.297,-9.92,6.53e-06,0.000334
"(Reactome) G1 Phase","REACTOME_G1_PHASE","DOWN",-0.325,-9.68,7.88e-06,0.000367
"(BioCarta) p53 Signaling Pathway","BIOCARTA_P53_PATHWAY","DOWN",-0.506,-9.53,8.87e-06,0.000367
"(KEGG) Antigen processing and presentation","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","UP",0.579,9.49,9.15e-06,0.000367
"(BioCarta) Hypoxia and p53 in the Cardiovascular system","BIOCARTA_P53HYPOXIA_PATHWAY","DOWN",-0.358,-9.49,9.21e-06,0.000367
"(BioCarta) CBL mediated ligand-induced downregulation of EGF receptors","BIOCARTA_CBL_PATHWAY","DOWN",-0.433,-9.47,9.33e-06,0.000367
"(Reactome) Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS","DOWN",-0.371,-9.46,9.4e-06,0.000367
"(SigmaAldrich) Cdk2, 4, and 6 bind cyclin D in G1, while cdk2/cyclin E promotes the G1/S transition.","SA_G1_AND_S_PHASES","DOWN",-0.433,-9.45,9.45e-06,0.000367
"(KEGG) Melanoma","KEGG_MELANOMA","DOWN",-0.282,-9.28,1.09e-05,0.00041
"(KEGG) Non-small cell lung cancer","KEGG_NON_SMALL_CELL_LUNG_CANCER","DOWN",-0.262,-9.18,1.19e-05,0.000411
"(BioCarta) Acute Myocardial Infarction","BIOCARTA_AMI_PATHWAY","DOWN",-0.315,-9.17,1.2e-05,0.000411
"(PID) IL2 signaling events mediated by STAT5","PID_IL2_STAT5_PATHWAY","DOWN",-0.255,-9.09,1.28e-05,0.000411
"(Reactome) Signaling by Hippo","REACTOME_SIGNALING_BY_HIPPO","UP",0.277,9.06,1.31e-05,0.000411
"(KEGG) Glutathione metabolism","KEGG_GLUTATHIONE_METABOLISM","DOWN",-0.28,-9.04,1.33e-05,0.000411
"(BioCarta) Sprouty regulation of tyrosine kinase signals","BIOCARTA_SPRY_PATHWAY","DOWN",-0.308,-9.04,1.34e-05,0.000411
"(KEGG) p53 signaling pathway","KEGG_P53_SIGNALING_PATHWAY","DOWN",-0.384,-9,1.38e-05,0.000411
"(BioCarta) Map Kinase Inactivation of SMRT Corepressor","BIOCARTA_EGFR_SMRTE_PATHWAY","DOWN",-0.249,-8.95,1.44e-05,0.000411
"(KEGG) Glioma","KEGG_GLIOMA","DOWN",-0.269,-8.95,1.44e-05,0.000411
"(Reactome) SHC1 events in EGFR signaling","REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING","DOWN",-0.242,-8.93,1.46e-05,0.000411
"(Reactome) Telomere Maintenance","REACTOME_TELOMERE_MAINTENANCE","UP",0.215,8.87,1.54e-05,0.000424
"(Reactome) JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1","UP",0.199,8.76,1.7e-05,0.000456
"(BioCarta) TACI and BCMA stimulation of B cell immune responses.","BIOCARTA_TALL1_PATHWAY","UP",0.251,8.73,1.75e-05,0.000457
"(Reactome) Homologous recombination repair of replication-independent double-strand breaks","REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS","UP",0.198,8.54,2.06e-05,0.000527
"(Reactome) Amino acid transport across the plasma membrane","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","DOWN",-0.308,-8.39,2.36e-05,0.000589
"(BioCarta) Roles of fl-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling","BIOCARTA_BARRESTIN_SRC_PATHWAY","DOWN",-0.252,-8.31,2.53e-05,0.000615
"(Reactome) CRMPs in Sema3A signaling","REACTOME_CRMPS_IN_SEMA3A_SIGNALING","DOWN",-0.317,-8.29,2.57e-05,0.000615
"(BioCarta) B Cell Survival Pathway","BIOCARTA_BCELLSURVIVAL_PATHWAY","UP",0.19,8.21,2.79e-05,0.000632
"(Reactome) Inwardly rectifying K+ channels","REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","DOWN",-0.245,-8.2,2.79e-05,0.000632
"(SigmaAldrich) Programmed cell death, or apoptosis, eliminates damaged or unneeded cells.","SA_PROGRAMMED_CELL_DEATH","DOWN",-0.283,-8.2,2.81e-05,0.000632
"(Reactome) Sema4D induced cell migration and growth-cone collapse","REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE","UP",0.283,8.04,3.24e-05,0.000714
"(Reactome) p38MAPK events","REACTOME_P38MAPK_EVENTS","DOWN",-0.273,-8.01,3.33e-05,0.00072
"(KEGG) Glycosaminoglycan biosynthesis - keratan sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE","DOWN",-0.224,-7.91,3.67e-05,0.000766
"(KEGG) Olfactory transduction","KEGG_OLFACTORY_TRANSDUCTION","UP",0.194,7.91,3.68e-05,0.000766
"(PID) FOXM1 transcription factor network","PID_FOXM1_PATHWAY","DOWN",-0.282,-7.86,3.84e-05,0.000778
"(Reactome) Synthesis and interconversion of nucleotide di- and triphosphates","REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES","DOWN",-0.225,-7.85,3.87e-05,0.000778
"(PID) Validated transcriptional targets of TAp63 isoforms","PID_TAP63_PATHWAY","DOWN",-0.28,-7.83,3.98e-05,0.000785
"(SigmaAldrich) The TrkA receptor binds nerve growth factor to activate MAP kinase pathways and promote cell growth.","SA_TRKA_RECEPTOR","DOWN",-0.21,-7.74,4.33e-05,0.00084
"(Reactome) Recruitment of mitotic centrosome proteins and complexes","REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES","UP",0.358,7.7,4.5e-05,0.000859
"(Reactome) Gluconeogenesis","REACTOME_GLUCONEOGENESIS","DOWN",-0.211,-7.65,4.71e-05,0.000877
"(Reactome) Loss of Nlp from mitotic centrosomes","REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES","UP",0.356,7.64,4.76e-05,0.000877
"(PID) Netrin-mediated signaling events","PID_NETRIN_PATHWAY","DOWN",-0.208,-7.58,5.04e-05,0.000904
"(KEGG) Systemic lupus erythematosus","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","UP",0.205,7.58,5.06e-05,0.000904
"(Reactome) Signaling by NODAL","REACTOME_SIGNALING_BY_NODAL","DOWN",-0.231,-7.52,5.37e-05,0.000944
"(Reactome) Regulation of ornithine decarboxylase (ODC)","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","DOWN",-0.184,-7.49,5.5e-05,0.000949
"(KEGG) Vascular smooth muscle contraction","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION","UP",0.222,7.48,5.57e-05,0.000949
"(PID) IL6-mediated signaling events","PID_IL6_7_PATHWAY","UP",0.193,7.43,5.83e-05,0.000979
"(Reactome) Notch-HLH transcription pathway","REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY","UP",0.198,7.41,5.98e-05,0.000989
"(PID) FOXA2 and FOXA3 transcription factor networks","PID_HNF3B_PATHWAY","UP",0.18,7.39,6.06e-05,0.000989
"(Reactome) Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis","REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS","DOWN",-0.355,-7.33,6.49e-05,0.00104
"(KEGG) Primary immunodeficiency","KEGG_PRIMARY_IMMUNODEFICIENCY","UP",0.332,7.23,7.17e-05,0.00113
"(Reactome) Iron uptake and transport","REACTOME_IRON_UPTAKE_AND_TRANSPORT","DOWN",-0.214,-7.2,7.37e-05,0.00113
"(Reactome) Sema4D in semaphorin signaling","REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING","UP",0.242,7.2,7.38e-05,0.00113
"(BioCarta) Role of MEF2D in T-cell Apoptosis","BIOCARTA_MEF2D_PATHWAY","UP",0.196,7.18,7.48e-05,0.00113
"(Reactome) Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor","REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR","DOWN",-0.281,-7.15,7.78e-05,0.00113
"(PID) Notch signaling pathway","PID_NOTCH_PATHWAY","DOWN",-0.178,-7.14,7.84e-05,0.00113
"(Reactome) Transport of Mature Transcript to Cytoplasm","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","UP",0.217,7.1,8.12e-05,0.00113
"(Reactome) Double-Strand Break Repair","REACTOME_DOUBLE_STRAND_BREAK_REPAIR","UP",0.171,7.1,8.19e-05,0.00113
"(Reactome) Amyloids","REACTOME_AMYLOIDS","UP",0.245,7.09,8.24e-05,0.00113
"(BioCarta) Vitamin C in the Brain","BIOCARTA_VITCB_PATHWAY","DOWN",-0.177,-7.09,8.26e-05,0.00113
"(BioCarta) Electron Transport Reaction in Mitochondria","BIOCARTA_ETC_PATHWAY","DOWN",-0.215,-7.07,8.37e-05,0.00113
"(BioCarta) CD40L Signaling Pathway","BIOCARTA_CD40_PATHWAY","UP",0.305,7.07,8.41e-05,0.00113
"(PID) BMP receptor signaling","PID_BMP_PATHWAY","UP",0.166,7.06,8.5e-05,0.00113
"(Reactome) Inflammasomes","REACTOME_INFLAMMASOMES","DOWN",-0.189,-7.05,8.57e-05,0.00113
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","DOWN",-0.233,-7.05,8.6e-05,0.00113
"(Reactome) Glycosphingolipid metabolism","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","DOWN",-0.23,-7.04,8.67e-05,0.00113
"(BioCarta) Activation of Src by Protein-tyrosine phosphatase alpha","BIOCARTA_SRCRPTP_PATHWAY","DOWN",-0.381,-7.02,8.84e-05,0.00114
"(KEGG) Thyroid cancer","KEGG_THYROID_CANCER","DOWN",-0.169,-6.95,9.51e-05,0.0012
"(SigmaAldrich) Expression of cyclins regulates progression through the cell cycle by activating cyclin-dependent kinases.","SA_REG_CASCADE_OF_CYCLIN_EXPR","DOWN",-0.319,-6.94,9.63e-05,0.0012
"(KEGG) Pentose phosphate pathway","KEGG_PENTOSE_PHOSPHATE_PATHWAY","DOWN",-0.253,-6.92,9.8e-05,0.0012
"(BioCarta) METS affect on Macrophage Differentiation","BIOCARTA_ETS_PATHWAY","UP",0.178,6.91,9.97e-05,0.0012
"(BioCarta) Sonic Hedgehog (SHH) Receptor Ptc1 Regulates cell cycle","BIOCARTA_PTC1_PATHWAY","DOWN",-0.207,-6.89,0.000101,0.0012
"(KEGG) Lysine degradation","KEGG_LYSINE_DEGRADATION","UP",0.161,6.89,0.000102,0.0012
"(PID) FoxO family signaling","PID_FOXO_PATHWAY","UP",0.193,6.88,0.000103,0.0012
"(Reactome) Unblocking of NMDA receptor, glutamate binding and activation","REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION","UP",0.267,6.87,0.000103,0.0012
"(Reactome) Meiotic Synapsis","REACTOME_MEIOTIC_SYNAPSIS","UP",0.199,6.87,0.000103,0.0012
"(KEGG) Terpenoid backbone biosynthesis","KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","DOWN",-0.334,-6.87,0.000104,0.0012
"(PID) EPHA2 forward signaling","PID_EPHA2_FWD_PATHWAY","DOWN",-0.257,-6.83,0.000109,0.00125
"(BioCarta) IL22 Soluble Receptor Signaling Pathway","BIOCARTA_IL22BP_PATHWAY","UP",0.218,6.82,0.00011,0.00125
"(Reactome) Mitotic G2-G2/M phases","REACTOME_MITOTIC_G2_G2_M_PHASES","UP",0.279,6.76,0.000116,0.00129
"(Reactome) GABA receptor activation","REACTOME_GABA_RECEPTOR_ACTIVATION","DOWN",-0.217,-6.76,0.000116,0.00129
"(Reactome) Apoptotic execution  phase","REACTOME_APOPTOTIC_EXECUTION_PHASE","UP",0.192,6.75,0.000118,0.0013
"(BioCarta) Stathmin and breast cancer resistance to antimicrotubule agents","BIOCARTA_STATHMIN_PATHWAY","DOWN",-0.177,-6.67,0.000128,0.0014
"(Reactome) Amino acid and oligopeptide SLC transporters","REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS","DOWN",-0.256,-6.6,0.000138,0.00149
"(Reactome) N-Glycan antennae elongation","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","DOWN",-0.24,-6.51,0.000152,0.00163
"(BioCarta) Pertussis toxin-insensitive CCR5 Signaling in Macrophage","BIOCARTA_CCR5_PATHWAY","UP",0.168,6.46,0.00016,0.00169
"(Reactome) Keratan sulfate/keratin metabolism","REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","DOWN",-0.209,-6.46,0.000161,0.00169
"(PID) E-cadherin signaling in the nascent adherens junction","PID_ECADHERIN_NASCENT_AJ_PATHWAY","DOWN",-0.191,-6.45,0.000162,0.00169
"(PID) Syndecan-2-mediated signaling events","PID_SYNDECAN_2_PATHWAY","DOWN",-0.25,-6.42,0.000168,0.00173
"(BioCarta) Role of Tob in T-cell activation","BIOCARTA_TOB1_PATHWAY","UP",0.192,6.39,0.000174,0.00178
"(KEGG) Steroid biosynthesis","KEGG_STEROID_BIOSYNTHESIS","DOWN",-0.67,-6.36,0.00018,0.00183
"(BioCarta) Role of BRCA1, BRCA2 and ATR in Cancer Susceptibility","BIOCARTA_ATRBRCA_PATHWAY","UP",0.161,6.32,0.000188,0.00189
"(Reactome) Chondroitin sulfate biosynthesis","REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS","DOWN",-0.328,-6.28,0.000196,0.00195
"(BioCarta) Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration","BIOCARTA_CDC42RAC_PATHWAY","DOWN",-0.207,-6.28,0.000197,0.00195
"(Reactome) Nuclear Events (kinase and transcription factor activation)","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","DOWN",-0.169,-6.25,0.000203,0.00196
"(Reactome) Potassium Channels","REACTOME_POTASSIUM_CHANNELS","DOWN",-0.184,-6.25,0.000203,0.00196
"(Reactome) Keratan sulfate biosynthesis","REACTOME_KERATAN_SULFATE_BIOSYNTHESIS","DOWN",-0.165,-6.23,0.000208,0.00196
"(KEGG) Long-term potentiation","KEGG_LONG_TERM_POTENTIATION","UP",0.167,6.22,0.000209,0.00196
"(Reactome) Regulation of Apoptosis","REACTOME_REGULATION_OF_APOPTOSIS","DOWN",-0.15,-6.22,0.00021,0.00196
"(Reactome) Striated Muscle Contraction","REACTOME_STRIATED_MUSCLE_CONTRACTION","UP",0.401,6.22,0.00021,0.00196
"(Reactome) Signalling to RAS","REACTOME_SIGNALLING_TO_RAS","DOWN",-0.16,-6.21,0.000212,0.00196
"(KEGG) Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","UP",0.147,6.21,0.000213,0.00196
"(Reactome) p53-Dependent G1 DNA Damage Response","REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE","DOWN",-0.174,-6.2,0.000214,0.00196
"(KEGG) PPAR signaling pathway","KEGG_PPAR_SIGNALING_PATHWAY","UP",0.148,6.2,0.000216,0.00196
"(Reactome) L1CAM interactions","REACTOME_L1CAM_INTERACTIONS","DOWN",-0.197,-6.19,0.000218,0.00196
"(Reactome) NEP/NS2 Interacts with the Cellular Export Machinery","REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY","UP",0.163,6.18,0.00022,0.00197
"(Reactome) Signaling by NOTCH4","REACTOME_SIGNALING_BY_NOTCH4","DOWN",-0.234,-6.16,0.000225,0.00199
"(BioCarta) Proteasome Complex","BIOCARTA_PROTEASOME_PATHWAY","DOWN",-0.188,-6.15,0.000228,0.002
"(Reactome) CD28 dependent PI3K/Akt signaling","REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING","UP",0.242,6.09,0.000245,0.00213
"(Reactome) Chromosome Maintenance","REACTOME_CHROMOSOME_MAINTENANCE","UP",0.14,6.06,0.000251,0.00218
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","DOWN",-0.312,-6.06,0.000254,0.00218
"(Reactome) Activation of NMDA receptor upon glutamate binding and postsynaptic events","REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS","UP",0.149,6.04,0.000257,0.00219
"(BioCarta) Phosphoinositides and their downstream targets.","BIOCARTA_PTDINS_PATHWAY","DOWN",-0.156,-6.03,0.00026,0.0022
"(BioCarta) Nitric Oxide Signaling Pathway","BIOCARTA_NOS1_PATHWAY","UP",0.139,6.02,0.000265,0.00223
"(Reactome) BMAL1:CLOCK/NPAS2 Activates Circadian Expression","REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION","UP",0.155,6,0.000271,0.00224
"(Reactome) Signal transduction by L1","REACTOME_SIGNAL_TRANSDUCTION_BY_L1","DOWN",-0.171,-5.99,0.000272,0.00224
"(Reactome) Cell-cell junction organization","REACTOME_CELL_CELL_JUNCTION_ORGANIZATION","UP",0.183,5.99,0.000273,0.00224
"(PID) Posttranslational regulation of adherens junction stability and dissassembly","PID_AJDISS_2PATHWAY","DOWN",-0.21,-5.97,0.000279,0.00227
"(Reactome) activated TAK1 mediates p38 MAPK activation","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION","DOWN",-0.143,-5.94,0.000291,0.00234
"(Reactome) Lysosome Vesicle Biogenesis","REACTOME_LYSOSOME_VESICLE_BIOGENESIS","DOWN",-0.176,-5.93,0.000292,0.00234
"(BioCarta) Ceramide Signaling Pathway","BIOCARTA_CERAMIDE_PATHWAY","DOWN",-0.148,-5.93,0.000293,0.00234
"(KEGG) Hedgehog signaling pathway","KEGG_HEDGEHOG_SIGNALING_PATHWAY","DOWN",-0.185,-5.89,0.000308,0.00244
"(Reactome) Class B/2 (Secretin family receptors)","REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS","DOWN",-0.167,-5.84,0.000325,0.00256
"(PID) Validated targets of C-MYC transcriptional repression","PID_MYC_REPRESS_PATHWAY","DOWN",-0.137,-5.83,0.00033,0.00258
"(Reactome) Activation of the AP-1 family of transcription factors","REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS","UP",0.227,5.81,0.000339,0.00262
"(Reactome) YAP1- and WWTR1 (TAZ)-stimulated gene expression","REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION","UP",0.216,5.81,0.00034,0.00262
"(BioCarta) Double Stranded RNA Induced Gene Expression","BIOCARTA_RNA_PATHWAY","UP",0.178,5.79,0.000347,0.00265
"(KEGG) Circadian rhythm - mammal","KEGG_CIRCADIAN_RHYTHM_MAMMAL","UP",0.169,5.78,0.00035,0.00265
"(Reactome) Adenylate cyclase inhibitory pathway","REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY","UP",0.296,5.78,0.000351,0.00265
"(Reactome) Cholesterol biosynthesis","REACTOME_CHOLESTEROL_BIOSYNTHESIS","DOWN",-0.506,-5.77,0.000354,0.00265
"(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","BIOCARTA_CARDIACEGF_PATHWAY","DOWN",-0.161,-5.76,0.000357,0.00266
"(KEGG) Glyoxylate and dicarboxylate metabolism","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","DOWN",-0.264,-5.74,0.000366,0.00271
"(PID) Circadian rhythm pathway","PID_CIRCADIAN_PATHWAY","UP",0.172,5.73,0.000369,0.00272
"(Reactome) SCF(Skp2)-mediated degradation of p27/p21","REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21","DOWN",-0.154,-5.67,0.000399,0.00292
"(Reactome) Voltage gated Potassium channels","REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","DOWN",-0.21,-5.63,0.000419,0.00304
"(PID) S1P4 pathway","PID_S1P_S1P4_PATHWAY","UP",0.162,5.6,0.000433,0.00313
"(BioCarta) Cell Cycle: G2/M Checkpoint","BIOCARTA_G2_PATHWAY","DOWN",-0.16,-5.58,0.000444,0.00318
"(BioCarta) TNFR2 Signaling Pathway","BIOCARTA_TNFR2_PATHWAY","UP",0.275,5.57,0.000448,0.00318
"(KEGG) Metabolism of xenobiotics by cytochrome P450","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","DOWN",-0.243,-5.57,0.000452,0.00318
"(BioCarta) HIV-I Nef: negative effector of Fas and TNF","BIOCARTA_HIVNEF_PATHWAY","UP",0.129,5.56,0.000453,0.00318
"(STKE) JNK MAPK Pathway","ST_JNK_MAPK_PATHWAY","UP",0.18,5.56,0.000455,0.00318
"(Reactome) Cross-presentation of soluble exogenous antigens (endosomes)","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","DOWN",-0.144,-5.55,0.000461,0.0032
"(STKE) Myocyte Adrenergic Pathway is a specific case of the generalized Adrenergic Pathway.","ST_MYOCYTE_AD_PATHWAY","UP",0.217,5.55,0.000463,0.0032
"(Reactome) Signaling by NOTCH2","REACTOME_SIGNALING_BY_NOTCH2","DOWN",-0.206,-5.52,0.00048,0.00329
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","DOWN",-0.137,-5.51,0.000485,0.00331
"(Reactome) Interaction between L1 and Ankyrins","REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS","DOWN",-0.227,-5.48,5e-04,0.00339
"(STKE) ERK1/ERK2 MAPK Pathway","ST_ERK1_ERK2_MAPK_PATHWAY","UP",0.129,5.44,0.000531,0.00357
"(Reactome) RNA Polymerase I Promoter Opening","REACTOME_RNA_POL_I_PROMOTER_OPENING","UP",0.231,5.43,0.000534,0.00358
"(PID) HIV-1 Nef: Negative effector of Fas and TNF-alpha","PID_HIV_NEF_PATHWAY","UP",0.165,5.4,0.000554,0.00367
"(Reactome) Retrograde neurotrophin signalling","REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","DOWN",-0.188,-5.4,0.000555,0.00367
"(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","DOWN",-0.222,-5.38,0.000567,0.00371
"(KEGG) Pyruvate metabolism","KEGG_PYRUVATE_METABOLISM","DOWN",-0.129,-5.38,0.000568,0.00371
"(Reactome) p53-Independent G1/S DNA damage checkpoint","REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT","DOWN",-0.137,-5.37,0.000575,0.00374
"(KEGG) Pancreatic cancer","KEGG_PANCREATIC_CANCER","DOWN",-0.157,-5.36,0.000582,0.00376
"(Reactome) Autodegradation of the E3 ubiquitin ligase COP1","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1","DOWN",-0.134,-5.34,0.000598,0.00384
"(PID) Beta5 beta6 beta7 and beta8 integrin cell surface interactions","PID_INTEGRIN5_PATHWAY","UP",0.166,5.32,0.000609,0.00389
"(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","UP",0.157,5.31,0.000617,0.00392
"(Reactome) ERK/MAPK targets","REACTOME_ERK_MAPK_TARGETS","DOWN",-0.141,-5.3,0.000624,0.00394
"(Reactome) Transport of Mature mRNA Derived from an Intronless Transcript","REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT","UP",0.155,5.29,0.000635,0.00397
