"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(PID) Signaling events mediated by PTP1B","PID_PTP1B_PATHWAY","UP",0.204,7.02,7.43e-12,5.17e-10
"(BioCarta) CDK Regulation of DNA Replication","BIOCARTA_MCM_PATHWAY","DOWN",-0.192,-7.01,8.13e-12,5.35e-10
"(KEGG) TGF-beta signaling pathway","KEGG_TGF_BETA_SIGNALING_PATHWAY","UP",0.15,6.99,9.25e-12,5.55e-10
"(PID) DNA-PK pathway in nonhomologous end joining","PID_DNA_PK_PATHWAY","DOWN",-0.154,-6.99,9.38e-12,5.55e-10
"(Reactome) E2F mediated regulation of DNA replication","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","DOWN",-0.15,-6.94,1.26e-11,7.09e-10
"(BioCarta) Signaling of Hepatocyte Growth Factor Receptor","BIOCARTA_MET_PATHWAY","UP",0.107,6.93,1.38e-11,7.42e-10
"(KEGG) Pantothenate and CoA biosynthesis","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","DOWN",-0.158,-6.91,1.58e-11,8.12e-10
"(Reactome) Mitotic G2-G2/M phases","REACTOME_MITOTIC_G2_G2_M_PHASES","DOWN",-0.125,-6.88,1.85e-11,9.11e-10
"(Reactome) RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING","DOWN",-0.14,-6.87,2.01e-11,9.54e-10
"(PID) Endogenous TLR signaling","PID_TOLL_ENDOGENOUS_PATHWAY","UP",0.382,6.74,4.52e-11,2.06e-09
"(KEGG) Ubiquitin mediated proteolysis","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","DOWN",-0.0892,-6.71,5.53e-11,2.42e-09
"(Reactome) CS/DS degradation","REACTOME_CS_DS_DEGRADATION","UP",0.275,6.68,6.42e-11,2.71e-09
"(KEGG) Homologous recombination","KEGG_HOMOLOGOUS_RECOMBINATION","DOWN",-0.15,-6.66,7.57e-11,3.03e-09
"(PID) Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling","PID_UPA_UPAR_PATHWAY","UP",0.214,6.65,7.68e-11,3.03e-09
"(Naba) Genes encoding proteoglycans","NABA_PROTEOGLYCANS","UP",0.271,6.64,8.43e-11,3.22e-09
"(PID) ATR signaling pathway","PID_ATR_PATHWAY","DOWN",-0.126,-6.63,8.77e-11,3.25e-09
"(Reactome) Ras activation uopn Ca2+ infux through NMDA receptor","REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR","DOWN",-0.28,-6.59,1.12e-10,3.96e-09
"(BioCarta) Integrin Signaling Pathway","BIOCARTA_INTEGRIN_PATHWAY","UP",0.104,6.59,1.15e-10,3.96e-09
"(BioCarta) mCalpain and friends in Cell motility","BIOCARTA_MCALPAIN_PATHWAY","UP",0.173,6.59,1.17e-10,3.96e-09
"(Reactome) Signaling by Hippo","REACTOME_SIGNALING_BY_HIPPO","UP",0.237,6.58,1.24e-10,4.09e-09
"(Reactome) CREB phosphorylation through the activation of Ras","REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS","DOWN",-0.185,-6.55,1.51e-10,4.83e-09
"(PID) Glypican 1 network","PID_GLYPICAN_1PATHWAY","UP",0.297,6.49,2.17e-10,6.76e-09
"(Reactome) mRNA Capping","REACTOME_MRNA_CAPPING","DOWN",-0.15,-6.48,2.27e-10,6.9e-09
"(Reactome) Glycosphingolipid metabolism","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","DOWN",-0.132,-6.47,2.38e-10,7.06e-09
"(Reactome) Formation of transcription-coupled NER (TC-NER) repair complex","REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX","DOWN",-0.154,-6.46,2.61e-10,7.55e-09
"(BioCarta) TGF beta signaling pathway","BIOCARTA_TGFB_PATHWAY","UP",0.192,6.45,2.74e-10,7.71e-09
"(Reactome) Activation of the pre-replicative complex","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.185,-6.43,3.1e-10,8.52e-09
"(PID) Regulation of Ras family activation","PID_RAS_PATHWAY","DOWN",-0.152,-6.41,3.49e-10,9.4e-09
"(Reactome) Cell Cycle, Mitotic","REACTOME_CELL_CYCLE_MITOTIC","DOWN",-0.0915,-6.4,3.61e-10,9.5e-09
"(BioCarta) Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia","BIOCARTA_ECM_PATHWAY","UP",0.175,6.39,3.97e-10,1.02e-08
"(PID) S1P3 pathway","PID_S1P_S1P3_PATHWAY","UP",0.185,6.34,5.31e-10,1.34e-08
"(KEGG) Focal adhesion","KEGG_FOCAL_ADHESION","UP",0.0734,6.31,6.2e-10,1.53e-08
"(Reactome) Amino acid transport across the plasma membrane","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","UP",0.163,6.31,6.31e-10,1.53e-08
"(KEGG) Regulation of actin cytoskeleton","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","UP",0.0646,6.28,7.72e-10,1.83e-08
"(STKE) G alpha 12 Pathway","ST_GA12_PATHWAY","DOWN",-0.146,-6.27,8.02e-10,1.86e-08
"(Reactome) Cell Cycle","REACTOME_CELL_CYCLE","DOWN",-0.0867,-6.26,8.25e-10,1.88e-08
"(Reactome) Transcription-coupled NER (TC-NER)","REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER","DOWN",-0.143,-6.25,8.74e-10,1.95e-08
"(PID) Class I PI3K signaling events mediated by Akt","PID_PI3KCI_AKT_PATHWAY","UP",0.0723,6.25,8.93e-10,1.96e-08
"(PID) BMP receptor signaling","PID_BMP_PATHWAY","UP",0.13,6.21,1.17e-09,2.53e-08
"(Reactome) RNA Polymerase II Transcription","REACTOME_RNA_POL_II_TRANSCRIPTION","DOWN",-0.102,-6.17,1.47e-09,3.06e-08
"(Reactome) RNA Polymerase II Pre-transcription Events","REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS","DOWN",-0.11,-6.16,1.49e-09,3.06e-08
"(PID) EGF receptor (ErbB1) signaling pathway","PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","UP",0.0759,6.16,1.5e-09,3.06e-08
"(Reactome) A tetrasaccharide linker sequence is required for GAG synthesis","REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS","UP",0.227,6.15,1.62e-09,3.24e-08
"(Reactome) Chondroitin sulfate/dermatan sulfate metabolism","REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM","UP",0.155,6.15,1.67e-09,3.29e-08
"(PID) Syndecan-4-mediated signaling events","PID_SYNDECAN_4_PATHWAY","UP",0.185,6.13,1.81e-09,3.51e-08
"(PID) Alpha6 beta4 integrin-ligand interactions","PID_INTEGRIN4_PATHWAY","UP",0.261,6.11,2.08e-09,3.96e-08
"(Reactome) HIV Life Cycle","REACTOME_HIV_LIFE_CYCLE","DOWN",-0.0963,-6.1,2.23e-09,4.19e-08
"(Reactome) The activation of arylsulfatases","REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES","DOWN",-0.183,-6.09,2.28e-09,4.22e-08
"(PID) Signaling events mediated by TCPTP","PID_TCPTP_PATHWAY","UP",0.133,6.05,2.82e-09,5.13e-08
"(KEGG) Alanine, aspartate and glutamate metabolism","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","DOWN",-0.168,-6.04,3.12e-09,5.59e-08
"(Reactome) Late Phase of HIV Life Cycle","REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE","DOWN",-0.106,-6.03,3.21e-09,5.67e-08
"(BioCarta) The IGF-1 Receptor and Longevity","BIOCARTA_LONGEVITY_PATHWAY","UP",0.187,6.03,3.28e-09,5.71e-08
"(Reactome) Glycosaminoglycan metabolism","REACTOME_GLYCOSAMINOGLYCAN_METABOLISM","UP",0.108,6.02,3.48e-09,5.98e-08
"(Reactome) DNA Repair","REACTOME_DNA_REPAIR","DOWN",-0.139,-6,3.85e-09,6.51e-08
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","UP",0.207,5.98,4.37e-09,7.28e-08
"(PID) Integrin family cell surface interactions","PID_INTEGRIN_CS_PATHWAY","UP",0.192,5.97,4.55e-09,7.48e-08
"(BioCarta) Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","BIOCARTA_AKAP13_PATHWAY","UP",0.16,5.96,4.77e-09,7.73e-08
"(KEGG) ECM-receptor interaction","KEGG_ECM_RECEPTOR_INTERACTION","UP",0.133,5.95,5.17e-09,8.27e-08
"(Reactome) Recruitment of mitotic centrosome proteins and complexes","REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES","DOWN",-0.118,-5.95,5.25e-09,8.3e-08
"(PID) PDGFR-alpha signaling pathway","PID_PDGFRA_PATHWAY","UP",0.177,5.92,6.2e-09,9.66e-08
"(Reactome) Unwinding of DNA","REACTOME_UNWINDING_OF_DNA","DOWN",-0.204,-5.91,6.54e-09,1.01e-07
"(BioCarta) Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy","BIOCARTA_CARDIACEGF_PATHWAY","UP",0.243,5.9,7.01e-09,1.06e-07
"(Reactome) Cell surface interactions at the vascular wall","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","UP",0.139,5.89,7.13e-09,1.07e-07
"(Reactome) RNA Polymerase III Transcription Initiation From Type 2 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER","DOWN",-0.163,-5.88,7.69e-09,1.14e-07
"(KEGG) Cytokine-cytokine receptor interaction","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","UP",0.137,5.87,7.91e-09,1.16e-07
"(Reactome) Association of licensing factors with the pre-replicative complex","REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-0.152,-5.85,8.93e-09,1.29e-07
"(PID) FGF signaling pathway","PID_FGF_PATHWAY","UP",0.117,5.85,9.28e-09,1.32e-07
"(KEGG) Pyrimidine metabolism","KEGG_PYRIMIDINE_METABOLISM","DOWN",-0.115,-5.83,9.9e-09,1.4e-07
"(PID) PDGFR-beta signaling pathway","PID_PDGFRB_PATHWAY","UP",0.0645,5.83,1.03e-08,1.44e-07
"(Reactome) DNA strand elongation","REACTOME_DNA_STRAND_ELONGATION","DOWN",-0.159,-5.82,1.05e-08,1.44e-07
"(Reactome) SHC1 events in EGFR signaling","REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING","UP",0.0956,5.82,1.1e-08,1.49e-07
"(Reactome) RNA Polymerase I Transcription Initiation","REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION","DOWN",-0.141,-5.81,1.15e-08,1.55e-07
"(Reactome) DNA Replication","REACTOME_DNA_REPLICATION","DOWN",-0.083,-5.8,1.18e-08,1.57e-07
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","DOWN",-0.0779,-5.8,1.21e-08,1.57e-07
"(Reactome) G1/S-Specific Transcription","REACTOME_G1_S_SPECIFIC_TRANSCRIPTION","DOWN",-0.148,-5.8,1.21e-08,1.57e-07
"(Reactome) Cell Cycle Checkpoints","REACTOME_CELL_CYCLE_CHECKPOINTS","DOWN",-0.111,-5.78,1.36e-08,1.73e-07
"(Reactome) RNA Polymerase III Chain Elongation","REACTOME_RNA_POL_III_CHAIN_ELONGATION","DOWN",-0.169,-5.78,1.36e-08,1.73e-07
"(Reactome) Antigen processing: Ubiquitination & Proteasome degradation","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION","DOWN",-0.0726,-5.75,1.57e-08,1.94e-07
"(SigmaAldrich) Cytokines can induce activation of matrix metalloproteinases, which degrade extracellular matrix.","SA_MMP_CYTOKINE_CONNECTION","UP",0.519,5.75,1.57e-08,1.94e-07
"(Reactome) Phosphorylation of the APC/C","REACTOME_PHOSPHORYLATION_OF_THE_APC_C","DOWN",-0.148,-5.75,1.57e-08,1.94e-07
"(BioCarta) E2F1 Destruction Pathway","BIOCARTA_SKP2E2F_PATHWAY","DOWN",-0.115,-5.74,1.69e-08,2.07e-07
"(PID) TGF-beta receptor signaling","PID_TGFBR_PATHWAY","UP",0.112,5.73,1.75e-08,2.11e-07
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","UP",0.118,5.72,1.85e-08,2.21e-07
"(BioCarta) Role of BRCA1, BRCA2 and ATR in Cancer Susceptibility","BIOCARTA_ATRBRCA_PATHWAY","DOWN",-0.124,-5.72,1.88e-08,2.23e-07
"(KEGG) Mismatch repair","KEGG_MISMATCH_REPAIR","DOWN",-0.168,-5.71,1.94e-08,2.27e-07
"(Reactome) Pyrimidine catabolism","REACTOME_PYRIMIDINE_CATABOLISM","DOWN",-0.218,-5.71,1.99e-08,2.31e-07
"(KEGG) Riboflavin metabolism","KEGG_RIBOFLAVIN_METABOLISM","DOWN",-0.21,-5.69,2.17e-08,2.49e-07
"(Reactome) Effects of PIP2 hydrolysis","REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS","DOWN",-0.245,-5.67,2.4e-08,2.74e-07
"(Signaling Gateway) Genes related to the insulin receptor pathway","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","UP",0.0791,5.67,2.43e-08,2.74e-07
"(Reactome) RNA Polymerase III Transcription Initiation From Type 3 Promoter","REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER","DOWN",-0.153,-5.67,2.48e-08,2.77e-07
"(PID) Stabilization and expansion of the E-cadherin adherens junction","PID_ECADHERIN_STABILIZATION_PATHWAY","UP",0.1,5.65,2.67e-08,2.95e-07
"(Reactome) S Phase","REACTOME_S_PHASE","DOWN",-0.0931,-5.64,2.89e-08,3.17e-07
"(PID) PLK1 signaling events","PID_PLK1_PATHWAY","DOWN",-0.0953,-5.64,2.94e-08,3.2e-07
"(Reactome) Nucleotide Excision Repair","REACTOME_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-0.132,-5.63,2.99e-08,3.22e-07
"(Reactome) PPARA Activates Gene Expression","REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION","UP",0.0717,5.62,3.17e-08,3.38e-07
"(KEGG) Purine metabolism","KEGG_PURINE_METABOLISM","DOWN",-0.0987,-5.61,3.48e-08,3.67e-07
"(Reactome) Formation of RNA Pol II elongation complex ","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_","DOWN",-0.105,-5.59,3.84e-08,4.02e-07
"(Reactome) G1/S Transition","REACTOME_G1_S_TRANSITION","DOWN",-0.0884,-5.59,3.89e-08,4.04e-07
"(Reactome) Resolution of AP sites via the multiple-nucleotide patch replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY","DOWN",-0.181,-5.58,3.96e-08,4.07e-07
"(Reactome) Insulin Synthesis and Processing","REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING","DOWN",-0.181,-5.57,4.25e-08,4.34e-07
"(Reactome) Cell junction organization","REACTOME_CELL_JUNCTION_ORGANIZATION","UP",0.0793,5.56,4.42e-08,4.48e-07
"(KEGG) Glycerophospholipid metabolism","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","DOWN",-0.0942,-5.56,4.48e-08,4.49e-07
"(KEGG) Dorso-ventral axis formation","KEGG_DORSO_VENTRAL_AXIS_FORMATION","UP",0.133,5.55,4.6e-08,4.58e-07
"(Reactome) RNA Polymerase I Transcription Termination","REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION","DOWN",-0.133,-5.54,5.05e-08,4.98e-07
"(Reactome) mRNA Decay by 3' to 5' Exoribonuclease","REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE","DOWN",-0.235,-5.52,5.58e-08,5.42e-07
"(BioCarta) NFkB activation by Nontypeable Hemophilus influenzae","BIOCARTA_NTHI_PATHWAY","UP",0.193,5.52,5.59e-08,5.42e-07
"(Reactome) Base Excision Repair","REACTOME_BASE_EXCISION_REPAIR","DOWN",-0.181,-5.5,6.32e-08,6.08e-07
"(Reactome) Mitotic M-M/G1 phases","REACTOME_MITOTIC_M_M_G1_PHASES","DOWN",-0.0839,-5.49,6.53e-08,6.18e-07
"(Reactome) Vitamin B5 (pantothenate) metabolism","REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM","DOWN",-0.164,-5.49,6.53e-08,6.18e-07
"(Reactome) Base-free sugar-phosphate removal via the single-nucleotide replacement pathway","REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","DOWN",-0.215,-5.49,6.6e-08,6.2e-07
"(Reactome) Loss of Nlp from mitotic centrosomes","REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES","DOWN",-0.101,-5.48,6.96e-08,6.49e-07
"(Reactome) Ionotropic activity of Kainate Receptors","REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","DOWN",-0.276,-5.47,7.06e-08,6.53e-07
"(Reactome) TRAF6 mediated induction of TAK1 complex","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX","UP",0.187,5.46,7.49e-08,6.88e-07
"(PID) a6b1 and a6b4 Integrin signaling","PID_A6B1_A6B4_INTEGRIN_PATHWAY","UP",0.142,5.46,7.72e-08,7.03e-07
"(Reactome) Transport of Mature mRNA Derived from an Intronless Transcript","REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT","DOWN",-0.144,-5.45,7.94e-08,7.18e-07
"(Reactome) APC/C:Cdc20 mediated degradation of Cyclin B","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","DOWN",-0.126,-5.44,8.49e-08,7.6e-07
"(Reactome) Global Genomic NER (GG-NER)","REACTOME_GLOBAL_GENOMIC_NER_GG_NER","DOWN",-0.144,-5.44,8.53e-08,7.6e-07
"(Reactome) Pyrimidine metabolism","REACTOME_PYRIMIDINE_METABOLISM","DOWN",-0.126,-5.44,8.67e-08,7.66e-07
"(KEGG) Glyoxylate and dicarboxylate metabolism","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","DOWN",-0.141,-5.43,8.92e-08,7.82e-07
"(Reactome) HIV Infection","REACTOME_HIV_INFECTION","DOWN",-0.076,-5.42,9.37e-08,8.15e-07
"(Reactome) Antiviral mechanism by IFN-stimulated genes","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","DOWN",-0.0931,-5.41,9.67e-08,8.36e-07
"(Reactome) Post NMDA receptor activation events","REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS","DOWN",-0.178,-5.4,1.03e-07,8.82e-07
"(Reactome) Destabilization of mRNA by KSRP","REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP","DOWN",-0.177,-5.4,1.04e-07,8.82e-07
"(Reactome) Resolution of AP sites via the single-nucleotide replacement pathway","REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","DOWN",-0.21,-5.4,1.05e-07,8.85e-07
"(KEGG) Tyrosine metabolism","KEGG_TYROSINE_METABOLISM","DOWN",-0.115,-5.39,1.11e-07,9.29e-07
"(Reactome) Mitochondrial Protein Import","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","DOWN",-0.11,-5.39,1.13e-07,9.41e-07
"(KEGG) RNA polymerase","KEGG_RNA_POLYMERASE","DOWN",-0.14,-5.38,1.15e-07,9.49e-07
"(KEGG) Drug metabolism - other enzymes","KEGG_DRUG_METABOLISM_OTHER_ENZYMES","DOWN",-0.125,-5.37,1.2e-07,9.88e-07
"(Reactome) Regulation of Glucokinase by Glucokinase Regulatory Protein","REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","DOWN",-0.147,-5.37,1.23e-07,1.01e-06
"(KEGG) Renin-angiotensin system","KEGG_RENIN_ANGIOTENSIN_SYSTEM","DOWN",-0.124,-5.35,1.32e-07,1.07e-06
"(BioCarta) Apoptotic Signaling in Response to DNA Damage","BIOCARTA_CHEMICAL_PATHWAY","UP",0.101,5.35,1.36e-07,1.09e-06
"(Reactome) Notch-HLH transcription pathway","REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY","UP",0.177,5.35,1.38e-07,1.11e-06
"(Reactome) Synthesis of DNA","REACTOME_SYNTHESIS_OF_DNA","DOWN",-0.095,-5.34,1.42e-07,1.13e-06
"(PID) Validated transcriptional targets of AP1 family members Fra1 and Fra2","PID_FRA_PATHWAY","UP",0.207,5.32,1.55e-07,1.22e-06
"(Reactome) DSCAM interactions","REACTOME_DSCAM_INTERACTIONS","DOWN",-0.191,-5.32,1.55e-07,1.22e-06
"(BioCarta) Double Stranded RNA Induced Gene Expression","BIOCARTA_RNA_PATHWAY","UP",0.231,5.32,1.59e-07,1.23e-06
"(Reactome) Activation of NMDA receptor upon glutamate binding and postsynaptic events","REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS","DOWN",-0.193,-5.32,1.59e-07,1.23e-06
"(Reactome) CREB phosphorylation through the activation of CaMKII","REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII","DOWN",-0.193,-5.32,1.62e-07,1.24e-06
"(Reactome) Incretin Synthesis, Secretion, and Inactivation","REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION","DOWN",-0.168,-5.31,1.65e-07,1.25e-06
"(Reactome) Synthesis, Secretion, and Inactivation of Glucagon-like Peptide-1 (GLP-1)","REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1","DOWN",-0.168,-5.31,1.65e-07,1.25e-06
"(Reactome) Transcription","REACTOME_TRANSCRIPTION","DOWN",-0.0873,-5.3,1.72e-07,1.3e-06
"(Reactome) Transport of Mature Transcript to Cytoplasm","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","DOWN",-0.119,-5.3,1.8e-07,1.35e-06
"(Reactome) RNA Polymerase III Transcription","REACTOME_RNA_POL_III_TRANSCRIPTION","DOWN",-0.129,-5.29,1.82e-07,1.36e-06
"(Reactome) Formation of the HIV-1 Early Elongation Complex","REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX","DOWN",-0.109,-5.28,1.96e-07,1.45e-06
"(Reactome) Glycogen breakdown (glycogenolysis)","REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS","UP",0.185,5.27,2.01e-07,1.48e-06
"(PID) Alpha4 beta1 integrin signaling events","PID_INTEGRIN_A4B1_PATHWAY","UP",0.128,5.27,2.08e-07,1.52e-06
"(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development","BIOCARTA_IL12_PATHWAY","DOWN",-0.146,-5.26,2.13e-07,1.55e-06
"(BioCarta) IL 6 signaling pathway","BIOCARTA_IL6_PATHWAY","UP",0.189,5.25,2.28e-07,1.65e-06
"(Reactome) Deadenylation-dependent mRNA decay","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","DOWN",-0.108,-5.23,2.52e-07,1.81e-06
"(BioCarta) Phosphoinositides and their downstream targets.","BIOCARTA_PTDINS_PATHWAY","DOWN",-0.106,-5.22,2.6e-07,1.85e-06
"(Reactome) Glucose transport","REACTOME_GLUCOSE_TRANSPORT","DOWN",-0.112,-5.22,2.63e-07,1.87e-06
"(PID) Beta5 beta6 beta7 and beta8 integrin cell surface interactions","PID_INTEGRIN5_PATHWAY","UP",0.195,5.21,2.77e-07,1.95e-06
"(KEGG) Taste transduction","KEGG_TASTE_TRANSDUCTION","DOWN",-0.184,-5.21,2.84e-07,1.99e-06
"(Reactome) Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","DOWN",-0.141,-5.2,2.94e-07,2.03e-06
"(Reactome) Metabolism of non-coding RNA","REACTOME_METABOLISM_OF_NON_CODING_RNA","DOWN",-0.129,-5.2,2.95e-07,2.03e-06
