"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Processing of Capped Intron-Containing Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","DOWN",-3.27,-14.4,2.61e-08,1.21e-06
"(Reactome) mRNA 3'-end processing","REACTOME_MRNA_3_END_PROCESSING","DOWN",-3.21,-14,3.42e-08,1.36e-06
"(Reactome) Cleavage of Growing Transcript in the Termination Region ","REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_","DOWN",-3.21,-14,3.42e-08,1.36e-06
"(Reactome) DNA Repair","REACTOME_DNA_REPAIR","DOWN",-3.11,-13.9,3.79e-08,1.41e-06
"(PID) Glucocorticoid receptor regulatory network","PID_REG_GR_PATHWAY","DOWN",-2.98,-13.8,4.07e-08,1.42e-06
"(Reactome) Smooth Muscle Contraction","REACTOME_SMOOTH_MUSCLE_CONTRACTION","UP",3.95,13.6,4.77e-08,1.56e-06
"(Reactome) Nonsense Mediated Decay Enhanced by the Exon Junction Complex","REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX","DOWN",-4.3,-13.3,5.94e-08,1.84e-06
"(Reactome) Transcription","REACTOME_TRANSCRIPTION","DOWN",-2.91,-12.9,7.98e-08,2.34e-06
"(Reactome) RNA Polymerase II Transcription","REACTOME_RNA_POL_II_TRANSCRIPTION","DOWN",-2.81,-12.6,9.97e-08,2.78e-06
"(Reactome) Glucose transport","REACTOME_GLUCOSE_TRANSPORT","DOWN",-4.26,-12.4,1.22e-07,2.82e-06
"(Reactome) NEP/NS2 Interacts with the Cellular Export Machinery","REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY","DOWN",-4.26,-12.4,1.22e-07,2.82e-06
"(Reactome) Transport of Ribonucleoproteins into the Host Nucleus","REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS","DOWN",-4.26,-12.4,1.22e-07,2.82e-06
"(Reactome) Regulation of Glucokinase by Glucokinase Regulatory Protein","REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","DOWN",-4.26,-12.4,1.22e-07,2.82e-06
"(Reactome) mRNA Splicing","REACTOME_MRNA_SPLICING","DOWN",-3.03,-12.3,1.31e-07,2.83e-06
"(Reactome) Muscle contraction","REACTOME_MUSCLE_CONTRACTION","UP",3.99,12.3,1.32e-07,2.83e-06
"(Reactome) Metabolism of proteins","REACTOME_METABOLISM_OF_PROTEINS","DOWN",-3.02,-12.1,1.49e-07,3.08e-06
"(Reactome) Late Phase of HIV Life Cycle","REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE","DOWN",-2.97,-12,1.62e-07,3.23e-06
"(KEGG) Spliceosome","KEGG_SPLICEOSOME","DOWN",-2.74,-11.7,2.06e-07,3.96e-06
"(PID) Validated targets of C-MYC transcriptional activation","PID_MYC_ACTIV_PATHWAY","DOWN",-2.78,-11.7,2.21e-07,3.97e-06
"(KEGG) Neuroactive ligand-receptor interaction","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","UP",2.88,11.6,2.21e-07,3.97e-06
"(Reactome) Metabolism of non-coding RNA","REACTOME_METABOLISM_OF_NON_CODING_RNA","DOWN",-3.27,-11.5,2.47e-07,4.29e-06
"(Reactome) Mitochondrial Protein Import","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","DOWN",-4.24,-11.4,2.65e-07,4.47e-06
"(Reactome) Interactions of Vpr with host cellular proteins","REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","DOWN",-3.5,-11.3,2.9e-07,4.76e-06
"(KEGG) Glycolysis / Gluconeogenesis","KEGG_GLYCOLYSIS_GLUCONEOGENESIS","DOWN",-2.88,-11,4.07e-07,6.48e-06
"(Reactome) Interferon Signaling","REACTOME_INTERFERON_SIGNALING","DOWN",-2.85,-10.6,5.85e-07,9.05e-06
"(Reactome) Transmembrane transport of small molecules","REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES","DOWN",-2.65,-10.5,6.08e-07,9.16e-06
"(Reactome) M/G1 Transition","REACTOME_M_G1_TRANSITION","DOWN",-2.43,-10.5,6.38e-07,9.35e-06
"(PID) Retinoic acid receptors-mediated signaling","PID_RETINOIC_ACID_PATHWAY","DOWN",-2.39,-10.4,6.67e-07,9.43e-06
"(Reactome) Chromosome Maintenance","REACTOME_CHROMOSOME_MAINTENANCE","DOWN",-3.11,-10.4,6.77e-07,9.43e-06
"(Naba) Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors","NABA_MATRISOME_ASSOCIATED","UP",2.6,10.3,7.27e-07,9.8e-06
"(PID) a6b1 and a6b4 Integrin signaling","PID_A6B1_A6B4_INTEGRIN_PATHWAY","UP",2.84,10.3,7.42e-07,9.8e-06
"(Reactome) HIV Life Cycle","REACTOME_HIV_LIFE_CYCLE","DOWN",-2.48,-10.3,7.56e-07,9.8e-06
"(Reactome) 3' -UTR-mediated translational regulation","REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION","DOWN",-3.65,-10,9.61e-07,1.22e-05
"(BioCarta) CARM1 and Regulation of the Estrogen Receptor","BIOCARTA_CARM_ER_PATHWAY","DOWN",-3.32,-9.88,1.11e-06,1.37e-05
"(Reactome) Netrin-1 signaling","REACTOME_NETRIN1_SIGNALING","UP",2.52,9.82,1.17e-06,1.42e-05
"(BioCarta) Stathmin and breast cancer resistance to antimicrotubule agents","BIOCARTA_STATHMIN_PATHWAY","DOWN",-2.3,-9.79,1.21e-06,1.43e-05
"(BioCarta) CXCR4 Signaling Pathway","BIOCARTA_CXCR4_PATHWAY","UP",2.71,9.73,1.28e-06,1.49e-05
"(KEGG) VEGF signaling pathway","KEGG_VEGF_SIGNALING_PATHWAY","UP",2.95,9.69,1.34e-06,1.53e-05
"(BioCarta) Sonic Hedgehog (Shh) Pathway","BIOCARTA_SHH_PATHWAY","DOWN",-3.02,-9.52,1.58e-06,1.76e-05
"(PID) C-MYC pathway","PID_MYC_PATHWAY","DOWN",-3.02,-9.41,1.77e-06,1.94e-05
"(PID) FoxO family signaling","PID_FOXO_PATHWAY","UP",3.76,9.38,1.83e-06,1.96e-05
"(Reactome) SLC-mediated transmembrane transport","REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT","DOWN",-2.88,-9.24,2.11e-06,2.2e-05
"(STKE) Tumor Necrosis Factor Pathway.","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","UP",2.71,9.23,2.14e-06,2.2e-05
"(Reactome) Meiosis","REACTOME_MEIOSIS","DOWN",-3.22,-9.2,2.21e-06,2.2e-05
"(Reactome) Meiotic Synapsis","REACTOME_MEIOTIC_SYNAPSIS","DOWN",-3.22,-9.2,2.21e-06,2.2e-05
"(BioCarta) Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor","BIOCARTA_CSK_PATHWAY","DOWN",-2.16,-9.07,2.52e-06,2.38e-05
"(BioCarta) How Progesterone Initiates Oocyte Membrane","BIOCARTA_MPR_PATHWAY","DOWN",-2.16,-9.07,2.52e-06,2.38e-05
"(BioCarta) Phospholipase C-epsilon pathway","BIOCARTA_PLCE_PATHWAY","DOWN",-2.16,-9.07,2.52e-06,2.38e-05
"(Reactome) Apoptotic cleavage of cellular proteins","REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","UP",2.3,8.93,2.91e-06,2.7e-05
"(Reactome) Translation","REACTOME_TRANSLATION","DOWN",-2.98,-8.85,3.17e-06,2.89e-05
"(Reactome) Transport of inorganic cations/anions and amino acids/oligopeptides","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES","DOWN",-2.95,-8.83,3.23e-06,2.91e-05
"(BioCarta) Integrin Signaling Pathway","BIOCARTA_INTEGRIN_PATHWAY","UP",2.16,8.72,3.67e-06,3.24e-05
"(Reactome) RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING","DOWN",-3.39,-8.61,4.11e-06,3.58e-05
"(STKE) Wnt/beta-catenin Pathway","ST_WNT_BETA_CATENIN_PATHWAY","UP",3.02,8.42,5.06e-06,4.33e-05
"(Reactome) L1CAM interactions","REACTOME_L1CAM_INTERACTIONS","UP",2.96,8.38,5.33e-06,4.5e-05
"(PID) IL3-mediated signaling events","PID_IL3_PATHWAY","DOWN",-2.26,-8.26,6.08e-06,5.01e-05
"(Reactome) Orc1 removal from chromatin","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","DOWN",-1.95,-8.2,6.46e-06,5.01e-05
"(Reactome) Synthesis of DNA","REACTOME_SYNTHESIS_OF_DNA","DOWN",-1.95,-8.2,6.46e-06,5.01e-05
"(Reactome) Assembly of the pre-replicative complex","REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","DOWN",-1.95,-8.2,6.46e-06,5.01e-05
"(Naba) Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins ","NABA_MATRISOME","UP",2.24,8.2,6.47e-06,5.01e-05
"(KEGG) Vibrio cholerae infection","KEGG_VIBRIO_CHOLERAE_INFECTION","DOWN",-2.17,-8.2,6.48e-06,5.01e-05
"(Reactome) Downregulation of SMAD2/3:SMAD4 transcriptional activity","REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY","DOWN",-2.42,-8.12,7.13e-06,5.44e-05
"(KEGG) Cell adhesion molecules (CAMs)","KEGG_CELL_ADHESION_MOLECULES_CAMS","UP",4.05,8.07,7.48e-06,5.63e-05
"(Reactome) Amino acid and oligopeptide SLC transporters","REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS","DOWN",-3.19,-8.06,7.6e-06,5.64e-05
"(PID) E-cadherin signaling in the nascent adherens junction","PID_ECADHERIN_NASCENT_AJ_PATHWAY","UP",2.24,8.02,7.99e-06,5.82e-05
"(PID) Signaling mediated by p38-gamma and p38-delta","PID_P38_GAMMA_DELTA_PATHWAY","UP",2.46,8.01,8.05e-06,5.82e-05
"(PID) ATM pathway","PID_ATM_PATHWAY","DOWN",-2.94,-7.98,8.34e-06,5.95e-05
"(Reactome) Protein folding","REACTOME_PROTEIN_FOLDING","DOWN",-2.79,-7.96,8.58e-06,6.03e-05
"(PID) Trk receptor signaling mediated by PI3K and PLC-gamma","PID_PI3K_PLC_TRK_PATHWAY","UP",2.06,7.95,8.66e-06,6.03e-05
"(Reactome) Antiviral mechanism by IFN-stimulated genes","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","DOWN",-2.69,-7.87,9.47e-06,6.51e-05
"(BioCarta) uCalpain and friends in Cell spread","BIOCARTA_UCALPAIN_PATHWAY","UP",3.42,7.83,9.94e-06,6.75e-05
"(PID) TGF-beta receptor signaling","PID_TGFBR_PATHWAY","UP",2.39,7.8,1.03e-05,6.91e-05
"(BioCarta) Cell to Cell Adhesion Signaling","BIOCARTA_CELL2CELL_PATHWAY","UP",3.37,7.74,1.11e-05,7.33e-05
"(PID) p75(NTR)-mediated signaling","PID_P75_NTR_PATHWAY","UP",2.31,7.63,1.26e-05,8.25e-05
"(STKE) Fas Signaling Pathway","ST_FAS_SIGNALING_PATHWAY","UP",2.63,7.52,1.44e-05,9.25e-05
"(Reactome) Host Interactions of HIV factors","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","DOWN",-1.7,-7.51,1.45e-05,9.25e-05
"(Reactome) S Phase","REACTOME_S_PHASE","DOWN",-1.92,-7.5,1.47e-05,9.29e-05
"(Reactome) DARPP-32 events","REACTOME_DARPP_32_EVENTS","DOWN",-2,-7.43,1.6e-05,1e-04
"(Reactome) Cell Cycle Checkpoints","REACTOME_CELL_CYCLE_CHECKPOINTS","DOWN",-1.88,-7.41,1.63e-05,0.000101
"(KEGG) Cytokine-cytokine receptor interaction","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","UP",2.48,7.39,1.67e-05,0.000101
"(PID) Netrin-mediated signaling events","PID_NETRIN_PATHWAY","UP",1.9,7.39,1.68e-05,0.000101
"(BioCarta) Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation","BIOCARTA_IGF1R_PATHWAY","DOWN",-1.83,-7.38,1.69e-05,0.000101
"(Reactome) Cell-cell junction organization","REACTOME_CELL_CELL_JUNCTION_ORGANIZATION","UP",3.24,7.38,1.71e-05,0.000101
"(BioCarta) Neuropeptides VIP and PACAP inhibit the apoptosis of activated T cells","BIOCARTA_VIP_PATHWAY","DOWN",-1.7,-7.35,1.76e-05,0.000103
"(BioCarta) Transcription Regulation by Methyltransferase of CARM1","BIOCARTA_CARM1_PATHWAY","DOWN",-2.12,-7.34,1.8e-05,0.000104
"(BioCarta) Links between Pyk2 and Map Kinases","BIOCARTA_PYK2_PATHWAY","UP",2.09,7.32,1.83e-05,0.000105
"(KEGG) Dilated cardiomyopathy","KEGG_DILATED_CARDIOMYOPATHY","DOWN",-1.76,-7.3,1.87e-05,0.000106
"(Naba) Genes encoding proteins affiliated structurally or functionally to extracellular matrix proteins","NABA_ECM_AFFILIATED","UP",2.72,7.26,1.97e-05,0.000111
"(Reactome) Fatty acid, triacylglycerol, and ketone body metabolism","REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM","DOWN",-2.34,-7.21,2.11e-05,0.000117
"(Reactome) Mitotic M-M/G1 phases","REACTOME_MITOTIC_M_M_G1_PHASES","DOWN",-1.91,-7.2,2.14e-05,0.000117
"(Reactome) DNA Replication","REACTOME_DNA_REPLICATION","DOWN",-1.91,-7.2,2.14e-05,0.000117
"(Reactome) HIV Infection","REACTOME_HIV_INFECTION","DOWN",-1.61,-7.18,2.17e-05,0.000117
"(PID) p38 MAPK signaling pathway","PID_P38_MKK3_6PATHWAY","UP",3.05,7.18,2.18e-05,0.000117
"(PID) Hedgehog signaling events mediated by Gli proteins","PID_HEDGEHOG_GLI_PATHWAY","DOWN",-2.56,-7.16,2.22e-05,0.000117
"(Reactome) Aquaporin-mediated transport","REACTOME_AQUAPORIN_MEDIATED_TRANSPORT","DOWN",-1.83,-7.15,2.26e-05,0.000117
"(Reactome) Regulation of Water Balance by Renal Aquaporins","REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS","DOWN",-1.83,-7.15,2.26e-05,0.000117
"(PID) Insulin-mediated glucose transport","PID_INSULIN_GLUCOSE_PATHWAY","UP",2.01,7.14,2.28e-05,0.000118
"(PID) Syndecan-2-mediated signaling events","PID_SYNDECAN_2_PATHWAY","UP",2.6,7.08,2.46e-05,0.000126
"(Reactome) Glycerophospholipid biosynthesis","REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","DOWN",-2.57,-7.01,2.69e-05,0.000136
"(BioCarta) Signaling of Hepatocyte Growth Factor Receptor","BIOCARTA_MET_PATHWAY","UP",1.8,6.97,2.83e-05,0.000142
"(PID) Insulin Pathway","PID_INSULIN_PATHWAY","UP",2.21,6.96,2.87e-05,0.000143
"(BioCarta) Apoptotic Signaling in Response to DNA Damage","BIOCARTA_CHEMICAL_PATHWAY","UP",3.12,6.95,2.92e-05,0.000144
"(Reactome) PKB-mediated events","REACTOME_PKB_MEDIATED_EVENTS","UP",2.14,6.86,3.27e-05,0.00016
"(PID) Notch-mediated HES/HEY network","PID_HES_HEY_PATHWAY","DOWN",-2.46,-6.84,3.36e-05,0.000163
"(PID) EPHB forward signaling","PID_EPHB_FWD_PATHWAY","UP",1.7,6.78,3.6e-05,0.000173
"(PID) Stabilization and expansion of the E-cadherin adherens junction","PID_ECADHERIN_STABILIZATION_PATHWAY","UP",2.16,6.74,3.8e-05,0.000181
"(Reactome) Axon guidance","REACTOME_AXON_GUIDANCE","UP",1.8,6.71,3.97e-05,0.000188
"(KEGG) Endocytosis","KEGG_ENDOCYTOSIS","UP",1.51,6.69,4.05e-05,0.00019
"(Reactome) Cell-Cell communication","REACTOME_CELL_CELL_COMMUNICATION","UP",2.03,6.62,4.44e-05,0.000206
"(Reactome) Generic Transcription Pathway","REACTOME_GENERIC_TRANSCRIPTION_PATHWAY","DOWN",-2.63,-6.6,4.58e-05,0.000211
"(PID) Signaling events mediated by HDAC Class I","PID_HDAC_CLASSI_PATHWAY","DOWN",-1.58,-6.59,4.61e-05,0.000211
"(Reactome) Formation of the ternary complex, and subsequently, the 43S complex","REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX","DOWN",-3.21,-6.55,4.89e-05,0.000221
"(PID) mTOR signaling pathway","PID_MTOR_4PATHWAY","UP",1.55,6.46,5.53e-05,0.000248
"(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","ST_GRANULE_CELL_SURVIVAL_PATHWAY","UP",1.56,6.39,6.09e-05,0.000272
"(Reactome) Developmental Biology","REACTOME_DEVELOPMENTAL_BIOLOGY","UP",1.57,6.35,6.39e-05,0.000282
"(PID) Arf1 pathway","PID_ARF_3PATHWAY","UP",2.62,6.32,6.63e-05,0.000291
"(Reactome) Transport of Mature mRNA Derived from an Intronless Transcript","REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT","DOWN",-2.74,-6.3,6.8e-05,0.000295
"(KEGG) Tight junction","KEGG_TIGHT_JUNCTION","UP",1.92,6.3,6.82e-05,0.000295
"(KEGG) Peroxisome","KEGG_PEROXISOME","DOWN",-2.64,-6.28,7.04e-05,0.000301
"(Reactome) Regulation of Insulin Secretion by Glucagon-like Peptide-1","REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1","DOWN",-1.83,-6.25,7.27e-05,0.000307
"(Reactome) Mitotic G1-G1/S phases","REACTOME_MITOTIC_G1_G1_S_PHASES","DOWN",-1.77,-6.25,7.28e-05,0.000307
"(Reactome) Insulin receptor signalling cascade","REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE","UP",1.62,6.23,7.48e-05,0.000311
"(Reactome) Signaling by Insulin receptor","REACTOME_SIGNALING_BY_INSULIN_RECEPTOR","UP",1.62,6.23,7.48e-05,0.000311
"(Reactome) Gluconeogenesis","REACTOME_GLUCONEOGENESIS","DOWN",-2.56,-6.15,8.45e-05,0.000349
"(PID) LKB1 signaling events","PID_LKB1_PATHWAY","UP",1.88,6.14,8.56e-05,0.00035
"(Reactome) Rap1 signalling","REACTOME_RAP1_SIGNALLING","UP",2.37,6.12,8.74e-05,0.000355
"(PID) Signaling events regulated by Ret tyrosine kinase","PID_RET_PATHWAY","UP",1.68,6.03,9.86e-05,0.000398
"(Reactome) Glucagon signaling in metabolic regulation","REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION","DOWN",-1.48,-6.01,0.000103,0.000408
"(Reactome) PI3K Cascade","REACTOME_PI3K_CASCADE","UP",1.7,6,0.000103,0.000408
"(PID) p38 signaling mediated by MAPKAP kinases","PID_P38_MK2_PATHWAY","UP",2.15,6,0.000103,0.000408
"(KEGG) Axon guidance","KEGG_AXON_GUIDANCE","UP",1.58,5.97,0.000108,0.000423
"(PID) Aurora A signaling","PID_AURORA_A_PATHWAY","DOWN",-2.16,-5.96,0.000109,0.000423
"(Reactome) Activation of NMDA receptor upon glutamate binding and postsynaptic events","REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS","DOWN",-2.3,-5.94,0.000112,0.000433
"(KEGG) Adipocytokine signaling pathway","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY","UP",1.55,5.93,0.000113,0.000435
"(Reactome) Cell junction organization","REACTOME_CELL_JUNCTION_ORGANIZATION","UP",1.91,5.9,0.00012,0.000457
"(STKE) JNK MAPK Pathway","ST_JNK_MAPK_PATHWAY","UP",2.06,5.88,0.000122,0.000462
"(KEGG) Natural killer cell mediated cytotoxicity","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","UP",1.67,5.85,0.000127,0.000479
"(BioCarta) Transcription factor CREB and its extracellular signals","BIOCARTA_CREB_PATHWAY","DOWN",-1.54,-5.84,0.00013,0.000487
"(PID) LPA receptor mediated events","PID_LYSOPHOSPHOLIPID_PATHWAY","UP",1.48,5.79,0.000138,0.000514
"(Reactome) Metabolism of lipids and lipoproteins","REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS","DOWN",-1.44,-5.75,0.000146,0.00054
"(KEGG) SNARE interactions in vesicular transport","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","UP",1.55,5.74,0.000149,0.000547
"(Reactome) Antigen processing-Cross presentation","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION","DOWN",-1.52,-5.73,0.000152,0.00055
"(Reactome) ER-Phagosome pathway","REACTOME_ER_PHAGOSOME_PATHWAY","DOWN",-1.52,-5.73,0.000152,0.00055
"(BioCarta) Endocytotic role of NDK, Phosphins and Dynamin","BIOCARTA_NDKDYNAMIN_PATHWAY","UP",2.72,5.71,0.000155,0.000559
"(PID) TCR signaling in na&#xef;ve CD4+ T cells","PID_TCR_PATHWAY","UP",1.4,5.63,0.000175,0.000625
"(Reactome) Cell Cycle","REACTOME_CELL_CYCLE","DOWN",-1.24,-5.63,0.000176,0.000625
"(Reactome) PKA-mediated phosphorylation of CREB","REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB","DOWN",-1.3,-5.59,0.000186,0.000657
"(KEGG) Nucleotide excision repair","KEGG_NUCLEOTIDE_EXCISION_REPAIR","DOWN",-1.83,-5.55,0.000196,0.000688
"(PID) p53 pathway","PID_P53_REGULATION_PATHWAY","DOWN",-1.46,-5.53,0.000203,0.000702
"(PID) ErbB2/ErbB3 signaling events","PID_ERBB2_ERBB3_PATHWAY","UP",1.51,5.53,0.000203,0.000702
"(Reactome) Signaling by SCF-KIT","REACTOME_SIGNALING_BY_SCF_KIT","UP",1.36,5.48,0.000218,0.000749
"(KEGG) Cell cycle","KEGG_CELL_CYCLE","DOWN",-1.57,-5.46,0.000226,0.000771
"(PID) Signaling events mediated by VEGFR1 and VEGFR2","PID_VEGFR1_2_PATHWAY","UP",1.83,5.43,0.000234,0.000795
"(PID) Arf6 trafficking events","PID_ARF6_TRAFFICKING_PATHWAY","UP",3.38,5.42,0.000239,0.000808
"(PID) Role of Calcineurin-dependent NFAT signaling in lymphocytes","PID_NFAT_3PATHWAY","UP",1.75,5.41,0.000241,0.000809
"(Reactome) G1/S Transition","REACTOME_G1_S_TRANSITION","DOWN",-1.56,-5.38,0.000253,0.000843
"(KEGG) Huntington's disease","KEGG_HUNTINGTONS_DISEASE","DOWN",-1.48,-5.32,0.000277,0.000918
"(BioCarta) NFAT and Hypertrophy of the heart (Transcription in the broken heart)","BIOCARTA_NFAT_PATHWAY","DOWN",-1.59,-5.27,0.000299,0.000985
"(PID) IGF1 pathway","PID_IGF1_PATHWAY","UP",1.64,5.21,0.000327,0.00107
"(Reactome) Signaling by Hippo","REACTOME_SIGNALING_BY_HIPPO","UP",2.38,5.2,0.000331,0.00108
"(Reactome) Apoptosis","REACTOME_APOPTOSIS","UP",1.23,5.19,0.000338,0.00109
"(KEGG) Vasopressin-regulated water reabsorption","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","DOWN",-1.21,-5.17,0.000344,0.0011
"(BioCarta) Cystic Fibrosis Transmembrane Conductance Regulator And Beta 2 Adrenergic Receptor Pathway","BIOCARTA_CFTR_PATHWAY","DOWN",-1.36,-5.17,0.000345,0.0011
"(Signaling Gateway) Genes related to the insulin receptor pathway","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","UP",1.67,5.17,0.000346,0.0011
"(PID) Coregulation of Androgen receptor activity","PID_AR_PATHWAY","DOWN",-1.18,-5.16,0.000349,0.0011
"(Reactome) Apoptotic execution  phase","REACTOME_APOPTOTIC_EXECUTION_PHASE","UP",1.39,5.13,0.000366,0.00115
"(BioCarta) Downregulated of MTA-3 in ER-negative Breast Tumors","BIOCARTA_MTA3_PATHWAY","DOWN",-1.63,-5.13,0.000367,0.00115
"(Reactome) Sema4D induced cell migration and growth-cone collapse","REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE","UP",2.02,5.13,0.000369,0.00115
"(KEGG) Fc gamma R-mediated phagocytosis","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","UP",1.74,5.11,0.00038,0.00117
"(PID) Signaling events mediated by Stem cell factor receptor (c-Kit)","PID_KIT_PATHWAY","UP",1.47,5.11,0.000381,0.00117
"(Reactome) Beta-catenin phosphorylation cascade","REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE","UP",2.14,5.07,0.000404,0.00124
"(Reactome) PI3K events in ERBB2 signaling","REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING","UP",1.69,5.06,0.00041,0.00125
"(PID) Class I PI3K signaling events mediated by Akt","PID_PI3KCI_AKT_PATHWAY","UP",1.38,4.95,0.000483,0.00146
"(Reactome) PI-3K cascade","REACTOME_PI_3K_CASCADE","UP",1.51,4.94,0.000489,0.00147
