"","X","Direction","logFC.x","P.Value.x","adj.P.Val.x","assay.x","path_dir.x","logFC.y","P.Value.y","adj.P.Val.y","assay.y","path_dir.y","display_name"
"20","BIOCARTA: IL12 PATHWAY","DOWN",-0.146002444148552,2.13338309774755e-07,1.54964759983626e-06,"Mayo","DOWN: BIOCARTA_IL12_PATHWAY",-0.183693508612845,1.0376002160404e-05,0.00014626412683943,"MSBB","DOWN: BIOCARTA_IL12_PATHWAY","(BioCarta) IL12 and Stat4 Dependent Signaling Pathway in Th1 Development"
"21","BIOCARTA: IL3 PATHWAY","UP",0.113066027111015,0.00090360336117677,0.00231002827164532,"Mayo","UP: BIOCARTA_IL3_PATHWAY",0.131403118917266,0.00137295907268586,0.00483844010554958,"MSBB","UP: BIOCARTA_IL3_PATHWAY","(BioCarta) IL 3 signaling pathway"
"22","BIOCARTA: IL6 PATHWAY","UP",0.188846066761305,2.28431069995502e-07,1.64916089557728e-06,"Mayo","UP: BIOCARTA_IL6_PATHWAY",0.148961839471581,0.001979625269132,0.00650607181147315,"MSBB","UP: BIOCARTA_IL6_PATHWAY","(BioCarta) IL 6 signaling pathway"
"23","BIOCARTA: INTEGRIN PATHWAY","UP",0.103964944370737,1.148811328939e-10,3.95857957536087e-09,"Mayo","UP: BIOCARTA_INTEGRIN_PATHWAY",0.11273887563659,2.90603562311502e-06,7.39143843270559e-05,"MSBB","UP: BIOCARTA_INTEGRIN_PATHWAY","(BioCarta) Integrin Signaling Pathway"
"24","BIOCARTA: MCALPAIN PATHWAY","UP",0.173286143716808,1.17018821906782e-10,3.95857957536087e-09,"Mayo","UP: BIOCARTA_MCALPAIN_PATHWAY",0.131862641012543,1.32455174337339e-06,4.84289231170897e-05,"MSBB","UP: BIOCARTA_MCALPAIN_PATHWAY","(BioCarta) mCalpain and friends in Cell motility"
"25","BIOCARTA: MCM PATHWAY","DOWN",-0.19227520624476,8.1269471591659e-12,5.34572524247357e-10,"Mayo","DOWN: BIOCARTA_MCM_PATHWAY",-0.119860121447589,0.000467409817485641,0.00207147532749318,"MSBB","DOWN: BIOCARTA_MCM_PATHWAY","(BioCarta) CDK Regulation of DNA Replication"
"26","BIOCARTA: MEF2D PATHWAY","UP",0.0705023743930333,5.83132006650449e-06,2.79525625859972e-05,"Mayo","UP: BIOCARTA_MEF2D_PATHWAY",0.0589351697438651,8.93049835970476e-05,0.000589360603640696,"MSBB","UP: BIOCARTA_MEF2D_PATHWAY","(BioCarta) Role of MEF2D in T-cell Apoptosis"
"27","BIOCARTA: MET PATHWAY","UP",0.106932270832958,1.37934063283833e-11,7.42336049672991e-10,"Mayo","UP: BIOCARTA_MET_PATHWAY",0.0689299355362428,0.00037393046715352,0.00172243561641582,"MSBB","UP: BIOCARTA_MET_PATHWAY","(BioCarta) Signaling of Hepatocyte Growth Factor Receptor"
"28","BIOCARTA: MTOR PATHWAY","DOWN",-0.0717766720832471,1.60491461878527e-05,6.76234487061125e-05,"Mayo","DOWN: BIOCARTA_MTOR_PATHWAY",-0.0779568768253345,0.000170661293355918,0.000945007534989456,"MSBB","DOWN: BIOCARTA_MTOR_PATHWAY","(BioCarta) mTOR Signaling Pathway"
"29","BIOCARTA: NDKDYNAMIN PATHWAY","DOWN",-0.0879663995510143,0.00172768176706332,0.0041576731955345,"Mayo","DOWN: BIOCARTA_NDKDYNAMIN_PATHWAY",-0.091090472947235,0.000557174888993766,0.00235870683719123,"MSBB","DOWN: BIOCARTA_NDKDYNAMIN_PATHWAY","(BioCarta) Endocytotic role of NDK, Phosphins and Dynamin"
"30","BIOCARTA: NFKB PATHWAY","UP",0.207396850241096,4.36739581784003e-09,7.2830938708769e-08,"Mayo","UP: BIOCARTA_NFKB_PATHWAY",0.133613799442871,0.00262301426680879,0.00805492570122386,"MSBB","UP: BIOCARTA_NFKB_PATHWAY","(BioCarta) NF-kB Signaling Pathway"
"31","BIOCARTA: NTHI PATHWAY","UP",0.193170678667891,5.58973242521317e-08,5.42478950119049e-07,"Mayo","UP: BIOCARTA_NTHI_PATHWAY",0.169296065602511,0.000108986605911725,0.000681894807041272,"MSBB","UP: BIOCARTA_NTHI_PATHWAY","(BioCarta) NFkB activation by Nontypeable Hemophilus influenzae"
"32","BIOCARTA: P27 PATHWAY","DOWN",-0.065794503492564,0.000191582643836251,0.000583120437794658,"Mayo","DOWN: BIOCARTA_P27_PATHWAY",-0.10802878582543,7.7183273779421e-06,0.000125955411640433,"MSBB","DOWN: BIOCARTA_P27_PATHWAY","(BioCarta) Regulation of p27 Phosphorylation during Cell Cycle Progression"
"33","BIOCARTA: PML PATHWAY","UP",0.151078095004848,1.05292438058395e-05,4.65172562168433e-05,"Mayo","UP: BIOCARTA_PML_PATHWAY",0.157010705227766,0.00118920169673843,0.00434801870369988,"MSBB","UP: BIOCARTA_PML_PATHWAY","(BioCarta) Regulation of transcriptional activity by PML"
"34","BIOCARTA: PTDINS PATHWAY","DOWN",-0.105529505713854,2.60060099381497e-07,1.85488649197405e-06,"Mayo","DOWN: BIOCARTA_PTDINS_PATHWAY",-0.129835858267314,2.80263189407438e-07,2.76714424114059e-05,"MSBB","DOWN: BIOCARTA_PTDINS_PATHWAY","(BioCarta) Phosphoinositides and their downstream targets."
"35","BIOCARTA: RAC1 PATHWAY","DOWN",-0.0915740772472418,3.37194652915638e-05,0.000127552226534222,"Mayo","DOWN: BIOCARTA_RAC1_PATHWAY",-0.0925637330463746,9.79868918145484e-06,0.000143305829278777,"MSBB","DOWN: BIOCARTA_RAC1_PATHWAY","(BioCarta) Rac 1 cell motility signaling pathway"
"36","BIOCARTA: RANMS PATHWAY","DOWN",-0.0707500657535243,0.00351173264084762,0.00790473659080529,"Mayo","DOWN: BIOCARTA_RANMS_PATHWAY",-0.144457842898002,8.36743531918072e-08,1.95797986468829e-05,"MSBB","DOWN: BIOCARTA_RANMS_PATHWAY","(BioCarta) Role of Ran in mitotic spindle regulation"
"37","BIOCARTA: RAS PATHWAY","UP",0.109472202675777,1.371851309114e-05,5.92799981748533e-05,"Mayo","UP: BIOCARTA_RAS_PATHWAY",0.0798625276394671,0.00205224503488694,0.00670819629972973,"MSBB","UP: BIOCARTA_RAS_PATHWAY","(BioCarta) Ras Signaling Pathway"
"38","BIOCARTA: SKP2E2F PATHWAY","DOWN",-0.114727205743707,1.69281664402483e-08,2.06628340878907e-07,"Mayo","DOWN: BIOCARTA_SKP2E2F_PATHWAY",-0.0945334369096808,0.000555488668304877,0.00235870683719123,"MSBB","DOWN: BIOCARTA_SKP2E2F_PATHWAY","(BioCarta) E2F1 Destruction Pathway"
"39","BIOCARTA: STATHMIN PATHWAY","DOWN",-0.125807495503411,0.000718079908130957,0.00189355592700903,"Mayo","DOWN: BIOCARTA_STATHMIN_PATHWAY",-0.134859483319036,0.000839422213542704,0.0032806660476861,"MSBB","DOWN: BIOCARTA_STATHMIN_PATHWAY","(BioCarta) Stathmin and breast cancer resistance to antimicrotubule agents"
"40","BIOCARTA: TCR PATHWAY","UP",0.0811697913718933,5.743527942712e-06,2.7643646683622e-05,"Mayo","UP: BIOCARTA_TCR_PATHWAY",0.0784669541883561,0.000222959107966937,0.00113895677016903,"MSBB","UP: BIOCARTA_TCR_PATHWAY","(BioCarta) T Cell Receptor Signaling Pathway"
"41","BIOCARTA: TGFB PATHWAY","UP",0.191522996915592,2.73622420154141e-10,7.71354632053578e-09,"Mayo","UP: BIOCARTA_TGFB_PATHWAY",0.185246361476445,4.85521282971154e-07,2.77638968372469e-05,"MSBB","UP: BIOCARTA_TGFB_PATHWAY","(BioCarta) TGF beta signaling pathway"
"42","BIOCARTA: TOB1 PATHWAY","UP",0.419223259508526,8.64381142025706e-14,1.46203896022634e-11,"Mayo","UP: BIOCARTA_TOB1_PATHWAY",0.42199948567956,5.93043716517532e-06,0.000118723938636033,"MSBB","UP: BIOCARTA_TOB1_PATHWAY","(BioCarta) Role of Tob in T-cell activation"
"43","BIOCARTA: TOLL PATHWAY","UP",0.135518311833221,9.20495203851818e-07,5.36879961261356e-06,"Mayo","UP: BIOCARTA_TOLL_PATHWAY",0.0936815583107325,0.00318312234614394,0.00957391553981596,"MSBB","UP: BIOCARTA_TOLL_PATHWAY","(BioCarta) Toll-Like Receptor Pathway"
"44","BIOCARTA: TPO PATHWAY","UP",0.109281491078025,9.98302827589873e-05,0.000329245277957217,"Mayo","UP: BIOCARTA_TPO_PATHWAY",0.121282572165593,0.000106307455128317,0.00067232282432503,"MSBB","UP: BIOCARTA_TPO_PATHWAY","(BioCarta) TPO Signaling Pathway"
"45","BIOCARTA: UCALPAIN PATHWAY","UP",0.073017589688576,0.000275984042445069,0.000804840163189561,"Mayo","UP: BIOCARTA_UCALPAIN_PATHWAY",0.0821151126660189,4.99861055255962e-05,0.000389891623099651,"MSBB","UP: BIOCARTA_UCALPAIN_PATHWAY","(BioCarta) uCalpain and friends in Cell spread"
"46","BIOCARTA: VDR PATHWAY","UP",0.114700209204201,0.000406311752165656,0.00113998368380127,"Mayo","UP: BIOCARTA_VDR_PATHWAY",0.205427132637891,2.76976599395001e-06,7.24285203811356e-05,"MSBB","UP: BIOCARTA_VDR_PATHWAY","(BioCarta) Control of Gene Expression by Vitamin D Receptor"
"47","KEGG: ADHERENS JUNCTION","UP",0.0750354376128366,4.21692699523208e-07,2.77380086797488e-06,"Mayo","UP: KEGG_ADHERENS_JUNCTION",0.082006590783698,3.81751413971717e-05,0.000323611186413074,"MSBB","UP: KEGG_ADHERENS_JUNCTION","(KEGG) Adherens junction"
"48","KEGG: ALANINE ASPARTATE AND GLUTAMATE METABOLISM","DOWN",-0.167828433369464,3.11652624458803e-09,5.59085920241247e-08,"Mayo","DOWN: KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.115650086552832,0.000509006838837305,0.00221389591613251,"MSBB","DOWN: KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","(KEGG) Alanine, aspartate and glutamate metabolism"
"49","KEGG: AMINOACYL TRNA BIOSYNTHESIS","DOWN",-0.0815121097774212,0.00375843138714044,0.00830220664622068,"Mayo","DOWN: KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",-0.116463431930928,2.75163205830886e-05,0.000279948652888814,"MSBB","DOWN: KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","(KEGG) Aminoacyl-tRNA biosynthesis"
"50","KEGG: BASAL TRANSCRIPTION FACTORS","DOWN",-0.127868154118929,3.75448972702194e-12,3.17522559770998e-10,"Mayo","DOWN: KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.113726760936131,5.98693365771449e-06,0.000118723938636033,"MSBB","DOWN: KEGG_BASAL_TRANSCRIPTION_FACTORS","(KEGG) Basal transcription factors"
"51","KEGG: BASE EXCISION REPAIR","DOWN",-0.102228986587885,2.34383285252478e-05,9.31240972278301e-05,"Mayo","DOWN: KEGG_BASE_EXCISION_REPAIR",-0.0841641586666688,0.000179644911772139,0.000971871277434034,"MSBB","DOWN: KEGG_BASE_EXCISION_REPAIR","(KEGG) Base excision repair"
"52","KEGG: CARDIAC MUSCLE CONTRACTION","DOWN",-0.116194219502391,1.72145365394052e-05,7.17676452910412e-05,"Mayo","DOWN: KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.169069504446586,2.1178263220575e-06,6.52067578107178e-05,"MSBB","DOWN: KEGG_CARDIAC_MUSCLE_CONTRACTION","(KEGG) Cardiac muscle contraction"
"53","KEGG: CELL ADHESION MOLECULES CAMS","UP",0.0955126462746283,0.000167769050379292,0.000521361038449034,"Mayo","UP: KEGG_CELL_ADHESION_MOLECULES_CAMS",0.114507212750567,0.000956505438594228,0.00364531388649917,"MSBB","UP: KEGG_CELL_ADHESION_MOLECULES_CAMS","(KEGG) Cell adhesion molecules (CAMs)"
"54","KEGG: CHRONIC MYELOID LEUKEMIA","UP",0.0809963451172144,1.79616695984392e-05,7.43588000159163e-05,"Mayo","UP: KEGG_CHRONIC_MYELOID_LEUKEMIA",0.074023901036095,0.000822002572041671,0.00323819195046719,"MSBB","UP: KEGG_CHRONIC_MYELOID_LEUKEMIA","(KEGG) Chronic myeloid leukemia"
"55","KEGG: CYTOKINE CYTOKINE RECEPTOR INTERACTION","UP",0.137101772902559,7.91235195460931e-09,1.15657095237746e-07,"Mayo","UP: KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.0982638147235924,0.000138772947599366,0.000820021963087163,"MSBB","UP: KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","(KEGG) Cytokine-cytokine receptor interaction"
"56","KEGG: DNA REPLICATION","DOWN",-0.132304974602151,3.80903921710997e-06,1.9029124190119e-05,"Mayo","DOWN: KEGG_DNA_REPLICATION",-0.0841719007390753,0.00265604871805896,0.00811377806822187,"MSBB","DOWN: KEGG_DNA_REPLICATION","(KEGG) DNA replication"
"57","KEGG: DORSO VENTRAL AXIS FORMATION","UP",0.133337130150527,4.60310969165003e-08,4.57990073522154e-07,"Mayo","UP: KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.0960035193036251,0.000770426488450042,0.00304526686313023,"MSBB","UP: KEGG_DORSO_VENTRAL_AXIS_FORMATION","(KEGG) Dorso-ventral axis formation"
"58","KEGG: DRUG METABOLISM OTHER ENZYMES","DOWN",-0.124578920662524,1.20199900057097e-07,9.88310289358351e-07,"Mayo","DOWN: KEGG_DRUG_METABOLISM_OTHER_ENZYMES",-0.0985978020736604,0.000360311219145624,0.00167594046904673,"MSBB","DOWN: KEGG_DRUG_METABOLISM_OTHER_ENZYMES","(KEGG) Drug metabolism - other enzymes"
"59","KEGG: ECM RECEPTOR INTERACTION","UP",0.133308737996443,5.16660396189682e-09,8.26656633903492e-08,"Mayo","UP: KEGG_ECM_RECEPTOR_INTERACTION",0.167795362556752,5.68448920865958e-05,0.000428629003626804,"MSBB","UP: KEGG_ECM_RECEPTOR_INTERACTION","(KEGG) ECM-receptor interaction"
"60","KEGG: FC EPSILON RI SIGNALING PATHWAY","DOWN",-0.0560932153796297,0.000473028764084011,0.00129047478496652,"Mayo","DOWN: KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",-0.0573965237125018,0.00305135836532244,0.00920126105007024,"MSBB","DOWN: KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","(KEGG) Fc epsilon RI signaling pathway"
"61","KEGG: FOCAL ADHESION","UP",0.0734353731489819,6.19502161015183e-10,1.52535179373643e-08,"Mayo","UP: KEGG_FOCAL_ADHESION",0.0679375602382,0.000499907203603946,0.00219060460006223,"MSBB","UP: KEGG_FOCAL_ADHESION","(KEGG) Focal adhesion"
"62","KEGG: FRUCTOSE AND MANNOSE METABOLISM","DOWN",-0.0657145460081762,0.000266438315814675,0.00077892090351747,"Mayo","DOWN: KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",-0.0763230779869368,0.000576354240470418,0.00240833736196567,"MSBB","DOWN: KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","(KEGG) Fructose and mannose metabolism"
"63","KEGG: GLYCEROLIPID METABOLISM","DOWN",-0.0913167071469035,1.40330832602914e-05,6.04188021097637e-05,"Mayo","DOWN: KEGG_GLYCEROLIPID_METABOLISM",-0.105449348143183,1.96061743574189e-06,6.1997902697784e-05,"MSBB","DOWN: KEGG_GLYCEROLIPID_METABOLISM","(KEGG) Glycerolipid metabolism"
"64","KEGG: GLYCEROPHOSPHOLIPID METABOLISM","DOWN",-0.0942396654990663,4.47577008578314e-08,4.49094218776885e-07,"Mayo","DOWN: KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",-0.0656143334887249,0.00228450332629516,0.00726323068414495,"MSBB","DOWN: KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","(KEGG) Glycerophospholipid metabolism"
"65","KEGG: GLYCOSAMINOGLYCAN BIOSYNTHESIS HEPARAN SULFATE","DOWN",-0.145857007130906,0.000101382947043581,0.000333437248054445,"Mayo","DOWN: KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",-0.152977923447305,0.00225626993289675,0.00719301313757275,"MSBB","DOWN: KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate"
"66","KEGG: GLYCOSPHINGOLIPID BIOSYNTHESIS GANGLIO SERIES","DOWN",-0.109186670556374,0.00178246733345704,0.00427214842674723,"Mayo","DOWN: KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",-0.180976783196557,0.000140827178553453,0.000827978888982614,"MSBB","DOWN: KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","(KEGG) Glycosphingolipid biosynthesis - ganglio series"
"67","KEGG: GLYOXYLATE AND DICARBOXYLATE METABOLISM","DOWN",-0.140664570728993,8.92011845036035e-08,7.82327425572345e-07,"Mayo","DOWN: KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",-0.0949820033518623,0.000160326748859631,0.00089923089348312,"MSBB","DOWN: KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","(KEGG) Glyoxylate and dicarboxylate metabolism"
"68","KEGG: HUNTINGTONS DISEASE","DOWN",-0.0545891179410769,0.000111037609029131,0.000360839459847287,"Mayo","DOWN: KEGG_HUNTINGTONS_DISEASE",-0.116909001769328,5.46408827479292e-07,2.77638968372469e-05,"MSBB","DOWN: KEGG_HUNTINGTONS_DISEASE","(KEGG) Huntington's disease"
"69","KEGG: LEUKOCYTE TRANSENDOTHELIAL MIGRATION","UP",0.0911028380058261,7.84973351377196e-07,4.69398206076061e-06,"Mayo","UP: KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.0965458843585762,0.000245833621953531,0.00122308675676031,"MSBB","UP: KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","(KEGG) Leukocyte transendothelial migration"
"70","KEGG: NEUROACTIVE LIGAND RECEPTOR INTERACTION","DOWN",-0.145815306486504,5.48428721054031e-05,0.000197367661315493,"Mayo","DOWN: KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",-0.156358460798607,0.000652076720592018,0.00265477714972495,"MSBB","DOWN: KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","(KEGG) Neuroactive ligand-receptor interaction"
"71","KEGG: NITROGEN METABOLISM","DOWN",-0.11720556952888,3.48907582798086e-05,0.000130729929757258,"Mayo","DOWN: KEGG_NITROGEN_METABOLISM",-0.145901424013313,1.39088553999285e-05,0.000182846750763104,"MSBB","DOWN: KEGG_NITROGEN_METABOLISM","(KEGG) Nitrogen metabolism"
"72","KEGG: PANTOTHENATE AND COA BIOSYNTHESIS","DOWN",-0.157594651574296,1.57682262207338e-11,8.11720862841253e-10,"Mayo","DOWN: KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",-0.102346570405845,0.000426161927888195,0.00192513303331733,"MSBB","DOWN: KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","(KEGG) Pantothenate and CoA biosynthesis"
"73","KEGG: PATHWAYS IN CANCER","UP",0.0308444588298045,0.000421927372258811,0.00118099765662986,"Mayo","UP: KEGG_PATHWAYS_IN_CANCER",0.0296936137879216,0.0017947745075194,0.00601199079456168,"MSBB","UP: KEGG_PATHWAYS_IN_CANCER","(KEGG) Pathways in cancer"
"74","KEGG: PROGESTERONE MEDIATED OOCYTE MATURATION","DOWN",-0.0686094075328441,5.16405874889359e-05,0.000186979986504282,"Mayo","DOWN: KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",-0.0811813040695172,0.000148407226891926,0.000858651834610922,"MSBB","DOWN: KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","(KEGG) Progesterone-mediated oocyte maturation"
"75","KEGG: PROSTATE CANCER","UP",0.0591455914583497,2.76008397621249e-05,0.000107145555011003,"Mayo","UP: KEGG_PROSTATE_CANCER",0.0571975861239551,0.000179421737789885,0.000971871277434034,"MSBB","UP: KEGG_PROSTATE_CANCER","(KEGG) Prostate cancer"
"76","KEGG: PURINE METABOLISM","DOWN",-0.0987194881156165,3.47622036410315e-08,3.67486152776619e-07,"Mayo","DOWN: KEGG_PURINE_METABOLISM",-0.0911571594302106,7.6681139455644e-05,0.00054046345278978,"MSBB","DOWN: KEGG_PURINE_METABOLISM","(KEGG) Purine metabolism"
"77","KEGG: PYRIMIDINE METABOLISM","DOWN",-0.11499319100154,9.89898461803449e-09,1.39528545092296e-07,"Mayo","DOWN: KEGG_PYRIMIDINE_METABOLISM",-0.103752849739643,1.22196459234541e-05,0.000165940294224246,"MSBB","DOWN: KEGG_PYRIMIDINE_METABOLISM","(KEGG) Pyrimidine metabolism"
"78","KEGG: REGULATION OF ACTIN CYTOSKELETON","UP",0.0646048261461534,7.72388838312157e-10,1.82901676912319e-08,"Mayo","UP: KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0627090035161619,5.10347976227093e-07,2.77638968372469e-05,"MSBB","UP: KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","(KEGG) Regulation of actin cytoskeleton"
