"STANDARD_NAME","CONTRIBUTOR","DESCRIPTION_BRIEF","display_name"
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","KEGG","Glycerophospholipid metabolism","(KEGG) Glycerophospholipid metabolism"
"KEGG_ETHER_LIPID_METABOLISM","KEGG","Ether lipid metabolism","(KEGG) Ether lipid metabolism"
"KEGG_ARACHIDONIC_ACID_METABOLISM","KEGG","Arachidonic acid metabolism","(KEGG) Arachidonic acid metabolism"
"KEGG_LINOLEIC_ACID_METABOLISM","KEGG","Linoleic acid metabolism","(KEGG) Linoleic acid metabolism"
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM","KEGG","alpha-Linolenic acid metabolism","(KEGG) alpha-Linolenic acid metabolism"
"KEGG_SPHINGOLIPID_METABOLISM","KEGG","Sphingolipid metabolism","(KEGG) Sphingolipid metabolism"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","KEGG","Glycosphingolipid biosynthesis - lacto and neolacto series","(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES","KEGG","Glycosphingolipid biosynthesis - globo series","(KEGG) Glycosphingolipid biosynthesis - globo series"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES","KEGG","Glycosphingolipid biosynthesis - ganglio series","(KEGG) Glycosphingolipid biosynthesis - ganglio series"
"KEGG_PYRUVATE_METABOLISM","KEGG","Pyruvate metabolism","(KEGG) Pyruvate metabolism"
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","KEGG","Glyoxylate and dicarboxylate metabolism","(KEGG) Glyoxylate and dicarboxylate metabolism"
"KEGG_PROPANOATE_METABOLISM","KEGG","Propanoate metabolism","(KEGG) Propanoate metabolism"
"KEGG_BUTANOATE_METABOLISM","KEGG","Butanoate metabolism","(KEGG) Butanoate metabolism"
"KEGG_ONE_CARBON_POOL_BY_FOLATE","KEGG","One carbon pool by folate","(KEGG) One carbon pool by folate"
"KEGG_RIBOFLAVIN_METABOLISM","KEGG","Riboflavin metabolism","(KEGG) Riboflavin metabolism"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","KEGG","Nicotinate and nicotinamide metabolism","(KEGG) Nicotinate and nicotinamide metabolism"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS","KEGG","Pantothenate and CoA biosynthesis","(KEGG) Pantothenate and CoA biosynthesis"
"KEGG_FOLATE_BIOSYNTHESIS","KEGG","Folate biosynthesis","(KEGG) Folate biosynthesis"
"KEGG_RETINOL_METABOLISM","KEGG","Retinol metabolism","(KEGG) Retinol metabolism"
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM","KEGG","Porphyrin and chlorophyll metabolism","(KEGG) Porphyrin and chlorophyll metabolism"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","KEGG","Terpenoid backbone biosynthesis","(KEGG) Terpenoid backbone biosynthesis"
"KEGG_LIMONENE_AND_PINENE_DEGRADATION","KEGG","Limonene and pinene degradation","(KEGG) Limonene and pinene degradation"
"KEGG_NITROGEN_METABOLISM","KEGG","Nitrogen metabolism","(KEGG) Nitrogen metabolism"
"KEGG_SULFUR_METABOLISM","KEGG","Sulfur metabolism","(KEGG) Sulfur metabolism"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","KEGG","Aminoacyl-tRNA biosynthesis","(KEGG) Aminoacyl-tRNA biosynthesis"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","KEGG","Metabolism of xenobiotics by cytochrome P450","(KEGG) Metabolism of xenobiotics by cytochrome P450"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","KEGG","Drug metabolism - cytochrome P450","(KEGG) Drug metabolism - cytochrome P450"
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES","KEGG","Drug metabolism - other enzymes","(KEGG) Drug metabolism - other enzymes"
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS","KEGG","Biosynthesis of unsaturated fatty acids","(KEGG) Biosynthesis of unsaturated fatty acids"
"KEGG_ABC_TRANSPORTERS","KEGG","ABC transporters","(KEGG) ABC transporters"
"KEGG_RIBOSOME","KEGG","Ribosome","(KEGG) Ribosome"
"KEGG_RNA_DEGRADATION","KEGG","RNA degradation","(KEGG) RNA degradation"
"KEGG_RNA_POLYMERASE","KEGG","RNA polymerase","(KEGG) RNA polymerase"
"KEGG_BASAL_TRANSCRIPTION_FACTORS","KEGG","Basal transcription factors","(KEGG) Basal transcription factors"
"KEGG_DNA_REPLICATION","KEGG","DNA replication","(KEGG) DNA replication"
"KEGG_SPLICEOSOME","KEGG","Spliceosome","(KEGG) Spliceosome"
"KEGG_PROTEASOME","KEGG","Proteasome","(KEGG) Proteasome"
"KEGG_PROTEIN_EXPORT","KEGG","Protein export","(KEGG) Protein export"
"KEGG_PPAR_SIGNALING_PATHWAY","KEGG","PPAR signaling pathway","(KEGG) PPAR signaling pathway"
"KEGG_BASE_EXCISION_REPAIR","KEGG","Base excision repair","(KEGG) Base excision repair"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR","KEGG","Nucleotide excision repair","(KEGG) Nucleotide excision repair"
"KEGG_MISMATCH_REPAIR","KEGG","Mismatch repair","(KEGG) Mismatch repair"
"KEGG_HOMOLOGOUS_RECOMBINATION","KEGG","Homologous recombination","(KEGG) Homologous recombination"
"KEGG_NON_HOMOLOGOUS_END_JOINING","KEGG","Non-homologous end-joining","(KEGG) Non-homologous end-joining"
"KEGG_MAPK_SIGNALING_PATHWAY","KEGG","MAPK signaling pathway","(KEGG) MAPK signaling pathway"
"KEGG_ERBB_SIGNALING_PATHWAY","KEGG","ErbB signaling pathway","(KEGG) ErbB signaling pathway"
"KEGG_CALCIUM_SIGNALING_PATHWAY","KEGG","Calcium signaling pathway","(KEGG) Calcium signaling pathway"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG","Cytokine-cytokine receptor interaction","(KEGG) Cytokine-cytokine receptor interaction"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","KEGG","Chemokine signaling pathway","(KEGG) Chemokine signaling pathway"
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM","KEGG","Phosphatidylinositol signaling system","(KEGG) Phosphatidylinositol signaling system"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG","Neuroactive ligand-receptor interaction","(KEGG) Neuroactive ligand-receptor interaction"
"KEGG_CELL_CYCLE","KEGG","Cell cycle","(KEGG) Cell cycle"
"KEGG_OOCYTE_MEIOSIS","KEGG","Oocyte meiosis","(KEGG) Oocyte meiosis"
"KEGG_P53_SIGNALING_PATHWAY","KEGG","p53 signaling pathway","(KEGG) p53 signaling pathway"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","KEGG","Ubiquitin mediated proteolysis","(KEGG) Ubiquitin mediated proteolysis"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","KEGG","SNARE interactions in vesicular transport","(KEGG) SNARE interactions in vesicular transport"
"KEGG_REGULATION_OF_AUTOPHAGY","KEGG","Regulation of autophagy","(KEGG) Regulation of autophagy"
"KEGG_LYSOSOME","KEGG","Lysosome","(KEGG) Lysosome"
"KEGG_ENDOCYTOSIS","KEGG","Endocytosis","(KEGG) Endocytosis"
"KEGG_PEROXISOME","KEGG","Peroxisome","(KEGG) Peroxisome"
"KEGG_MTOR_SIGNALING_PATHWAY","KEGG","mTOR signaling pathway","(KEGG) mTOR signaling pathway"
"KEGG_APOPTOSIS","KEGG","Apoptosis","(KEGG) Apoptosis"
"KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG","Cardiac muscle contraction","(KEGG) Cardiac muscle contraction"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION","KEGG","Vascular smooth muscle contraction","(KEGG) Vascular smooth muscle contraction"
"KEGG_WNT_SIGNALING_PATHWAY","KEGG","Wnt signaling pathway","(KEGG) Wnt signaling pathway"
"KEGG_DORSO_VENTRAL_AXIS_FORMATION","KEGG","Dorso-ventral axis formation","(KEGG) Dorso-ventral axis formation"
"KEGG_NOTCH_SIGNALING_PATHWAY","KEGG","Notch signaling pathway","(KEGG) Notch signaling pathway"
"KEGG_HEDGEHOG_SIGNALING_PATHWAY","KEGG","Hedgehog signaling pathway","(KEGG) Hedgehog signaling pathway"
"KEGG_TGF_BETA_SIGNALING_PATHWAY","KEGG","TGF-beta signaling pathway","(KEGG) TGF-beta signaling pathway"
"KEGG_AXON_GUIDANCE","KEGG","Axon guidance","(KEGG) Axon guidance"
"KEGG_VEGF_SIGNALING_PATHWAY","KEGG","VEGF signaling pathway","(KEGG) VEGF signaling pathway"
"KEGG_FOCAL_ADHESION","KEGG","Focal adhesion","(KEGG) Focal adhesion"
"KEGG_ECM_RECEPTOR_INTERACTION","KEGG","ECM-receptor interaction","(KEGG) ECM-receptor interaction"
"KEGG_CELL_ADHESION_MOLECULES_CAMS","KEGG","Cell adhesion molecules (CAMs)","(KEGG) Cell adhesion molecules (CAMs)"
"KEGG_ADHERENS_JUNCTION","KEGG","Adherens junction","(KEGG) Adherens junction"
"KEGG_TIGHT_JUNCTION","KEGG","Tight junction","(KEGG) Tight junction"
"KEGG_GAP_JUNCTION","KEGG","Gap junction","(KEGG) Gap junction"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","KEGG","Complement and coagulation cascades","(KEGG) Complement and coagulation cascades"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG","Antigen processing and presentation","(KEGG) Antigen processing and presentation"
"KEGG_RENIN_ANGIOTENSIN_SYSTEM","KEGG","Renin-angiotensin system","(KEGG) Renin-angiotensin system"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG","Toll-like receptor signaling pathway","(KEGG) Toll-like receptor signaling pathway"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG","NOD-like receptor signaling pathway","(KEGG) NOD-like receptor signaling pathway"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG","RIG-I-like receptor signaling pathway","(KEGG) RIG-I-like receptor signaling pathway"
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY","KEGG","Cytosolic DNA-sensing pathway","(KEGG) Cytosolic DNA-sensing pathway"
"KEGG_JAK_STAT_SIGNALING_PATHWAY","KEGG","Jak-STAT signaling pathway","(KEGG) Jak-STAT signaling pathway"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE","KEGG","Hematopoietic cell lineage","(KEGG) Hematopoietic cell lineage"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","KEGG","Natural killer cell mediated cytotoxicity","(KEGG) Natural killer cell mediated cytotoxicity"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY","KEGG","T cell receptor signaling pathway","(KEGG) T cell receptor signaling pathway"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","KEGG","B cell receptor signaling pathway","(KEGG) B cell receptor signaling pathway"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","KEGG","Fc epsilon RI signaling pathway","(KEGG) Fc epsilon RI signaling pathway"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG","Fc gamma R-mediated phagocytosis","(KEGG) Fc gamma R-mediated phagocytosis"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","KEGG","Leukocyte transendothelial migration","(KEGG) Leukocyte transendothelial migration"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG","Intestinal immune network for IgA production","(KEGG) Intestinal immune network for IgA production"
"KEGG_CIRCADIAN_RHYTHM_MAMMAL","KEGG","Circadian rhythm - mammal","(KEGG) Circadian rhythm - mammal"
"KEGG_LONG_TERM_POTENTIATION","KEGG","Long-term potentiation","(KEGG) Long-term potentiation"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","KEGG","Neurotrophin signaling pathway","(KEGG) Neurotrophin signaling pathway"
"KEGG_LONG_TERM_DEPRESSION","KEGG","Long-term depression","(KEGG) Long-term depression"
"KEGG_OLFACTORY_TRANSDUCTION","KEGG","Olfactory transduction","(KEGG) Olfactory transduction"
"KEGG_TASTE_TRANSDUCTION","KEGG","Taste transduction","(KEGG) Taste transduction"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG","Regulation of actin cytoskeleton","(KEGG) Regulation of actin cytoskeleton"
"KEGG_INSULIN_SIGNALING_PATHWAY","KEGG","Insulin signaling pathway","(KEGG) Insulin signaling pathway"
"KEGG_GNRH_SIGNALING_PATHWAY","KEGG","GnRH signaling pathway","(KEGG) GnRH signaling pathway"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","KEGG","Progesterone-mediated oocyte maturation","(KEGG) Progesterone-mediated oocyte maturation"
"KEGG_MELANOGENESIS","KEGG","Melanogenesis","(KEGG) Melanogenesis"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY","KEGG","Adipocytokine signaling pathway","(KEGG) Adipocytokine signaling pathway"
"KEGG_TYPE_II_DIABETES_MELLITUS","KEGG","Type II diabetes mellitus","(KEGG) Type II diabetes mellitus"
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG","Type I diabetes mellitus","(KEGG) Type I diabetes mellitus"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG","KEGG","Maturity onset diabetes of the young","(KEGG) Maturity onset diabetes of the young"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","KEGG","Aldosterone-regulated sodium reabsorption","(KEGG) Aldosterone-regulated sodium reabsorption"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","KEGG","Vasopressin-regulated water reabsorption","(KEGG) Vasopressin-regulated water reabsorption"
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION","KEGG","Proximal tubule bicarbonate reclamation","(KEGG) Proximal tubule bicarbonate reclamation"
"KEGG_ALZHEIMERS_DISEASE","KEGG","Alzheimer's disease","(KEGG) Alzheimer's disease"
"KEGG_PARKINSONS_DISEASE","KEGG","Parkinson's disease","(KEGG) Parkinson's disease"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","KEGG","Amyotrophic lateral sclerosis (ALS)","(KEGG) Amyotrophic lateral sclerosis (ALS)"
"KEGG_HUNTINGTONS_DISEASE","KEGG","Huntington's disease","(KEGG) Huntington's disease"
"KEGG_PRION_DISEASES","KEGG","Prion diseases","(KEGG) Prion diseases"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG","Vibrio cholerae infection","(KEGG) Vibrio cholerae infection"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","KEGG","Epithelial cell signaling in Helicobacter pylori infection","(KEGG) Epithelial cell signaling in Helicobacter pylori infection"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG","Pathogenic Escherichia coli infection","(KEGG) Pathogenic Escherichia coli infection"
"KEGG_LEISHMANIA_INFECTION","KEGG","Leishmania infection","(KEGG) Leishmania infection"
"KEGG_PATHWAYS_IN_CANCER","KEGG","Pathways in cancer","(KEGG) Pathways in cancer"
"KEGG_COLORECTAL_CANCER","KEGG","Colorectal cancer","(KEGG) Colorectal cancer"
"KEGG_RENAL_CELL_CARCINOMA","KEGG","Renal cell carcinoma","(KEGG) Renal cell carcinoma"
"KEGG_PANCREATIC_CANCER","KEGG","Pancreatic cancer","(KEGG) Pancreatic cancer"
"KEGG_ENDOMETRIAL_CANCER","KEGG","Endometrial cancer","(KEGG) Endometrial cancer"
"KEGG_GLIOMA","KEGG","Glioma","(KEGG) Glioma"
"KEGG_PROSTATE_CANCER","KEGG","Prostate cancer","(KEGG) Prostate cancer"
"KEGG_THYROID_CANCER","KEGG","Thyroid cancer","(KEGG) Thyroid cancer"
"KEGG_BASAL_CELL_CARCINOMA","KEGG","Basal cell carcinoma","(KEGG) Basal cell carcinoma"
"KEGG_MELANOMA","KEGG","Melanoma","(KEGG) Melanoma"
"KEGG_BLADDER_CANCER","KEGG","Bladder cancer","(KEGG) Bladder cancer"
"KEGG_CHRONIC_MYELOID_LEUKEMIA","KEGG","Chronic myeloid leukemia","(KEGG) Chronic myeloid leukemia"
"KEGG_ACUTE_MYELOID_LEUKEMIA","KEGG","Acute myeloid leukemia","(KEGG) Acute myeloid leukemia"
"KEGG_SMALL_CELL_LUNG_CANCER","KEGG","Small cell lung cancer","(KEGG) Small cell lung cancer"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","KEGG","Non-small cell lung cancer","(KEGG) Non-small cell lung cancer"
"KEGG_ASTHMA","KEGG","Asthma","(KEGG) Asthma"
"KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG","Autoimmune thyroid disease","(KEGG) Autoimmune thyroid disease"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG","Systemic lupus erythematosus","(KEGG) Systemic lupus erythematosus"
"KEGG_ALLOGRAFT_REJECTION","KEGG","Allograft rejection","(KEGG) Allograft rejection"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG","Graft-versus-host disease","(KEGG) Graft-versus-host disease"
"KEGG_PRIMARY_IMMUNODEFICIENCY","KEGG","Primary immunodeficiency","(KEGG) Primary immunodeficiency"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","KEGG","Hypertrophic cardiomyopathy (HCM)","(KEGG) Hypertrophic cardiomyopathy (HCM)"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","KEGG","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","(KEGG) Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
"KEGG_DILATED_CARDIOMYOPATHY","KEGG","Dilated cardiomyopathy","(KEGG) Dilated cardiomyopathy"
"KEGG_VIRAL_MYOCARDITIS","KEGG","Viral myocarditis","(KEGG) Viral myocarditis"
"BIOCARTA_RELA_PATHWAY","BioCarta","Acetylation and Deacetylation of RelA in The Nucleus","(BioCarta) Acetylation and Deacetylation of RelA in The Nucleus"
"BIOCARTA_NO1_PATHWAY","BioCarta","Actions of Nitric Oxide in the Heart","(BioCarta) Actions of Nitric Oxide in the Heart"
"BIOCARTA_CSK_PATHWAY","BioCarta","Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor","(BioCarta) Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor"
"BIOCARTA_SRCRPTP_PATHWAY","BioCarta","Activation of Src by Protein-tyrosine phosphatase alpha","(BioCarta) Activation of Src by Protein-tyrosine phosphatase alpha"
"BIOCARTA_AMI_PATHWAY","BioCarta","Acute Myocardial Infarction","(BioCarta) Acute Myocardial Infarction"
"BIOCARTA_GRANULOCYTES_PATHWAY","BioCarta","Adhesion and Diapedesis of Granulocytes","(BioCarta) Adhesion and Diapedesis of Granulocytes"
"BIOCARTA_LYM_PATHWAY","BioCarta","Adhesion and Diapedesis of Lymphocytes","(BioCarta) Adhesion and Diapedesis of Lymphocytes"
"BIOCARTA_ARAP_PATHWAY","BioCarta","ADP-Ribosylation Factor","(BioCarta) ADP-Ribosylation Factor"
"BIOCARTA_AGR_PATHWAY","BioCarta","Agrin in Postsynaptic Differentiation","(BioCarta) Agrin in Postsynaptic Differentiation"
"BIOCARTA_AKAP95_PATHWAY","BioCarta","AKAP95 role in mitosis and chromosome dynamics","(BioCarta) AKAP95 role in mitosis and chromosome dynamics"
"BIOCARTA_AKT_PATHWAY","BioCarta","AKT Signaling Pathway","(BioCarta) AKT Signaling Pathway"
"BIOCARTA_ALK_PATHWAY","BioCarta","ALK in cardiac myocytes","(BioCarta) ALK in cardiac myocytes"
"BIOCARTA_AT1R_PATHWAY","BioCarta","Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling","(BioCarta) Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling"
"BIOCARTA_ACE2_PATHWAY","BioCarta","Angiotensin-converting enzyme 2 regulates heart function","(BioCarta) Angiotensin-converting enzyme 2 regulates heart function"
"BIOCARTA_ASBCELL_PATHWAY","BioCarta","Antigen Dependent B Cell Activation","(BioCarta) Antigen Dependent B Cell Activation"
"BIOCARTA_DNAFRAGMENT_PATHWAY","BioCarta","Apoptotic DNA fragmentation and tissue homeostasis","(BioCarta) Apoptotic DNA fragmentation and tissue homeostasis"
"BIOCARTA_CHEMICAL_PATHWAY","BioCarta","Apoptotic Signaling in Response to DNA Damage","(BioCarta) Apoptotic Signaling in Response to DNA Damage"
"BIOCARTA_SPPA_PATHWAY","BioCarta","Aspirin Blocks Signaling Pathway Involved in Platelet Activation","(BioCarta) Aspirin Blocks Signaling Pathway Involved in Platelet Activation"
"BIOCARTA_ATM_PATHWAY","BioCarta","ATM Signaling Pathway","(BioCarta) ATM Signaling Pathway"
"BIOCARTA_AGPCR_PATHWAY","BioCarta","Attenuation of GPCR Signaling","(BioCarta) Attenuation of GPCR Signaling"
"BIOCARTA_BCELLSURVIVAL_PATHWAY","BioCarta","B Cell Survival Pathway","(BioCarta) B Cell Survival Pathway"
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BioCarta","B Lymphocyte Cell Surface Molecules","(BioCarta) B Lymphocyte Cell Surface Molecules"
"BIOCARTA_BCR_PATHWAY","BioCarta","BCR Signaling Pathway","(BioCarta) BCR Signaling Pathway"
