Gene.ID	ensembl_gene_id	position	hgnc_symbol	percentage_gc_content	gene.length
ENSG00000236423.5	ENSG00000236423	5	LINC01134	56.6	4064
ENSG00000233304.6	ENSG00000233304	6	LINC01346	51.5	3894
ENSG00000226374.2	ENSG00000226374	2		55.3	1852
ENSG00000229280.1	ENSG00000229280	1	EEF1DP6	56.99	372
ENSG00000235054.3	ENSG00000235054	3		43.57	2104
ENSG00000227169.2	ENSG00000227169	2		46.47	356
ENSG00000232596.2	ENSG00000232596	2		44.37	1994
ENSG00000196581.10	ENSG00000196581	10	AJAP1	52.37	12405
ENSG00000277731.1	ENSG00000277731	1	NA	NA	NA
ENSG00000231510.1	ENSG00000231510	1		41	449
ENSG00000260972.1	ENSG00000260972	1		51.62	1697
ENSG00000264341.1	ENSG00000264341	1	MIR4417	63.01	73
ENSG00000236948.1	ENSG00000236948	1		46.87	1095
ENSG00000216045.2	ENSG00000216045	2	NA	NA	NA
ENSG00000264101.1	ENSG00000264101	1	MIR4689	62.86	70
ENSG00000131697.17	ENSG00000131697	17	NPHP4	49.94	13167
ENSG00000266687.1	ENSG00000266687	1	NA	NA	NA
ENSG00000069424.14	ENSG00000069424	14	KCNAB2	56.05	9534
ENSG00000116254.17	ENSG00000116254	17	CHD5	56.7	9890
ENSG00000116251.9	ENSG00000116251	9	RPL22	50.61	4900
ENSG00000226944.1	ENSG00000226944	1		58.13	378
ENSG00000158286.12	ENSG00000158286	12	RNF207	57.32	6585
ENSG00000116237.15	ENSG00000116237	15	ICMT	49.59	4910
ENSG00000225077.2	ENSG00000225077	2	LINC00337	53.88	1685
ENSG00000173673.7	ENSG00000173673	7	HES3	65.97	697
ENSG00000158292.6	ENSG00000158292	6	GPR153	60.31	4082
ENSG00000097021.19	ENSG00000097021	19	ACOT7	54	4124
ENSG00000271746.1	ENSG00000271746	1		63.2	837
ENSG00000069812.11	ENSG00000069812	11	HES2	57.51	5407
ENSG00000187017.14	ENSG00000187017	14	ESPN	60.14	6943
ENSG00000265392.1	ENSG00000265392	1	MIR4252	65.08	63
ENSG00000231868.1	ENSG00000231868	1		60.86	351
ENSG00000215788.9	ENSG00000215788	9	TNFRSF25	59.7	3918
ENSG00000171680.20	ENSG00000171680	20	PLEKHG5	58.85	6920
ENSG00000162408.10	ENSG00000162408	10	NOL9	47.78	7293
ENSG00000253022.1	ENSG00000253022	1	RNU6-731P	37.84	111
ENSG00000229519.2	ENSG00000229519	2		48.39	401
ENSG00000173662.19	ENSG00000173662	19	TAS1R1	52.51	2892
ENSG00000204859.11	ENSG00000204859	11	ZBTB48	57.78	4503
ENSG00000162413.16	ENSG00000162413	16	KLHL21	54.46	6901
ENSG00000116273.5	ENSG00000116273	5	PHF13	54.99	3681
ENSG00000041988.15	ENSG00000041988	15	THAP3	56.77	4072
ENSG00000007923.15	ENSG00000007923	15	DNAJC11	46.6	5083
ENSG00000228750.6	ENSG00000228750	6		48.21	2188
ENSG00000237436.1	ENSG00000237436	1		59.77	415
ENSG00000171735.18	ENSG00000171735	18	CAMTA1	48	10033
ENSG00000227950.1	ENSG00000227950	1		51.05	286
ENSG00000237365.1	ENSG00000237365	1		55.27	349
ENSG00000207056.1	ENSG00000207056	1	RNU1-8P	52.12	165
ENSG00000280801.1	ENSG00000280801	1	NA	NA	NA
ENSG00000237402.1	ENSG00000237402	1	CAMTA1-IT1	52.45	365
ENSG00000237728.2	ENSG00000237728	2		53.05	744
ENSG00000225126.1	ENSG00000225126	1		48.15	361
ENSG00000270171.1	ENSG00000270171	1		47.94	1721
ENSG00000270035.1	ENSG00000270035	1		55.26	570
ENSG00000269978.1	ENSG00000269978	1		38.2	267
ENSG00000049245.12	ENSG00000049245	12	VAMP3	42.77	2760
ENSG00000269925.1	ENSG00000269925	1		36.64	393
ENSG00000049246.14	ENSG00000049246	14	PER3	40.53	8099
ENSG00000236266.1	ENSG00000236266	1		39.14	830
ENSG00000049247.13	ENSG00000049247	13	UTS2	40.81	1791
ENSG00000049249.8	ENSG00000049249	8	TNFRSF9	43.95	6331
ENSG00000270330.1	ENSG00000270330	1		68.45	355
ENSG00000116288.12	ENSG00000116288	12	PARK7	45.41	2397
ENSG00000200344.1	ENSG00000200344	1		42.72	103
ENSG00000116285.12	ENSG00000116285	12	ERRFI1	42.8	4186
ENSG00000238290.1	ENSG00000238290	1		43.05	2044
ENSG00000232848.1	ENSG00000232848	1		51.52	800
ENSG00000229305.1	ENSG00000229305	1		47.44	1075
ENSG00000227634.2	ENSG00000227634	2		49.45	950
ENSG00000200975.1	ENSG00000200975	1	RNU1-7P	55.49	164
ENSG00000233645.1	ENSG00000233645	1		47.39	477
ENSG00000251977.1	ENSG00000251977	1	RNU6-991P	46.73	107
ENSG00000162426.14	ENSG00000162426	14	SLC45A1	52.36	2888
ENSG00000252254.1	ENSG00000252254	1		50.44	113
ENSG00000142599.17	ENSG00000142599	17	RERE	41.9	11503
ENSG00000232912.5	ENSG00000232912	5		45	702
ENSG00000221083.1	ENSG00000221083	1		55.2	125
ENSG00000270282.1	ENSG00000270282	1		53.66	369
ENSG00000280851.1	ENSG00000280851	1	NA	NA	NA
ENSG00000234619.1	ENSG00000234619	1	RPL7P11	41.49	658
ENSG00000224315.2	ENSG00000224315	2	RPL7P7	41.96	703
ENSG00000222511.2	ENSG00000222511	2		33.98	103
ENSG00000226545.1	ENSG00000226545	1		50.29	415
ENSG00000228423.2	ENSG00000228423	2		44.71	353
ENSG00000229716.2	ENSG00000229716	2	RPL23AP19	47.15	369
ENSG00000074800.13	ENSG00000074800	13	ENO1	50.23	3958
ENSG00000280816.1	ENSG00000280816	1	NA	NA	NA
ENSG00000274258.1	ENSG00000274258	1	MIR6728	60.67	89
ENSG00000236269.1	ENSG00000236269	1	ENO1-IT1	48.92	744
ENSG00000230679.1	ENSG00000230679	1	ENO1-AS1	59.53	456
ENSG00000201725.1	ENSG00000201725	1	RNU6-304P	42.99	107
ENSG00000238249.2	ENSG00000238249	2	HMGN2P17	48.05	743
ENSG00000232208.2	ENSG00000232208	2		41.76	352
ENSG00000232663.2	ENSG00000232663	2		46.01	163
ENSG00000131686.14	ENSG00000131686	14	CA6	48.06	2662
ENSG00000265141.2	ENSG00000265141	2	RN7SL451P	54.85	299
ENSG00000197241.3	ENSG00000197241	3	SLC2A7	52.44	1539
ENSG00000142583.17	ENSG00000142583	17	SLC2A5	47.92	6693
ENSG00000252404.1	ENSG00000252404	1		47.83	184
ENSG00000281506.1	ENSG00000281506	1	NA	NA	NA
ENSG00000180758.11	ENSG00000180758	11	GPR157	50.06	5372
ENSG00000228526.4	ENSG00000228526	4	MIR34A	50.8	4571
ENSG00000207865.1	ENSG00000207865	1	NA	NA	NA
ENSG00000234546.3	ENSG00000234546	3		51.64	1662
ENSG00000281937.1	ENSG00000281937	1		59.13	1764
ENSG00000049239.12	ENSG00000049239	12	H6PD	52.29	9321
ENSG00000171621.13	ENSG00000171621	13	SPSB1	54.29	3403
ENSG00000252956.1	ENSG00000252956	1	RNA5SP40	53.64	110
ENSG00000235263.1	ENSG00000235263	1		46.09	708
ENSG00000171612.6	ENSG00000171612	6	SLC25A33	45.5	3854
ENSG00000231181.1	ENSG00000231181	1		44.54	559
ENSG00000188807.12	ENSG00000188807	12	TMEM201	59.34	6966
ENSG00000171608.15	ENSG00000171608	15	PIK3CD	51.33	6332
ENSG00000179840.5	ENSG00000179840	5	PIK3CD-AS1	55.29	1823
ENSG00000233268.3	ENSG00000233268	3		50.42	421
ENSG00000231789.2	ENSG00000231789	2	PIK3CD-AS2	49.65	939
ENSG00000171603.16	ENSG00000171603	16	CLSTN1	47.37	5559
ENSG00000271264.1	ENSG00000271264	1	MZT1P1	44.15	246
ENSG00000280113.1	ENSG00000280113	1		53.16	649
ENSG00000178585.14	ENSG00000178585	14	CTNNBIP1	51.39	3339
ENSG00000223989.1	ENSG00000223989	1		58.03	424
ENSG00000162441.11	ENSG00000162441	11	LZIC	43.89	2794
ENSG00000228150.1	ENSG00000228150	1		47.05	440
ENSG00000173614.13	ENSG00000173614	13	NMNAT1	46.13	4610
ENSG00000202415.1	ENSG00000202415	1	RN7SKP269	51.41	319
ENSG00000265521.1	ENSG00000265521	1	MIR5697	38.46	78
ENSG00000241326.1	ENSG00000241326	1		47.55	436
ENSG00000162444.11	ENSG00000162444	11	RBP7	48.33	861
ENSG00000130939.18	ENSG00000130939	18	UBE4B	44.12	9128
ENSG00000224340.1	ENSG00000224340	1		41.54	337
ENSG00000233623.2	ENSG00000233623	2	PGAM1P11	54.6	680
ENSG00000201746.1	ENSG00000201746	1	RNU6-828P	42.99	107
ENSG00000054523.17	ENSG00000054523	17	KIF1B	41.99	17720
ENSG00000264881.1	ENSG00000264881	1	MIR1273D	54.65	86
ENSG00000199562.1	ENSG00000199562	1	RNU6-37P	45.79	107
ENSG00000264501.2	ENSG00000264501	2	RN7SL731P	52.9	293
ENSG00000142657.20	ENSG00000142657	20	PGD	47.69	2966
ENSG00000271989.1	ENSG00000271989	1		60.48	797
ENSG00000251503.8	ENSG00000251503	8	APITD1-CORT	47.92	2244
ENSG00000175279.21	ENSG00000175279	21	CENPS	46.89	1739
ENSG00000241563.3	ENSG00000241563	3	CORT	47.16	1130
ENSG00000160049.11	ENSG00000160049	11	DFFA	48.52	6622
ENSG00000203469.2	ENSG00000203469	2		49.62	467
ENSG00000142655.12	ENSG00000142655	12	PEX14	45.03	2995
ENSG00000243267.3	ENSG00000243267	3	RN7SL614P	58.57	280
ENSG00000130940.14	ENSG00000130940	14	CASZ1	56.73	11336
ENSG00000272078.1	ENSG00000272078	1		61.49	7923
ENSG00000225158.2	ENSG00000225158	2	HSPE1P24	42.86	238
ENSG00000175262.14	ENSG00000175262	14	C1orf127	52.15	3573
ENSG00000215785.2	ENSG00000215785	2	CFL1P6	53.05	494
ENSG00000264181.1	ENSG00000264181	1	NA	NA	NA
ENSG00000281322.1	ENSG00000281322	1	NA	NA	NA
ENSG00000120948.15	ENSG00000120948	15	TARDBP	43.58	6071
ENSG00000277726.4	ENSG00000277726	4		42.91	2205
ENSG00000009724.16	ENSG00000009724	16	MASP2	50.21	4251
ENSG00000271895.2	ENSG00000271895	2		42.99	870
ENSG00000116649.9	ENSG00000116649	9	SRM	59.88	1898
ENSG00000171824.13	ENSG00000171824	13	EXOSC10	46.38	6003
ENSG00000226849.1	ENSG00000226849	1		50.27	2682
ENSG00000281350.1	ENSG00000281350	1	NA	NA	NA
ENSG00000230337.1	ENSG00000230337	1		52.8	536
ENSG00000198793.12	ENSG00000198793	12	MTOR	44.54	12119
ENSG00000225602.5	ENSG00000225602	5	MTOR-AS1	45.39	763
ENSG00000253086.1	ENSG00000253086	1	RNU6-537P	34.95	103
ENSG00000171819.4	ENSG00000171819	4	ANGPTL7	46.39	2238
ENSG00000207451.1	ENSG00000207451	1	RNU6-291P	40.19	107
ENSG00000238173.1	ENSG00000238173	1	RPL39P6	40.67	150
ENSG00000120942.13	ENSG00000120942	13	UBIAD1	48.21	5082
ENSG00000238199.1	ENSG00000238199	1	UBE2V2P3	43.75	437
ENSG00000224338.2	ENSG00000224338	2	MTCYBP45	43.01	565
ENSG00000204624.7	ENSG00000204624	7	DISP3	52.85	6142
ENSG00000235643.1	ENSG00000235643	1		52	1285
ENSG00000116661.9	ENSG00000116661	9	FBXO2	61.17	2333
ENSG00000132879.13	ENSG00000132879	13	FBXO44	54.94	3527
ENSG00000116663.10	ENSG00000116663	10	FBXO6	55.28	1811
ENSG00000116670.14	ENSG00000116670	14	MAD2L2	53.91	3324
ENSG00000162490.6	ENSG00000162490	6	DRAXIN	53.39	7346
ENSG00000177674.15	ENSG00000177674	15	AGTRAP	54.37	2435
ENSG00000215910.7	ENSG00000215910	7	C1orf167	55.19	6499
ENSG00000177553.6	ENSG00000177553	6		57.26	1868
ENSG00000177000.10	ENSG00000177000	10	MTHFR	54.53	10214
ENSG00000011021.21	ENSG00000011021	21	CLCN6	47.79	6938
ENSG00000242349.5	ENSG00000242349	5	NPPA-AS1	50.67	1427
ENSG00000276470.1	ENSG00000276470	1		53.18	173
ENSG00000278852.1	ENSG00000278852	1		42.95	149
ENSG00000175206.10	ENSG00000175206	10	NPPA	54.04	1120
ENSG00000275915.1	ENSG00000275915	1		50	108
ENSG00000120937.8	ENSG00000120937	8	NPPB	54.43	694
ENSG00000224904.1	ENSG00000224904	1		61.66	2637
ENSG00000199347.1	ENSG00000199347	1	RNU5E-1	40	120
ENSG00000201801.1	ENSG00000201801	1	RNU5E-4P	33.33	120
ENSG00000116685.15	ENSG00000116685	15	KIAA2013	55.79	3281
ENSG00000083444.16	ENSG00000083444	16	PLOD1	53.54	5320
ENSG00000116688.16	ENSG00000116688	16	MFN2	51.12	4973
ENSG00000270914.1	ENSG00000270914	1		41.94	93
ENSG00000116691.10	ENSG00000116691	10	MIIP	55.62	2821
ENSG00000202461.1	ENSG00000202461	1		45.13	113
ENSG00000276869.1	ENSG00000276869	1	MIR6729	75.38	65
ENSG00000243539.3	ENSG00000243539	3	RN7SL649P	54.18	275
ENSG00000120949.14	ENSG00000120949	14	TNFRSF8	50.55	3738
ENSG00000281342.1	ENSG00000281342	1	NA	NA	NA
ENSG00000201135.1	ENSG00000201135	1	RNU6-777P	38.46	104
ENSG00000227875.2	ENSG00000227875	2	RPL23AP89	49.02	255
ENSG00000275459.1	ENSG00000275459	1	NA	NA	NA
ENSG00000028137.16	ENSG00000028137	16	TNFRSF1B	55.42	3826
ENSG00000263676.1	ENSG00000263676	1	MIR4632	70.49	61
ENSG00000225196.2	ENSG00000225196	2	RPL10P17	52.22	316
ENSG00000252969.1	ENSG00000252969	1		46.77	124
ENSG00000048707.13	ENSG00000048707	13	VPS13D	42.34	20023
ENSG00000280999.1	ENSG00000280999	1	NA	NA	NA
ENSG00000239149.1	ENSG00000239149	1	SNORA59A	53.95	152
ENSG00000229484.1	ENSG00000229484	1		59.54	438
ENSG00000162496.8	ENSG00000162496	8	DHRS3	51.31	3036
ENSG00000221340.1	ENSG00000221340	1	RNU6ATAC18P	47.52	101
ENSG00000276830.1	ENSG00000276830	1	MIR6730	61.19	67
ENSG00000272482.1	ENSG00000272482	1		55.65	345
ENSG00000204518.2	ENSG00000204518	2	AADACL4	47.24	1575
ENSG00000226166.2	ENSG00000226166	2		43.75	112
ENSG00000188984.11	ENSG00000188984	11	AADACL3	46.11	4049
